it,slug
speed drift,speed_drift
hallowed eruption,hallowed_eruption
stealth drift,stealth_drift
rhino prime - chassis (schema),rhino_prime_chassis_blueprint
cutting edge,cutting_edge
iron shrapnel,iron_shrapnel
akbronco prime set,akbronco_prime_set
contagious spread,contagious_spread
arcane agility,arcane_agility
piercing roar,piercing_roar
carrier prime set,carrier_prime_set
hushed invisibility,hushed_invisibility
dakra prime set,dakra_prime_set
pilfering swarm,pilfering_swarm
diamond skin,diamond_skin
dera vandal set,dera_vandal_set
toxic sequence,toxic_sequence
latron wraith (schema),latron_wraith_blueprint
latron wraith - castello,latron_wraith_receiver
latron wraith - calcio,latron_wraith_stock
latron wraith set,latron_wraith_set
territorial aggression,territorial_aggression
swipe,swipe
pounce,pounce
sharpened claws,sharpened_claws
twin vipers wraith - collegamento,twin_vipers_wraith_link
twin vipers wraith - castelli,twin_vipers_wraith_receivers
twin vipers wraith set,twin_vipers_wraith_set
enemy radar,enemy_radar
nekros prime - chassis (schema),nekros_prime_chassis_blueprint
arcane bodyguard,arcane_bodyguard
arcane primary charger,arcane_primary_charger
swift momentum,swift_momentum
combat discipline,combat_discipline
arcane blade charger,arcane_blade_charger
melee guidance,melee_guidance
atlas prime - chassis (schema),atlas_prime_chassis_blueprint
dethcube prime - carapace,dethcube_prime_carapace
dethcube prime - cervello,dethcube_prime_cerebrum
tekko prime - guanto,tekko_prime_gauntlet
dethcube prime (schema),dethcube_prime_blueprint
dethcube prime set,dethcube_prime_set
glacial edge,glacial_edge
organ shatter,organ_shatter
limbo prime - sistemi (schema),limbo_prime_systems_blueprint
runtime,runtime
hit and run,hit_and_run
ivara prime - neurottiche (schema),ivara_prime_neuroptics_blueprint
ivara prime - chassis (schema),ivara_prime_chassis_blueprint
ivara prime - sistemi (schema),ivara_prime_systems_blueprint
baza prime (schema),baza_prime_blueprint
baza prime set,baza_prime_set
aksomati prime set,aksomati_prime_set
aksomati prime - collegamento,aksomati_prime_link
baza prime - calcio,baza_prime_stock
aksomati prime - castello,aksomati_prime_receiver
gram prime - impugnatura,gram_prime_handle
primed reach,primed_reach
warding thurible,warding_thurible
helios prime (schema),helios_prime_blueprint
terminal velocity,terminal_velocity
ice storm,ice_storm
cyclone kraken,cyclone_kraken
karak wraith castello,karak_wraith_receiver
orvius - disco,orvius_disc
lente vazarin,vazarin_lens
sinking talon,sinking_talon
health conversion,health_conversion
reflex coil,reflex_coil
vasto prime - castello,vasto_prime_receiver
searing leap,searing_leap
loot detector,loot_detector
enduring bastille,repelling_bastille
hollowed bullets,hollowed_bullets
scimitar - motori (schema),scimitar_engines_blueprint
ironclad charge,ironclad_charge
scenario vincolazione veil,veils_binding_scene
magus drive,magus_drive
quick reload,quick_reload
strain fever,strain_fever
archgun ace,archgun_ace
mad stack,mad_stack
teeming virulence,teeming_virulence
scenario fortuna,fortuna_scene
tipedo prime - ornamento,tipedo_prime_ornament
stradavar prime - castello,stradavar_prime_receiver
snipetron vandal - canna,snipetron_vandal_barrel
elmo arcane scorpion,arcane_scorpion_helmet
wyrm prime - cervello,wyrm_prime_cerebrum
spry sights,spry_sights
targeting receptor,targeting_receptor
scultura ayatan valana,ayatan_valana_sculpture
bane of infested,bane_of_infested
shocking touch,shocking_touch
cyngas - canna,cyngas_barrel
sprint boost,sprint_boost
cyngas - calcio,cyngas_stock
furious javelin,furious_javelin
lex prime (schema),lex_prime_blueprint
draining gloom,draining_gloom
scenario raffinamento elementale città di gas,gas_city_elemental_refinement_scene
hellfire,hellfire
precision munition,precision_munition
argon plating,argon_plating
corpus void key,corpus_void_key
hikou prime set,hikou_prime_set
seeker,seeker
molten impact,molten_impact
orthos prime - impugnatura,orthos_prime_handle
reaper prime - lama,reaper_prime_blade
rending strike,rending_strike
ammo stock,ammo_stock
self destruct,self_destruct
spring-loaded chamber,spring_loaded_chamber
accelerated blast,accelerated_blast
scindo prime (schema),scindo_prime_blueprint
tainted shell,tainted_shell
stinging truth,stinging_truth
repeater clip,repeater_clip
killing blow,killing_blow
embedded catalyzer,embedded_catalyzer
magma chamber,magma_chamber
rebound,rebound
discharge strike,discharge_strike
elmo arcane storm,arcane_storm_helmet
reach,reach
anti-flak plating,anti_flak_plating
azzurrite a goccia,tear_azurite
riven mod fucile a pompa (veiled),shotgun_riven_mod_(veiled)
magus cadence,magus_cadence
exodia brave,exodia_brave
exodia hunt,exodia_hunt
exodia triumph,exodia_triumph
magus nourish,magus_nourish
virtuos shadow,virtuos_shadow
ember prime - sistemi (schema),ember_prime_systems_blueprint
frost prime - chassis (schema),frost_prime_chassis_blueprint
rhino prime - sistemi (schema),rhino_prime_systems_blueprint
ember prime (schema),ember_prime_blueprint
eroding blight,eroding_blight
deadly sequence,deadly_sequence
fever strike,fever_strike
sawtooth clip,sawtooth_clip
elmo arcane essence,arcane_essence_helmet
elmo arcane locust,arcane_locust_helmet
tempo royale,tempo_royale
sentirum radiante,radian_sentirum
prisma gorgon,prisma_gorgon
brain storm,brain_storm
high noon,high_noon
scattered justice,scattered_justice
brutal tide,brutal_tide
funnel clouds,funnel_clouds
ash prime (schema),ash_prime_blueprint
decurion - castello,decurion_receiver
toxic blight,toxic_blight
collare kubrow kavasa prime (schema),kavasa_prime_kubrow_collar_blueprint
stella ayatan ciano,ayatan_cyan_star
fatal acceleration,fatal_acceleration
phaedra - canna,phaedra_barrel
thief's wit,thiefs_wit
furax wraith - guanto sinistro,furax_wraith_left_gauntlet
melee prowess,melee_prowess
stella ayatan ambra,ayatan_amber_star
prolonged paralysis,prolonged_paralysis
riven mod fucile (veiled),rifle_riven_mod_(veiled)
flak shot,flak_shot
follow through,follow_through
quickdraw,quickdraw
guardian derision,guardian_derision
icy avalanche,icy_avalanche
vay hek frequency triangulator,vay_hek_frequency_triangulator
whiplash mine,whiplash_mine
odomedic,odomedic
proton jet,proton_jet
security override,security_override
rift haven,rift_haven
machete wraith,machete_wraith
safeguard,safeguard
prova vandal,prova_vandal
path of statues,path_of_statues
contagion cloud,contagion_cloud
reaper prime set,reaper_prime_set
immolated radiance,immolated_radiance
vauban prime (schema),vauban_prime_blueprint
carrier prime - carapace,carrier_prime_carapace
full capacity,full_capacity
magnetized discharge,magnetized_discharge
ankyros prime (schema),ankyros_prime_blueprint
scenario tomba inaros,inaros_tomb_scene
boar prime - canna,boar_prime_barrel
oberon prime - chassis (schema),oberon_prime_chassis_blueprint
lock and load,lock_and_load
scenario lunaro,lunaro_arena_scene
silva & aegis prime - lama,silva_and_aegis_prime_blade
arcane guardian,arcane_guardian
boltor prime (schema),boltor_prime_blueprint
fast deflection,fast_deflection
sybaris prime set,sybaris_prime_set
oberon prime - sistemi (schema),oberon_prime_systems_blueprint
baza prime - castello,baza_prime_receiver
primed smite infested,primed_smite_infested
shedu - canna,shedu_barrel
shedu - castello,shedu_receiver
primed smite corpus,primed_smite_corpus
scenario fontana sentient,sentient_fountain_scene
shedu set,shedu_set
shedu - chassis,shedu_chassis
void cloak,void_cloak
squad renew,squad_renew
section density,section_density
flow burn,flow_burn
surging dash,surging_dash
conductor,conductor
accumulating whipclaw,accumulating_whipclaw
noctrul a cuore,heart_noctrul
photon repeater,photon_repeater
redeemer prime set,redeemer_prime_set
hypothermic shell,hypothermic_shell
warhead,warhead
battle stations,battle_stations
countermeasures,countermeasures
blood forge,blood_forge
balefire surge,balefire_surge
scenario bacino sentient,sentient_basin_scene
scenario balcone sentient,sentient_balcony_scene
endless lullaby,endless_lullaby
magus accelerant,magus_accelerant
galatine prime (schema),galatine_prime_blueprint
aerial ace,aerial_ace
energizing shot,energizing_shot
anchored glide,anchored_glide
venomous clip,venomous_clip
dera vandal - canna,dera_vandal_barrel
counterweight,counterweight
anti-grav grenadev,anti_grav_grenade
brief respite,brief_respite
orthos prime set,orthos_prime_set
hysterical assault,hysterical_assault
adept surge,adept_surge
gorgon frenzy,gorgon_frenzy
volt prime set,volt_prime_set
esher devar,esher_devar
banshee prime - neurottiche (schema),banshee_prime_neuroptics_blueprint
electro pulse,electro_pulse
neutralize,neutralize
retrieve,retrieve
imperator vandal - castello,imperator_vandal_receiver
secura lecta,secura_lecta
amesha - sistemi,amesha_systems_blueprint
amesha - ali,amesha_wings_blueprint
amesha - imbracatura,amesha_harness_blueprint
amesha set,amesha_set
elytron - imbracatura,elytron_harness_blueprint
elytron set,elytron_set
itzal - sistemi (schema),itzal_systems_blueprint
itzal - ali (schema),itzal_wings_blueprint
itzal - imbracatura (schema),itzal_harness_blueprint
itzal set,itzal_set
scultura ayatan vaya,ayatan_vaya_sculpture
the perrin sequence augment mod,the_perrin_sequence_augment_mod
new loka augment mod,new_loka_augment_mod
arbiters of hexis augment mod,arbiters_of_hexis_augment_mod
charm,charm
cat's eye,cats_eye
medi-pet kit,medi_pet_kit
reaper prime - impugnatura,reaper_prime_handle
sicarus prime - canna,sicarus_prime_barrel
braton prime - canna,braton_prime_barrel
purifying flames,purifying_flames
overcharged,overcharged
elytron - ali,elytron_wings_blueprint
mischief,mischief
tigris prime set,tigris_prime_set
shield charger,shield_charger
rakta dark dagger,rakta_dark_dagger
static discharge,static_discharge
pain threshold,pain_threshold
paris prime - corda,paris_prime_string
double-barrel drift,double_barrel_drift
gorgon wraith (schema),gorgon_wraith_blueprint
argon scope,argon_scope
explosive demise,explosive_demise
sicarus prime - castello,sicarus_prime_receiver
mantis - motori (schema),mantis_engines_blueprint
sure shot,sure_shot
glaive prime - lama,glaive_prime_blade
sapping reach,sapping_reach
karak wraith set,karak_wraith_set
fragor prime set,fragor_prime_set
crimson dervish,crimson_dervish
akstiletto prime (schema),akstiletto_prime_blueprint
akstiletto prime - canna,akstiletto_prime_barrel
deep freeze,deep_freeze
akstiletto prime - castello,akstiletto_prime_receiver
physique,physique
akbolto prime - castello,akbolto_prime_receiver
paris prime - flettente superiore,paris_prime_upper_limb
akbolto prime (schema),akbolto_prime_blueprint
silva & aegis prime (schema),silva_and_aegis_prime_blueprint
scindo prime - lama,scindo_prime_blade
euphona prime - canna,euphona_prime_barrel
mag prime (schema),mag_prime_blueprint
furax wraith (schema),furax_wraith_blueprint
frost prime - sistemi (schema),frost_prime_systems_blueprint
ice spring,ice_spring
shattering impact,shattering_impact
morphic transformer,morphic_transformer
helios prime - cervello,helios_prime_cerebrum
paris prime - flettente inferiore,paris_prime_lower_limb
triple tap,triple_tap
malicious raptor,malicious_raptor
shield of shadows,shield_of_shadows
hollow point,hollow_point
enduring strike,enduring_strike
sequence burn,sequence_burn
xiphos - fusoliera (schema),xiphos_fuselage_blueprint
mantis - fusoliera (schema),mantis_fuselage_blueprint
bladed rounds,bladed_rounds
shred,shred
mantis - avionica (schema),mantis_avionics_blueprint
serration,serration
arcane healing,arcane_healing
scimitar - fusoliera (schema),scimitar_fuselage_blueprint
quick return,quick_return
lightning rod,lightning_rod
arcane warmth,arcane_warmth
steel charge,steel_charge
rage,rage
lasting sting,lasting_sting
sancti magistar,sancti_magistar
emp aura,emp_aura
pacifying bolts,pacifying_bolts
metal fiber,metal_fiber
energy amplifier,energy_amplifier
venari bodyguard,venari_bodyguard
virtuos trojan,virtuos_trojan
blinding reave,blinding_reave
dread ward,dread_ward
prisma grinlok,prisma_grinlok
equinox prime - chassis (schema),equinox_prime_chassis_blueprint
stradavar prime (schema),stradavar_prime_blueprint
vaykor marelok,vaykor_marelok
serrated rounds,serrated_rounds
xiphos - motori (schema),xiphos_engines_blueprint
titania prime - neurottiche (schema),titania_prime_neuroptics_blueprint
pangolin prime - lama,pangolin_prime_blade
pangolin prime set,pangolin_prime_set
titania prime (schema),titania_prime_blueprint
revo reducer,revo_reducer
sentient scalpel,sentient_scalpel
titania prime set,titania_prime_set
tribunal,tribunal
catapult,catapult
blazing pillage,blazing_pillage
spellbound harvest,spellbound_harvest
cruising speed,cruising_speed
artillery cheap shot,artillery_cheap_shot
turret velocity,turret_velocity
ordnance cheap shot,ordnance_cheap_shot
ballista measure,ballista_measure
quicklock,quicklock
ordnance velocity,ordnance_velocity
primed cleanse grineer,primed_cleanse_grineer
primed cleanse infested,primed_cleanse_infested
primed cleanse corpus,primed_cleanse_corpus
primed cleanse orokin,primed_cleanse_corrupted
abundant mutation,abundant_mutation
dizzying rounds,dizzying_rounds
revealing spores,revealing_spores
enraged,enraged
rubble heap,rubble_heap
precision strike,precision_strike
deadly maneuvers,deadly_maneuvers
banshee prime (schema),banshee_prime_blueprint
chilling reload,chilling_reload
streamlined form,streamlined_form
drifting contact,drifting_contact
valkyr prime - chassis (schema),valkyr_prime_chassis_blueprint
primed cryo rounds,primed_cryo_rounds
centaur set,centaur_set
onorix set,onorix_set
agkuza set,agkuza_set
healing return,healing_return
corvas set,corvas_set
reinforcing stomp,reinforcing_stomp
rathbone set,rathbone_set
relentless combination,relentless_combination
cernos prime (schema),cernos_prime_blueprint
cernos prime - flettente inferiore,cernos_prime_lower_limb
cernos prime - flettente superiore,cernos_prime_upper_limb
cernos prime - impugnatura,cernos_prime_grip
condition overload,condition_overload
viral tempest,viral_tempest
dispatch overdrive,dispatch_overdrive
enduring affliction,enduring_affliction
pistol scavenger,pistol_scavenger
wyrm prime set,wyrm_prime_set
naramon transmute core,naramon_transmute_core
vazarin transmute core,vazarin_transmute_core
vengeful revenant,vengeful_revenant
astral autopsy,astral_autopsy
scenario sala riunioni di ergo,ergos_boardroom_scene
agile aim,agile_aim
anticipation,anticipation
scenario piane di eidolon,plains_of_eidolon_scene
shred shot,shred_shot
burston prime - canna,burston_prime_barrel
ice wave impedance,ice_wave_impedance
volt prime - sistemi (schema),volt_prime_systems_blueprint
dakra prime - lama,dakra_prime_blade
glaive prime - disco,glaive_prime_disc
scultura ayatan ayr,ayatan_ayr_sculpture
stretch,stretch
agkuza - impugnatura,agkuza_guard
intensify,intensify
heavy warhead,heavy_warhead
karak wraith calcio,karak_wraith_stock
madurai transmute core,madurai_transmute_core
toxic barrage,toxic_barrage
apex predator,apex_predator
shotgun ammo mutation,shotgun_ammo_mutation
calculated victory,calculated_victory
hyperion thrusters,hyperion_thrusters
infested impedance,infested_impedance
hydroid prime - sistemi (schema),hydroid_prime_systems_blueprint
primed animal instinct,primed_animal_instinct
pilfering strangledome,pilfering_strangledome
proton pulse,proton_pulse
scenario ascensore città di gas,gas_city_lifts_scene
scenario dog days,dog_days_scene
shockwave actuators,shockwave_actuators
assimilate,assimilate
glaive prime set,glaive_prime_set
scindo prime set,scindo_prime_set
telos boltace,telos_boltace
latron prime - castello,latron_prime_receiver
latron prime - calcio,latron_prime_stock
lex prime - canna,lex_prime_barrel
scenario fabbrica grineer nella foresta,grineer_forest_factory_scene
nyth a cuore,heart_nyth
impenetrable offense,impenetrable_offense
scenario datascape suda,sudas_datascape_scene
sybaris prime - castello,sybaris_prime_receiver
staggering shield,staggering_shield
akstiletto prime set,akstiletto_prime_set
stropha set,stropha_set
velox set,velox_set
stahlta - canna,stahlta_barrel
stahlta set,stahlta_set
velox - castello,velox_receiver
stropha - lama,stropha_blade
stahlta - castello,stahlta_receiver
stropha - castello,stropha_receiver
stropha - calcio,stropha_stock
stropha - canna,stropha_barrel
stahlta - calcio,stahlta_stock
velox - canna,velox_barrel
scenario hangar nave corpus,corpus_ship_hangar_scene
scenario ponte nave corpus,corpus_ship_bridge_scene
scenario cannone orbitale nave corpus,corpus_ship_orbital_cannon_scene
glaxion vandal,glaxion_vandal
primed rubedo-lined barrel,primed_rubedo_lined_barrel
inaros prime set,inaros_prime_set
inaros prime - chassis (schema),inaros_prime_chassis_blueprint
inaros prime - neurottiche (schema),inaros_prime_neuroptics_blueprint
inaros prime (schema),inaros_prime_blueprint
inaros prime - sistemi (schema),inaros_prime_systems_blueprint
panthera prime - calcio,panthera_prime_stock
karyst prime - impugnatura,karyst_prime_handle
karyst prime set,karyst_prime_set
panthera prime set,panthera_prime_set
panthera prime - canna,panthera_prime_barrel
panthera prime - castello,panthera_prime_receiver
panthera prime (schema),panthera_prime_blueprint
karyst prime (schema),karyst_prime_blueprint
karyst prime - lama,karyst_prime_blade
vigilante supplies,vigilante_supplies
crushing ruin,crushing_ruin
braton prime - calcio,braton_prime_stock
dakra prime (schema),dakra_prime_blueprint
narrow minded,narrow_minded
xiphos - avionica (schema),xiphos_avionics_blueprint
stand ground,stand_ground
glaive prime (schema),glaive_prime_blueprint
primed target cracker,primed_target_cracker
reflex draw,reflex_draw
akstiletto prime - collegamento,akstiletto_prime_link
bane of orokin,bane_of_corrupted
scenario datascape hunhow,hunhows_datascape_scene
maim,maim
oberon prime (schema),oberon_prime_blueprint
looter,looter
pistol ammo mutation,pistol_ammo_mutation
poisonous sting,poisonous_sting
scenario tempio di harrow,harrows_temple_scene
scenario rifugio di amaryn,amaryns_retreat_scene
scenario chiave cromatica,color_key_scene
phaedra set,phaedra_set
cernos prime - corda,cernos_prime_string
cernos prime set,cernos_prime_set
valkyr prime (schema),valkyr_prime_blueprint
valkyr prime set,valkyr_prime_set
venka prime - lame,venka_prime_blades
bounty hunter,bounty_hunter
target acquired,target_acquired
heartseeker,heartseeker
loyal companion,loyal_companion
martial fury,martial_fury
decisive judgement,decisive_judgement
twirling spire,twirling_spire
auxiliary power,auxiliary_power
lente eidolon (schema),eidolon_lens_blueprint
gleaming talon,gleaming_talon
scavenge,scavenge
gunslinger,gunslinger
sundering weave,sundering_weave
impaler munitions,impaler_munitions
phoenix renewal,phoenix_renewal
shell shock,shell_shock
larva burst,larva_burst
cleaving whirlwind,cleaving_whirlwind
crowd dispersion,crowd_dispersion
cyngas - castello,cyngas_receiver
odonata prime (schema),odonata_prime_blueprint
blind justice,blind_justice
full contact,full_contact
medi-ray,medi_ray
electromagnetic shielding,electromagnetic_shielding
imperator vandal set,imperator_vandal_set
afterburner,afterburner
primed pistol gambit,primed_pistol_gambit
vaykor hek,vaykor_hek
hydraulic barrel,hydraulic_barrel
saryn prime - neurottiche (schema),saryn_prime_neuroptics_blueprint
nami skyla prime - lama,nami_skyla_prime_blade
kronen prime - impugnatura,kronen_prime_handle
gladiator finesse,gladiator_finesse
augur reach,augur_reach
sacrifice,sacrifice
hunter track,hunter_track
hunter command,hunter_command
boar prime - castello,boar_prime_receiver
localizzatore omega,omega_beacon
regenerative molt,regenerative_molt
boar prime - calcio,boar_prime_stock
gorgon wraith - canna,gorgon_wraith_barrel
kogake prime - stivale,kogake_prime_boot
akbolto prime set,akbolto_prime_set
akbolto prime - collegamento,akbolto_prime_link
akbolto prime - canna,akbolto_prime_barrel
braton vandal (schema),braton_vandal_blueprint
limbo prime set,limbo_prime_set
partitioned mallet,partitioned_mallet
xenorhast trapezoide,trapezium_xenorhast
juice,juice
saxum thorax,saxum_thorax
necramech pressure point,necramech_pressure_point
necramech vitality,necramech_vitality
draining bite,draining_bite
necramech slipstream,necramech_slipstream
acidic spittle,acidic_spittle
endoparasitic vector,endoparasitic_vector
necramech thrusters,necramech_thrusters
capsula arma necramech danneggiata,damaged_necramech_weapon_pod
tiametrite sfaccettata,faceted_tiametrite
motore necramech danneggiato,damaged_necramech_engine
bomb the landin',bomb_the_landin
scultura ayatan sah,ayatan_sah_sculpture
red veil augment mod,red_veil_augment_mod
cunning aspect,cunning_aspect
reflect,reflect
rending wind,rending_wind
corvas - castello,corvas_receiver
noble cadence,noble_cadence
thermagnetic shells,thermagnetic_shells
corvas - calcio,corvas_stock
kinetic ricochet,kinetic_ricochet
mortal conduct,mortal_conduct
parry,parry
sicarus prime (schema),sicarus_prime_blueprint
gorgon wraith set,gorgon_wraith_set
rising skill,rising_skill
fracturing crush,fracturing_crush
fang prime (schema),fang_prime_blueprint
radiant finish,radiant_finish
ferocity,ferocity
xiphos set,xiphos_set
high voltage,high_voltage
vauban prime - chassis (schema),vauban_prime_chassis_blueprint
recharge barrier,recharge_barrier
tempered bound,tempered_bound
focused acceleration,focused_acceleration
collision force,collision_force
latron prime (schema),latron_prime_blueprint
braton prime (schema),braton_prime_blueprint
defiled snapdragon,defiled_snapdragon
nikana prime - elsa,nikana_prime_hilt
recuperate,recuperate
nikana prime set,nikana_prime_set
vital sense,vital_sense
valkyr prime - sistemi (schema),valkyr_prime_systems_blueprint
cyngas set,cyngas_set
broken war set,broken_war_set
venka prime - guanto,venka_prime_gauntlet
kaszas set,kaszas_set
velocitus set,velocitus_set
fluctus set,fluctus_set
dual decurion set,dual_decurion_set
broad eye,broad_eye
voltage sequence,voltage_sequence
akbronco prime (schema),akbronco_prime_blueprint
cryo rounds,cryo_rounds
silent battery,silent_battery
phaedra - castello,phaedra_receiver
euphona prime - castello,euphona_prime_receiver
transient fortitude,transient_fortitude
concussion rounds,concussion_rounds
howl,howl
agkuza - manico,agkuza_handle
carrier prime - sistemi,carrier_prime_systems
covert lethality,covert_lethality
feathered arrows,feathered_arrows
loaded capacity,loaded_capacity
loose chamber,loose_chamber
armored evade,armored_evade
nano-applicator,nano_applicator
focused defense,focused_defense
guided ordnance,guided_ordnance
strun wraith (schema),strun_wraith_blueprint
titanic rumbler,titanic_rumbler
spira prime (schema),spira_prime_blueprint
spira prime set,spira_prime_set
sheev - lama,sheev_blade
sheev - dissipatore,sheev_heatsink
sheev set,sheev_set
rumbled,rumbled
snipetron vandal (schema),snipetron_vandal_blueprint
hunter's bonesaw,hunters_bonesaw
velocitus - canna,velocitus_barrel
toxin resistance,toxin_resistance
nami skyla prime set,nami_skyla_prime_set
kronen prime set,kronen_prime_set
helios prime - sistemi,helios_prime_systems
extend,extend
primed fever strike,primed_fever_strike
exodia contagion,exodia_contagion
tiberon prime set,tiberon_prime_set
exodia epidemic,exodia_epidemic
mirage prime - sistemi (schema),mirage_prime_systems_blueprint
mirage prime (schema),mirage_prime_blueprint
primed quickdraw,primed_quickdraw
mecha recharge,mecha_recharge
synth fiber,synth_fiber
hush,hush
fragor prime - testa,fragor_prime_head
trample,trample
metal auger,metal_auger
master thief,master_thief
cryo coating,cryo_coating
bursting mass,bursting_mass
tipedo prime set,tipedo_prime_set
true steel,true_steel
four riders,four_riders
vectis prime (schema),vectis_prime_blueprint
animal instinct,animal_instinct
combustion beam,combustion_beam
harkonar scope,harkonar_scope
scenario passerella città di gas,gas_city_walkway_scene
scenario vicolo cieco città di gas,gas_city_dead_exit_scene
aerodynamic,aerodynamic
atlas prime set,atlas_prime_set
tekko prime - lama,tekko_prime_blade
tekko prime set,tekko_prime_set
tekko prime (schema),tekko_prime_blueprint
necramech redirection,necramech_redirection
canna arma necramech danneggiata,damaged_necramech_weapon_barrel
damaged necramech weapon set,damaged_necramech_weapon_set
castello arma necramech danneggiato,damaged_necramech_weapon_receiver
infectious bite,infectious_bite
paralytic spores,paralytic_spores
crescent devolution,crescent_devolution
panzer devolution,panzer_devolution
anabolic pollination,anabolic_pollination
primo flair,primo_flair
jugulus barbs,jugulus_barbs
saxum carapace,saxum_carapace
hard engage,hard_engage
vapor trail,vapor_trail
saxum spittle,saxum_spittle
calcio arma necramech danneggiato,damaged_necramech_weapon_stock
necramech reach,necramech_reach
necramech continuity,necramech_continuity
cabochon embolos,cabochon_embolos
necramech steel fiber,necramech_steel_fiber
jugulus spines,jugulus_spines
damaged necramech set,damaged_necramech_set
heciphron purificata,purified_heciphron
viral quills,viral_quills
carnis mandible,carnis_mandible
capsula necramech danneggiata,damaged_necramech_pod
necramech refuel,necramech_refuel
carnis stinger,carnis_stinger
crescent charge,crescent_charge
survival instinct,survival_instinct
scenario sottosuolo deimos,deimos_underground_scene
scenario cambion drift deimos,deimos_cambion_drift_scene
nezha prime (schema),nezha_prime_blueprint
guandao prime (schema),guandao_prime_blueprint
combo killer,combo_killer
thrall pact,thrall_pact
critical surge,critical_surge
theorem demulcent,theorem_demulcent
sporothrix (schema),sporothrix_blueprint
necramech efficiency,necramech_efficiency
theorem infection,theorem_infection
arum spinosa (schema),arum_spinosa_blueprint
volatile quick return,volatile_quick_return
blending talons,blending_talons
protezione arum spinosa,arum_spinosa_guard
arum spinosa set,arum_spinosa_set
sporothrix set,sporothrix_set
residual shock,residual_shock
primed firestorm,primed_firestorm
primed fulmination,primed_fulmination
bonewidow set,bonewidow_set
bonewidow - capsula arma,bonewidow_weapon_pod
bonewidow - telaio,bonewidow_casing
morgha - calcio,morgha_stock
cortege - canna,cortege_barrel
necramech enemy sense,necramech_enemy_sense
cortege - calcio,cortege_stock
necramech rebuke,necramech_rebuke
cortege set,cortege_set
bonewidow - capsula,bonewidow_capsule
voidrig set,voidrig_set
necramech aviator,necramech_aviator
scultura ayatan hemakara,ayatan_hemakara_sculpture
prisma dual decurion,prisma_dual_decurions
cedo - canna,cedo_barrel
cedo - castello,cedo_receiver
cedo set,cedo_set
mirage prime - chassis (schema),mirage_prime_chassis_blueprint
kogake prime (schema),kogake_prime_blueprint
hornet strike,hornet_strike
sybaris prime - calcio,sybaris_prime_stock
ore gaze,ore_gaze
vigilante offense,vigilante_offense
magus replenish,magus_replenish
hunter synergy,hunter_synergy
slicing feathers,slicing_feathers
braton vandal - castello,braton_vandal_receiver
braton vandal - calcio,braton_vandal_stock
peculiar bloom,peculiar_bloom
chroma prime set,chroma_prime_set
raksa kubrow imprint,raksa_kubrow_imprint
rubico prime set,rubico_prime_set
gram prime (schema),gram_prime_blueprint
ambush,ambush
scenario antro di hunhow,hunhows_chamber_scene
scenario contenimento di lua,lua_containment_scene
scenario bosco d'argento,silver_grove_shrine_scene
synth reflex,synth_reflex
synth deconstruct,synth_deconstruct
fetch,fetch
tek enhance,tek_enhance
crashing havoc,crashing_havoc
spira prime - fodero,spira_prime_pouch
transistor shield,transistor_shield
shell rush,shell_rush
sheev (schema),sheev_blueprint
sheev - elsa,sheev_hilt
banshee prime set,banshee_prime_set
vauban prime set,vauban_prime_set
mesa's waltz,mesas_waltz
fragor prime (schema),fragor_prime_blueprint
sabbie di inaros,sands_of_inaros
fragor prime - impugnatura,fragor_prime_handle
vauban prime - sistemi (schema),vauban_prime_systems_blueprint
scattering inferno,scattering_inferno
kaszas - manico,kaszas_handle
tesla bank,tesla_bank
guided effigy,guided_effigy
lasting covenant,lasting_covenant
razorwing blitz,razorwing_blitz
magus cloud,magus_cloud
revenge,revenge
corrupt charge,corrupt_charge
equilibrium,equilibrium
carrier prime - cervello,carrier_prime_cerebrum
final harbinger,final_harbinger
burston prime set,burston_prime_set
loki prime set,loki_prime_set
nova prime set,nova_prime_set
nyx prime set,nyx_prime_set
soma prime set,soma_prime_set
twitch,twitch
venomous rise,venomous_rise
adrenaline boost,adrenaline_boost
blind shot,blind_shot
kill switch,kill_switch
saryn prime - chassis (schema),saryn_prime_chassis_blueprint
hunter munitions,hunter_munitions
tiberon prime - castello,tiberon_prime_receiver
meteor munitions,meteor_munitions
arcane acceleration,arcane_acceleration
augur seeker,augur_seeker
momentary pause,momentary_pause
eternal war,eternal_war
boltor prime - canna,boltor_prime_barrel
gladiator rush,gladiator_rush
vigilante vigor,vigilante_vigor
braton prime - castello,braton_prime_receiver
overcharge detectors,overcharge_detectors
overview,overview
prize kill,prize_kill
quick charge,quick_charge
primed rifle ammo mutation,primed_rifle_ammo_mutation
razor munitions,razor_munitions
arcane arachne,arcane_arachne
arcane momentum,arcane_momentum
arcane precision,arcane_precision
calm & frenzy,calm_and_frenzy
peaceful provocation,peaceful_provocation
saryn prime - sistemi (schema),saryn_prime_systems_blueprint
localizzatore delta,delta_beacon
nikana prime (schema),nikana_prime_blueprint
recover,recover
nikana prime - lama,nikana_prime_blade
pyroclastic flow,pyroclastic_flow
conductive blade,conductive_blade
zephyr prime - neurottiche (schema),zephyr_prime_neuroptics_blueprint
zephyr prime set,zephyr_prime_set
gnashing payara,gnashing_payara
kronen prime (schema),kronen_prime_blueprint
tiberon prime - canna,tiberon_prime_barrel
kronen prime - lama,kronen_prime_blade
winds of purity,winds_of_purity
retribution,retribution
live wire,live_wire
