pl,slug
smagająca cewka,lashing_coil
regeneracja,regen
aklex prime: połączenie,aklex_prime_link
szybki spust,speed_trigger
wróżbiarskie sekrety,augur_secrets
scena: garnizon cressy,cressas_garrison_scene
scena: trybunał arbitrów,arbiters_tribunal_scene
scena: przemysł lasu grineer,grineer_forest_industry_scene
banshee prime: systemy - schemat,banshee_prime_systems_blueprint
mutator strzał,arrow_mutation
hydroid prime - schemat,hydroid_prime_blueprint
pośpieszne odbicie,hastened_deflection
zakaźna infekcja,infectious_injection
roztropna brzytwa,wise_razor
equinox prime: systemy - schemat,equinox_prime_systems_blueprint
mod riven archgun (ukryty),archgun_riven_mod_(veiled)
paris prime - schemat,paris_prime_blueprint
rezonujące trzęsienie,resonating_quake
uderzająca gałąź,flailing_branch
odmrożenie,frostbite
scena: centralne lądowisko gazozo,gas_city_central_drop_scene
soczewka unairu lua,lua_unairu_lens
pasterz,shepherd
scena: punkt ewakuacyjny wieży orokin,orokin_tower_extraction_scene
zabójcza wydajność,deadly_efficiency
wirtuoz kuźni,virtuos_forge
akvasto prime - schemat,akvasto_prime_blueprint
akvasto prime: połączenie,akvasto_prime_link
osłona zanieczyszczenia,contamination_casing
scena: stanowisko dowodzenia onkko,onkkos_command_post_scene
przeciążenie strumienia,flux_overdrive
onorix: ostrze,onorix_blade
venka prime: zestaw,venka_prime_set
wyciszenie,suppress
utrwalanie celu,target_fixation
poduszka magnetyczna,maglev
czystka grineer,cleanse_grineer
podwyższona percepcja,heightened_reflexes
łowy,hunt
orthos prime - schemat,orthos_prime_blueprint
sala gniewu,hall_of_malevolence
rozpruwacz grineer,smite_grineer
burza ognia,firestorm
zguba corpus,bane_of_corpus
furia berserkera,berserker_fury
pobudzająca grabież,rousing_plunder
luźny magazynek,loose_magazine
cios życia,life_strike
wybicie,handspring
paris prime: majdan,paris_prime_grip
szczęśliwy strzał,lucky_shot
naelektryzowana lufa,electrified_barrel
maksymalna pojemność,maximum_capacity
zbawicielska przynęta,savior_decoy
myśliwski wachlarz,stalking_fan
zguba orokin prime,primed_bane_of_corrupted
ciepły płaszcz,warm_coat
zakażony magazynek,tainted_mag
taktyczny odwrót,tactical_retreat
jaśniejąca czystość,bright_purity
mroźny podmuch,frigid_blast
pociski rozpryskowe,shrapnel_rounds
krwawiąca krawędź,bleeding_edge
paks tropienia,pax_seeker
mesa prime - schemat,mesa_prime_blueprint
equinox prime: neuroptyka - schemat,equinox_prime_neuroptics_blueprint
redeemer prime - schemat,redeemer_prime_blueprint
wirtuoz kolca,virtuos_spike
tipedo prime - schemat,tipedo_prime_blueprint
ząbkowane ostrza,serrated_edges
ogniotrwałość,flame_repellent
quanta vandal,quanta_vandal
detron mara,mara_detron
amortyzacja,shock_absorbers
bronco prime: korpus,bronco_prime_receiver
mutalist nav coordinates,mutalist_nav_coordinates
burston prime - schemat,burston_prime_blueprint
delikatne ręce,soft_hands
grot sprężynowy,spring_loaded_broadhead
strumień szczeliny,rift_torrent
burston prime: kolba,burston_prime_stock
samotny miecz,sword_alone
taktyczne przeładowanie,tactical_reload
hikou prime - schemat,hikou_prime_blueprint
gaz łzawiący,tear_gas
magazynek ślizgowy prime,primed_slip_magazine
schronienie,shelter
krzyż bliźniąt,gemini_cross
pęknięcie,rupture
rhino: hełm arkanum vanguard,arcane_vanguard_helmet
akcelerator fomorian,fomorian_accelerant
przepływ prime,primed_flow
imperator vandal - schemat,imperator_vandal_blueprint
mutator pistoletowy prime,primed_pistol_ammo_mutation
excalibur: hełm arkanum pendragon,arcane_pendragon_helmet
veritux prisma,prisma_veritux
rezonans,resonance
perfekcyjne trafienie,ballistic_bullseye
volt prime - schemat,volt_prime_blueprint
przenikliwy nawigator,piercing_navigator
scena: laboratorium alada w gazozo,gas_city_alads_laboratory_scene
siła magnum,magnum_force
zagłada corpus,expel_corpus
ember prime: powłoka - schemat,ember_prime_chassis_blueprint
arkanum tempo,arcane_tempo
soczewka madurai,madurai_lens
soczewka unairu,unairu_lens
dryf sprytu,cunning_drift
dryf wytrzymałości,endurance_drift
osłabiające połączenie,abating_link
dryf siły,power_drift
dryf prędkości,speed_drift
poświęcona erupcja,hallowed_eruption
dryf ukrycia,stealth_drift
rhino prime: powłoka - schemat,rhino_prime_chassis_blueprint
tnąca krawędź,cutting_edge
żelazny szrapnel,iron_shrapnel
akbronco prime: zestaw,akbronco_prime_set
zakaźny rozsiew,contagious_spread
arkanum zręczności,arcane_agility
przeszywający ryk,piercing_roar
carrier prime: zestaw,carrier_prime_set
wyciszona niewidzialność,hushed_invisibility
dakra prime: zestaw,dakra_prime_set
złodziejski rój,pilfering_swarm
diamentowa skóra,diamond_skin
dera vandal: zestaw,dera_vandal_set
toksyczny porządek,toxic_sequence
latron wraith - schemat,latron_wraith_blueprint
latron wraith: korpus,latron_wraith_receiver
latron wraith: kolba,latron_wraith_stock
latron wraith: zestaw,latron_wraith_set
agresja terytorialna,territorial_aggression
skoszenie,swipe
pazur,pounce
ostrzone szpony,sharpened_claws
viper wraith podwójny: połączenia,twin_vipers_wraith_link
viper wraith podwójny: korpusy,twin_vipers_wraith_receivers
viper wraith podwójny: zestaw,twin_vipers_wraith_set
wykrywacz wrogów,enemy_radar
nekros prime: powłoka - schemat,nekros_prime_chassis_blueprint
arkanum obrońcy,arcane_bodyguard
arkanum synergii b. głównej,arcane_primary_charger
szybki zamach,swift_momentum
bojowa dyscyplina,combat_discipline
arkanum synergii ostrzy,arcane_blade_charger
przewodnictwo ostrza,melee_guidance
atlas prime: powłoka - schemat,atlas_prime_chassis_blueprint
dethcube prime: karapaks,dethcube_prime_carapace
dethcube prime: mózg,dethcube_prime_cerebrum
tekko prime: rękawica,tekko_prime_gauntlet
dethcube prime - schemat,dethcube_prime_blueprint
dethcube prime: zestaw,dethcube_prime_set
lodowata krawędź,glacial_edge
uszkodzenia wewnętrzne,organ_shatter
limbo prime: systemy - schemat,limbo_prime_systems_blueprint
optymalizacja,runtime
uderz i uciekaj,hit_and_run
ivara prime: neuroptyka - schemat,ivara_prime_neuroptics_blueprint
ivara prime: powłoka - schemat,ivara_prime_chassis_blueprint
ivara prime: systemy - schemat,ivara_prime_systems_blueprint
baza prime - schemat,baza_prime_blueprint
baza prime: zestaw,baza_prime_set
aksomati prime: zestaw,aksomati_prime_set
aksomati prime: połączenie,aksomati_prime_link
baza prime: kolba,baza_prime_stock
aksomati prime: korpus,aksomati_prime_receiver
gram prime: rękojeść,gram_prime_handle
zasięg prime,primed_reach
strażnicza kadzielnica,warding_thurible
helios prime - schemat,helios_prime_blueprint
prędkość graniczna,terminal_velocity
lodowa burza,ice_storm
cyklon krakena,cyclone_kraken
karak wraith: korpus,karak_wraith_receiver
orvius: dysk,orvius_disc
soczewka vazarin,vazarin_lens
zatapiający szpon,sinking_talon
konwersja życia,health_conversion
spirala reakcji,reflex_coil
vasto prime: korpus,vasto_prime_receiver
spopielający skok,searing_leap
detektor łupu,loot_detector
trwająca bastylia,repelling_bastille
wydrążone pociski,hollowed_bullets
scimitar: silniki - schemat,scimitar_engines_blueprint
pancerna szarża,ironclad_charge
scena: więzy woalu,veils_binding_scene
magus napędu,magus_drive
szybkie przeładowanie,quick_reload
szczep gorączki,strain_fever
as ciężkiej broni,archgun_ace
szalony stos,mad_stack
złośliwy patogen,teeming_virulence
scena: fortuna,fortuna_scene
tipedo prime: ornament,tipedo_prime_ornament
stradavar prime: korpus,stradavar_prime_receiver
snipetron vandal: lufa,snipetron_vandal_barrel
ash: hełm arkanum scorpion,arcane_scorpion_helmet
wyrm prime: mózg,wyrm_prime_cerebrum
szybki celownik,spry_sights
receptor celowniczy,targeting_receptor
rzeźba ayatan valana,ayatan_valana_sculpture
zguba plagi,bane_of_infested
wstrząsający dotyk,shocking_touch
cyngas: lufa,cyngas_barrel
wspomagacz sprintu,sprint_boost
cyngas: kolba,cyngas_stock
furia oszczepów,furious_javelin
lex prime - schemat,lex_prime_blueprint
ponure wyczerpanie,draining_gloom
scena: udoskonalanie elementarne gazozo,gas_city_elemental_refinement_scene
ogień piekielny,hellfire
precyzyjna amunicja,precision_munition
pokrycie argonowe,argon_plating
corpus void key,corpus_void_key
hikou prime: zestaw,hikou_prime_set
poszukiwacz,seeker
ognisty cios,molten_impact
orthos prime: drzewce,orthos_prime_handle
reaper prime: ostrze,reaper_prime_blade
rozdzierający cios,rending_strike
zapas amunicji,ammo_stock
autodestrukcja,self_destruct
sprężynowa komora,spring_loaded_chamber
przyspieszone uderzenie,accelerated_blast
scindo prime - schemat,scindo_prime_blueprint
skażona amunicja,tainted_shell
parząca prawda,stinging_truth
powtarzalny ładownik,repeater_clip
śmiertelny cios,killing_blow
integralny katalizator,embedded_catalyzer
komora magmowa,magma_chamber
rykoszet,rebound
drenujące uderzenie,discharge_strike
volt: hełm arkanum storm,arcane_storm_helmet
zasięg,reach
poszycie anty-artyleryjskie,anti_flak_plating
łza azurytu,tear_azurite
mod riven strzelby (ukryty),shotgun_riven_mod_(veiled)
magus rytmu,magus_cadence
eksodia odwagi,exodia_brave
eksodia polowania,exodia_hunt
eksodia triumfu,exodia_triumph
magus wzrostu,magus_nourish
wirtuoz cienia,virtuos_shadow
ember prime: systemy - schemat,ember_prime_systems_blueprint
frost prime: powłoka - schemat,frost_prime_chassis_blueprint
rhino prime: systemy - schemat,rhino_prime_systems_blueprint
ember prime - schemat,ember_prime_blueprint
niszcząca zaraza,eroding_blight
zabójczy porządek,deadly_sequence
atak gorączki,fever_strike
zębaty magazynek,sawtooth_clip
loki: hełm arkanum essence,arcane_essence_helmet
ash: hełm arkanum locust,arcane_locust_helmet
królewskie tempo,tempo_royale
radian sentirum,radian_sentirum
gorgon prisma,prisma_gorgon
burza mózgów,brain_storm
w samo południe,high_noon
rozproszona sprawiedliwość,scattered_justice
brutalna fala,brutal_tide
lej kondensacyjny,funnel_clouds
ash prime - schemat,ash_prime_blueprint
decurion: korpus,decurion_receiver
trująca zaraza,toxic_blight
kubrow: obroża kavasa prime - schemat,kavasa_prime_kubrow_collar_blueprint
gwiazda ayatan: turkus,ayatan_cyan_star
zabójcze przyspieszenie,fatal_acceleration
phaedra: lufa,phaedra_barrel
złodziejski zmysł,thiefs_wit
furax wraith: lewa rękawica,furax_wraith_left_gauntlet
zręczne uderzenie,melee_prowess
gwiazda ayatan: bursztyn,ayatan_amber_star
przedłużony paraliż,prolonged_paralysis
mod riven karabinu (ukryty),rifle_riven_mod_(veiled)
strzał artyleryjski,flak_shot
za ciosem,follow_through
szybki magazynek,quickdraw
drwina obrońcy,guardian_derision
lodowa lawina,icy_avalanche
vay hek frequency triangulator,vay_hek_frequency_triangulator
mina wiążąca,whiplash_mine
odomedyk,odomedic
protonowe wybicie,proton_jet
nadpisanie zabezpieczeń,security_override
przystań szczeliny,rift_haven
maczeta wraith,machete_wraith
asekuracja,safeguard
prova vandal,prova_vandal
ścieżka posągów,path_of_statues
skażona chmura,contagion_cloud
reaper prime: zestaw,reaper_prime_set
blask samospalenia,immolated_radiance
vauban prime - schemat,vauban_prime_blueprint
carrier prime: karapaks,carrier_prime_carapace
pełna pojemność,full_capacity
magnetyczne rozładowanie,magnetized_discharge
ankyros prime - schemat,ankyros_prime_blueprint
scena: krypta inarosa,inaros_tomb_scene
boar prime: lufa,boar_prime_barrel
oberon prime: powłoka - schemat,oberon_prime_chassis_blueprint
broń w gotowości,lock_and_load
scena: arena lunaro,lunaro_arena_scene
silva i aegis prime: ostrze,silva_and_aegis_prime_blade
arkanum strażnika,arcane_guardian
boltor prime - schemat,boltor_prime_blueprint
szybkie odbicie,fast_deflection
sybaris prime: zestaw,sybaris_prime_set
oberon prime: systemy - schemat,oberon_prime_systems_blueprint
baza prime: korpus,baza_prime_receiver
rozpruwacz plagi prime,primed_smite_infested
shedu: lufa,shedu_barrel
shedu: korpus,shedu_receiver
rozpruwacz corpus prime,primed_smite_corpus
scena: fontanny świadomych,sentient_fountain_scene
shedu: zestaw,shedu_set
shedu: powłoka,shedu_chassis
kamuflaż pustki,void_cloak
odnowa drużyny,squad_renew
zagęszczenie punktowe,section_density
przepływ spalania,flow_burn
wzbierający pęd,surging_dash
przewodnik,conductor
kumulacyjny biczoszpon,accumulating_whipclaw
serce noctrul,heart_noctrul
przekaźnik fotonowy,photon_repeater
redeemer prime: zestaw,redeemer_prime_set
hipotermiczna łuska,hypothermic_shell
głowica,warhead
stacje bojowe,battle_stations
środki zaradcze,countermeasures
kuźnia krwi,blood_forge
fala zniszczenia,balefire_surge
scena: zagłębia świadomych,sentient_basin_scene
scena: balkonu świadomych,sentient_balcony_scene
wieczna kołysanka,endless_lullaby
magus przyspieszacza,magus_accelerant
galatine prime - schemat,galatine_prime_blueprint
as przestworzy,aerial_ace
energetyzujący strzał,energizing_shot
zakotwiczony lot,anchored_glide
jadowity magazynek,venomous_clip
dera vandal: lufa,dera_vandal_barrel
przeciwwaga,counterweight
granat antygrawitacyjny,anti_grav_grenade
krótkie wytchnienie,brief_respite
orthos prime: zestaw,orthos_prime_set
histeryczna napaść,hysterical_assault
przypływ umiejętności,adept_surge
furia gorgona,gorgon_frenzy
volt prime: zestaw,volt_prime_set
esher devar,esher_devar
banshee prime: neuroptyka - schemat,banshee_prime_neuroptics_blueprint
impuls elektryczny,electro_pulse
rozbrojenie,neutralize
szukaj,retrieve
imperator vandal: korpus,imperator_vandal_receiver
lecta secura,secura_lecta
amesha: systemy,amesha_systems_blueprint
amesha: skrzydła,amesha_wings_blueprint
amesha: uprząż,amesha_harness_blueprint
amesha: zestaw,amesha_set
elytron: uprząż,elytron_harness_blueprint
elytron: zestaw,elytron_set
itzal: systemy - schemat,itzal_systems_blueprint
itzal: skrzydła - schemat,itzal_wings_blueprint
itzal: uprząż - schemat,itzal_harness_blueprint
itzal: zestaw,itzal_set
rzeźba ayatan vaya,ayatan_vaya_sculpture
the perrin sequence augment mod,the_perrin_sequence_augment_mod
new loka augment mod,new_loka_augment_mod
arbiters of hexis augment mod,arbiters_of_hexis_augment_mod
urok,charm
kocie oko,cats_eye
zestaw medi-pet,medi_pet_kit
reaper prime: rękojeść,reaper_prime_handle
sicarus prime: lufa,sicarus_prime_barrel
braton prime: lufa,braton_prime_barrel
oczyszczające płomienie,purifying_flames
przeładowanie,overcharged
elytron: skrzydła,elytron_wings_blueprint
psota,mischief
tigris prime: zestaw,tigris_prime_set
ładowarka tarcz,shield_charger
mroczny sztylet rakta,rakta_dark_dagger
wyładowanie statyczne,static_discharge
próg bólu,pain_threshold
paris prime: cięciwa,paris_prime_string
dryf podwójnej lufy,double_barrel_drift
gorgon wraith - schemat,gorgon_wraith_blueprint
luneta argonowa,argon_scope
wybuchowy zgon,explosive_demise
sicarus prime: korpus,sicarus_prime_receiver
mantis: silniki - schemat,mantis_engines_blueprint
pewny strzał,sure_shot
glaive prime: ostrze,glaive_prime_blade
wyczerpujący zasięg,sapping_reach
karak wraith: zestaw,karak_wraith_set
fragor prime: zestaw,fragor_prime_set
karmazynowy derwisz,crimson_dervish
akstiletto prime - schemat,akstiletto_prime_blueprint
akstiletto prime: lufa,akstiletto_prime_barrel
zamrażanie,deep_freeze
akstiletto prime: korpus,akstiletto_prime_receiver
muskulatura,physique
akbolto prime: korpus,akbolto_prime_receiver
paris prime: górne ramię,paris_prime_upper_limb
akbolto prime - schemat,akbolto_prime_blueprint
silva i aegis prime - schemat,silva_and_aegis_prime_blueprint
scindo prime: ostrze,scindo_prime_blade
euphona prime: lufa,euphona_prime_barrel
mag prime - schemat,mag_prime_blueprint
furax wraith - schemat,furax_wraith_blueprint
frost prime: systemy - schemat,frost_prime_systems_blueprint
lodowa sprężyna,ice_spring
roztrzaskujące uderzenie,shattering_impact
transformator morficzny,morphic_transformer
helios prime: mózg,helios_prime_cerebrum
paris prime: dolne ramię,paris_prime_lower_limb
potrójny strzał,triple_tap
zajadły raptor,malicious_raptor
tarcza cieni,shield_of_shadows
wydrążony pocisk,hollow_point
trwający cios,enduring_strike
płomienny porządek,sequence_burn
xiphos: kadłub - schemat,xiphos_fuselage_blueprint
mantis: kadłub - schemat,mantis_fuselage_blueprint
pociski-ostrza,bladed_rounds
rozrywacz,shred
mantis: awionika - schemat,mantis_avionics_blueprint
gwintowanie,serration
arkanum uzdrowienia,arcane_healing
scimitar: kadłub - schemat,scimitar_fuselage_blueprint
szybki powrót,quick_return
piorunochron,lightning_rod
arkanum ciepła,arcane_warmth
stalowa szarża,steel_charge
szał,rage
trwające ukąszenie,lasting_sting
magistar sancti,sancti_magistar
aura emp,emp_aura
ogłuszające sztylety,pacifying_bolts
metalowe włókno,metal_fiber
wzmacniacz energii,energy_amplifier
strażnik venari,venari_bodyguard
wirtuoz trojana,virtuos_trojan
oślepiająca zjawa,blinding_reave
pieczęć strachu,dread_ward
grinlok prisma,prisma_grinlok
equinox prime: powłoka - schemat,equinox_prime_chassis_blueprint
stradavar prime - schemat,stradavar_prime_blueprint
marelok vaykor,vaykor_marelok
pociski ząbkowane,serrated_rounds
xiphos: silniki - schemat,xiphos_engines_blueprint
titania prime: neuroptyka - schemat,titania_prime_neuroptics_blueprint
pangolin prime: ostrze,pangolin_prime_blade
pangolin prime: zestaw,pangolin_prime_set
titania prime - schemat,titania_prime_blueprint
reduktor revo,revo_reducer
skalpel świadomych,sentient_scalpel
titania prime: zestaw,titania_prime_set
trybunał,tribunal
katapulta,catapult
płonąca grabież,blazing_pillage
zaklęte żniwa,spellbound_harvest
prędkość przelotowa,cruising_speed
tani strzał artylerii,artillery_cheap_shot
prędkość wieżyczek,turret_velocity
tani strzał uzbrojenia,ordnance_cheap_shot
pomiar balistyczny,ballista_measure
szybkie nakierowanie,quicklock
prędkość uzbrojenia,ordnance_velocity
czystka grineer prime,primed_cleanse_grineer
czystka plagi prime,primed_cleanse_infested
czystka corpus prime,primed_cleanse_corpus
czystka orokin prime,primed_cleanse_corrupted
obfita mutacja,abundant_mutation
oszałamiający śrut,dizzying_rounds
ujawniające zarodniki,revealing_spores
rozwścieczona,enraged
sterta gruzu,rubble_heap
precyzyjne trafienie,precision_strike
śmiertelne manewry,deadly_maneuvers
banshee prime - schemat,banshee_prime_blueprint
chłodne przeładowanie,chilling_reload
opływowy kształt,streamlined_form
dryfujący kontakt,drifting_contact
valkyr prime: powłoka - schemat,valkyr_prime_chassis_blueprint
krioamunicja prime,primed_cryo_rounds
centaur: zestaw,centaur_set
onorix: zestaw,onorix_set
agkuza: zestaw,agkuza_set
leczniczy powrót,healing_return
corvas: zestaw,corvas_set
odbudowujące tąpnięcie,reinforcing_stomp
rathbone: zestaw,rathbone_set
bezwzględna kombinacja,relentless_combination
cernos prime - schemat,cernos_prime_blueprint
cernos prime: dolne ramię,cernos_prime_lower_limb
cernos prime: górne ramię,cernos_prime_upper_limb
cernos prime: majdan,cernos_prime_grip
stan przeciążenia,condition_overload
wirusowy nawał,viral_tempest
wyższy bieg,dispatch_overdrive
trwające cierpienie,enduring_affliction
szabrowanie amunicji pistoletowej,pistol_scavenger
wyrm prime: zestaw,wyrm_prime_set
rdzeń transmutacyjny naramon,naramon_transmute_core
rdzeń transmutacyjny vazarin,vazarin_transmute_core
mściwe widmo,vengeful_revenant
gwiezdna autopsja,astral_autopsy
scena: sala konferencyjna ergo,ergos_boardroom_scene
zwinne celowanie,agile_aim
przewidzenie,anticipation
scena: równiny eidolon,plains_of_eidolon_scene
strzał rozrywający,shred_shot
burston prime: lufa,burston_prime_barrel
zlodowaciała fala,ice_wave_impedance
volt prime: systemy - schemat,volt_prime_systems_blueprint
dakra prime: ostrze,dakra_prime_blade
glaive prime: dysk,glaive_prime_disc
rzeźba ayatan ayr,ayatan_ayr_sculpture
rozciągnięcie,stretch
agkuza: garda,agkuza_guard
intensyfikacja,intensify
ciężka głowica,heavy_warhead
karak wraith: kolba,karak_wraith_stock
rdzeń transmutacyjny madurai,madurai_transmute_core
toksyczny ostrzał,toxic_barrage
drapieżnik alfa,apex_predator
mutator strzelbowy,shotgun_ammo_mutation
wyliczone zwycięstwo,calculated_victory
dopalacze hyperion,hyperion_thrusters
spowolnienie plagi,infested_impedance
hydroid prime: systemy - schemat,hydroid_prime_systems_blueprint
zwierzęcy instynkt prime,primed_animal_instinct
kradnąca dusząca kopuła,pilfering_strangledome
protonowe manewry,proton_pulse
scena: windy gazozo,gas_city_lifts_scene
scena: kanikuła,dog_days_scene
siłowniki fali uderzeniowej,shockwave_actuators
asymilacja,assimilate
glaive prime: zestaw,glaive_prime_set
scindo prime: zestaw,scindo_prime_set
boltace telos,telos_boltace
latron prime: korpus,latron_prime_receiver
latron prime: kolba,latron_prime_stock
lex prime: lufa,lex_prime_barrel
scena: fabryka lasu grineer,grineer_forest_factory_scene
dusza nyth,heart_nyth
szczelna ofensywa,impenetrable_offense
scena: bank pamięci sudy,sudas_datascape_scene
sybaris prime: korpus,sybaris_prime_receiver
ogłuszająca tarcza,staggering_shield
akstiletto prime: zestaw,akstiletto_prime_set
stropha: zestaw,stropha_set
velox: zestaw,velox_set
stahlta: lufa,stahlta_barrel
stahlta: zestaw,stahlta_set
velox: korpus,velox_receiver
stropha: ostrze,stropha_blade
stahlta: korpus,stahlta_receiver
stropha: korpus,stropha_receiver
stropha: kolba,stropha_stock
stropha: lufa,stropha_barrel
stahlta: kolba,stahlta_stock
velox: lufa,velox_barrel
scena: hangaru statków corpus,corpus_ship_hangar_scene
scena: mostku statku corpus,corpus_ship_bridge_scene
scena: dział orbitalnych na statku corpus,corpus_ship_orbital_cannon_scene
glaxion vandal,glaxion_vandal
pokrycie lufy rubedo prime,primed_rubedo_lined_barrel
inaros prime: zestaw,inaros_prime_set
inaros prime: powłoka - schemat,inaros_prime_chassis_blueprint
inaros prime: neuroptyka - schemat,inaros_prime_neuroptics_blueprint
inaros prime - schemat,inaros_prime_blueprint
inaros prime: systemy - schemat,inaros_prime_systems_blueprint
panthera prime: kolba,panthera_prime_stock
karyst prime: rękojeść,karyst_prime_handle
karyst prime: zestaw,karyst_prime_set
panthera prime: zestaw,panthera_prime_set
panthera prime: lufa,panthera_prime_barrel
panthera prime: korpus,panthera_prime_receiver
panthera prime - schemat,panthera_prime_blueprint
karyst prime - schemat,karyst_prime_blueprint
karyst prime: ostrze,karyst_prime_blade
strażnicze zasoby,vigilante_supplies
miażdżąca ruina,crushing_ruin
braton prime: kolba,braton_prime_stock
dakra prime - schemat,dakra_prime_blueprint
ograniczony umysł,narrow_minded
xiphos: awionika - schemat,xiphos_avionics_blueprint
utrzymanie pozycji,stand_ground
glaive prime - schemat,glaive_prime_blueprint
łamacz celu prime,primed_target_cracker
refleks rewolwerowca,reflex_draw
akstiletto prime: połączenie,akstiletto_prime_link
zguba orokin,bane_of_corrupted
scena: bank pamięci hunhowa,hunhows_datascape_scene
okaleczenie,maim
oberon prime - schemat,oberon_prime_blueprint
łupieżca,looter
mutator pistoletowy,pistol_ammo_mutation
trujące żądło,poisonous_sting
scena: świątynia harrowa,harrows_temple_scene
scena: odwrót amaryn,amaryns_retreat_scene
scena: jednolite tło,color_key_scene
phaedra: zestaw,phaedra_set
cernos prime: cięciwa,cernos_prime_string
cernos prime: zestaw,cernos_prime_set
valkyr prime - schemat,valkyr_prime_blueprint
valkyr prime: zestaw,valkyr_prime_set
venka prime: ostrza,venka_prime_blades
łowca nagród,bounty_hunter
potwierdzony cel,target_acquired
nacelowanie,heartseeker
lojalny towarzysz,loyal_companion
furia stanu,martial_fury
rozstrzygający osąd,decisive_judgement
skręcona iglica,twirling_spire
zasilanie pomocnicze,auxiliary_power
soczewka eidolona - schemat,eidolon_lens_blueprint
lśniący szpon,gleaming_talon
szperacz,scavenge
rewolwerowiec,gunslinger
rozbijający splot,sundering_weave
amunicja palownika,impaler_munitions
odnowienie feniksa,phoenix_renewal
porażający pocisk,shell_shock
wybuchowa larwa,larva_burst
rozcinający wir,cleaving_whirlwind
rozproszenie tłumu,crowd_dispersion
cyngas: korpus,cyngas_receiver
odonata prime - schemat,odonata_prime_blueprint
ślepa sprawiedliwość,blind_justice
pełny kontakt,full_contact
wiązka medyczna,medi_ray
osłona em,electromagnetic_shielding
imperator vandal: zestaw,imperator_vandal_set
dopalenie,afterburner
gambit pistoletowy prime,primed_pistol_gambit
hek vaykor,vaykor_hek
lufa hydrauliczna,hydraulic_barrel
saryn prime: neuroptyka - schemat,saryn_prime_neuroptics_blueprint
nami skyla prime: ostrze,nami_skyla_prime_blade
kronen prime: rękojeść,kronen_prime_handle
gladiatorska finezja,gladiator_finesse
wróżbiarski zasięg,augur_reach
poświęcenie,sacrifice
myśliwskie tropienie,hunter_track
myśliwski rozkaz,hunter_command
boar prime: korpus,boar_prime_receiver
radiolokalizator omega,omega_beacon
regenerujące linienie,regenerative_molt
boar prime: kolba,boar_prime_stock
gorgon wraith: lufa,gorgon_wraith_barrel
kogake prime: but,kogake_prime_boot
akbolto prime: zestaw,akbolto_prime_set
akbolto prime: połączenie,akbolto_prime_link
akbolto prime: lufa,akbolto_prime_barrel
braton vandal - schemat,braton_vandal_blueprint
limbo prime: zestaw,limbo_prime_set
rozczłonkowany werbel,partitioned_mallet
trapezowy ksenorast,trapezium_xenorhast
sok,juice
klatka saxum,saxum_thorax
nekramechowy punkt nacisku,necramech_pressure_point
nekramechowa witalność,necramech_vitality
krwiste ugryzienie,draining_bite
nekramechowy ślizg,necramech_slipstream
kwaśna plwocina,acidic_spittle
wektor endopasożytniczy,endoparasitic_vector
nekramechowy odrzut,necramech_thrusters
uszkodzona kapsuła broni nekramecha,damaged_necramech_weapon_pod
fasetowany tiametryt,faceted_tiametrite
uszkodzony silnik nekramecha,damaged_necramech_engine
bomba lądowa,bomb_the_landin
rzeźba ayatan sah,ayatan_sah_sculpture
red veil augment mod,red_veil_augment_mod
przebiegły aspekt,cunning_aspect
zwierciadło,reflect
rozdzierający wiatr,rending_wind
corvas: korpus,corvas_receiver
szlachetna regularność,noble_cadence
łuski termagnetyczne,thermagnetic_shells
corvas: kolba,corvas_stock
kinetyczny rykoszet,kinetic_ricochet
śmiertelny przepływ,mortal_conduct
zasłona,parry
sicarus prime - schemat,sicarus_prime_blueprint
gorgon wraith: zestaw,gorgon_wraith_set
wznosząca sprawność,rising_skill
kruszące zmiażdżenie,fracturing_crush
fang prime - schemat,fang_prime_blueprint
promienne wykończenie,radiant_finish
zajadłość,ferocity
xiphos: zestaw,xiphos_set
wysokie napięcie,high_voltage
vauban prime: powłoka - schemat,vauban_prime_chassis_blueprint
ładująca bariera,recharge_barrier
porywcze działanie,tempered_bound
skoncentrowane przyspieszenie,focused_acceleration
siła zderzenia,collision_force
latron prime - schemat,latron_prime_blueprint
braton prime - schemat,braton_prime_blueprint
zdeptany wyżlin,defiled_snapdragon
nikana prime: rękojeść,nikana_prime_hilt
odzysk,recuperate
nikana prime: zestaw,nikana_prime_set
wyczucie celu,vital_sense
valkyr prime: systemy - schemat,valkyr_prime_systems_blueprint
cyngas: zestaw,cyngas_set
war strzaskany: zestaw,broken_war_set
venka prime: rękawica,venka_prime_gauntlet
kaszas: zestaw,kaszas_set
velocitus: zestaw,velocitus_set
fluctus: zestaw,fluctus_set
decurion podwójny: zestaw,dual_decurion_set
szeroki pogląd,broad_eye
sekwencja napięciowa,voltage_sequence
akbronco prime - schemat,akbronco_prime_blueprint
krioamunicja,cryo_rounds
milcząca bateria,silent_battery
phaedra: korpus,phaedra_receiver
euphona prime: korpus,euphona_prime_receiver
przejściowe wzmocnienie,transient_fortitude
pociski wstrząsowe,concussion_rounds
wycie,howl
agkuza: rękojeść,agkuza_handle
carrier prime: systemy,carrier_prime_systems
ukryta śmiertelność,covert_lethality
pierzasta strzała,feathered_arrows
załadowana pojemność,loaded_capacity
luźna komora,loose_chamber
opancerzony unik,armored_evade
nano-aplikator,nano_applicator
