uk,slug
містична жвавість,arcane_agility
пронизливе ревіння,piercing_roar
носій-прайм (комплект),carrier_prime_set
тиха невидимість,hushed_invisibility
дакра-прайм (комплект),dakra_prime_set
хапальний рій,pilfering_swarm
діамантова шкіра,diamond_skin
дера-вандал (комплект),dera_vandal_set
токсична послідовність,toxic_sequence
пагуба-примара (кресленик),latron_wraith_blueprint
пагуба-примара: ствольна коробка,latron_wraith_receiver
пагуба-примара: ложе,latron_wraith_stock
пагуба-примара (комплект),latron_wraith_set
захист території,territorial_aggression
замах,swipe
пазур,pounce
загострені пазурі,sharpened_claws
парні гадюки-примари: спаровувач,twin_vipers_wraith_link
парні гадюки-примари: ствольні коробки,twin_vipers_wraith_receivers
парні гадюки-примари (комплект),twin_vipers_wraith_set
викривач ворогів,enemy_radar
некрос-прайм: каркас (кресленик),nekros_prime_chassis_blueprint
містичний охоронець,arcane_bodyguard
містичний наснажувач основної зброї,arcane_primary_charger
швидка миттєвість,swift_momentum
бойова справа,combat_discipline
містичний наснажувач клинків,arcane_blade_charger
бойова настанова,melee_guidance
атлас-прайм: каркас (кресленик),atlas_prime_chassis_blueprint
смертокуб-прайм: панцир,dethcube_prime_carapace
смертокуб-прайм: мозок,dethcube_prime_cerebrum
текко-прайм: рукавиця,tekko_prime_gauntlet
смертокуб-прайм (кресленик),dethcube_prime_blueprint
смертокуб-прайм (комплект),dethcube_prime_set
крижане лезо,glacial_edge
руйнівник органів,organ_shatter
лімбо-прайм: системи (кресленик),limbo_prime_systems_blueprint
динаміка,runtime
бий-біжи,hit_and_run
івара-прайм: нейроптика (кресленик),ivara_prime_neuroptics_blueprint
івара-прайм: каркас (кресленик),ivara_prime_chassis_blueprint
івара-прайм: системи (кресленик),ivara_prime_systems_blueprint
база-прайм (кресленик),baza_prime_blueprint
база-прайм (комплект),baza_prime_set
аксомати-прайм (комплект),aksomati_prime_set
аксомати-прайм: спаровувач,aksomati_prime_link
база-прайм: ложе,baza_prime_stock
аксомати-прайм: ствольна коробка,aksomati_prime_receiver
ґрам-прайм: руків’я,gram_prime_handle
праймований розмах,primed_reach
охоронне кадило,warding_thurible
геліос-прайм (кресленик),helios_prime_blueprint
гранична швидкість,terminal_velocity
крижаний шторм,ice_storm
циклонний кракен,cyclone_kraken
карак-примара: ствольна коробка,karak_wraith_receiver
орвій: диск,orvius_disc
лінза вазаріна,vazarin_lens
занурювальний кіготь,sinking_talon
перетворення здоров’я,health_conversion
рефлекторна спіраль,reflex_coil
васто-прайм: ствольна коробка,vasto_prime_receiver
опальний стрибок,searing_leap
виявляч здобичі,loot_detector
тривка бастилія,repelling_bastille
експансивні кулі,hollowed_bullets
ятаган: рушії (кресленик),scimitar_engines_blueprint
наступ броненосця,ironclad_charge
панорама: узи вуалі,veils_binding_scene
маґус «драйв»,magus_drive
швидке заряджання,quick_reload
хвороблива лихоманка,strain_fever
влучна арк-гармата,archgun_ace
божевільний набір,mad_stack
розлога напасть,teeming_virulence
панорама: фортуна,fortuna_scene
тіпедо-прайм: орнамент,tipedo_prime_ornament
страдавар-прайм: ствольна коробка,stradavar_prime_receiver
снайптрон-вандал: ствол,snipetron_vandal_barrel
містичний шолом «скорпіон»,arcane_scorpion_helmet
змій-прайм: мозок,wyrm_prime_cerebrum
моторні приціли,spry_sights
націлювач,targeting_receptor
аятана-скульптура «валана»,ayatan_valana_sculpture
погибель заражених,bane_of_infested
шокова терапія,shocking_touch
цинґаз: ствол,cyngas_barrel
підсилювач бігу,sprint_boost
цинґаз: ложе,cyngas_stock
лютий спис,furious_javelin
лекс-прайм (кресленик),lex_prime_blueprint
поглинальне сяйво,draining_gloom
панорама: газове місто — цех перероблення,gas_city_elemental_refinement_scene
пекельний вогонь,hellfire
точні боєприпаси,precision_munition
аргонове покриття,argon_plating
ключ порожнечі корпусу,corpus_void_key
хіко-прайм (комплект),hikou_prime_set
шукач,seeker
розпечений удар,molten_impact
ортос-прайм: руків’я,orthos_prime_handle
жнець-прайм: клинок,reaper_prime_blade
розшматування,rending_strike
запас набоїв,ammo_stock
самознищення,self_destruct
пружинний зарядник,spring_loaded_chamber
вибухове прискорення,accelerated_blast
скіндо-прайм (кресленик),scindo_prime_blueprint
зіпсовані набої,tainted_shell
пекуча правда,stinging_truth
повторювальний магазин,repeater_clip
убивчий удар,killing_blow
вмонтований каталізатор,embedded_catalyzer
лавовий набійник,magma_chamber
відскок,rebound
удар розряджання,discharge_strike
містичний шолом «шторм»,arcane_storm_helmet
розмах,reach
протизенітне покриття,anti_flak_plating
азуритова сльоза,tear_azurite
модифікатор розколу для рушниць (прихований),shotgun_riven_mod_(veiled)
маґус «каданс»,magus_cadence
екзодія «відвага»,exodia_brave
екзодія «полювання»,exodia_hunt
екзодія «тріумф»,exodia_triumph
маґус «підживлення»,magus_nourish
віртус «морок»,virtuos_shadow
ембер-прайм: системи (кресленик),ember_prime_systems_blueprint
фрост-прайм: каркас (кресленик),frost_prime_chassis_blueprint
райно-прайм: системи (кресленик),rhino_prime_systems_blueprint
ембер-прайм (кресленик),ember_prime_blueprint
руйнівний занепад,eroding_blight
смертельна послідовність,deadly_sequence
напад пропасниці,fever_strike
магазин із зубцями,sawtooth_clip
містичний шолом «квінтесенція»,arcane_essence_helmet
містичний шолом «сарана»,arcane_locust_helmet
королівський ритм,tempo_royale
сяйнистий свідомит,radian_sentirum
горгона-призма,prisma_gorgon
мізки навиліт,brain_storm
опівдні,high_noon
розсіяне правосуддя,scattered_justice
звіриний натиск,brutal_tide
вихрові хмари,funnel_clouds
еш-прайм (кресленик),ash_prime_blueprint
декуріон: ствольна коробка,decurion_receiver
токсичний занепад,toxic_blight
нашийник «каваса-прайм» для куброу (кресленик),kavasa_prime_kubrow_collar_blueprint
блакитна аятана-зірка,ayatan_cyan_star
фатальне пришвидшення,fatal_acceleration
федра: ствол,phaedra_barrel
злочинний розум,thiefs_wit
фуракс-примара: ліва рукавиця,furax_wraith_left_gauntlet
майстерність ближнього бою,melee_prowess
бурштинова аятана-зірка,ayatan_amber_star
подовжений параліч,prolonged_paralysis
модифікатор розколу для гвинтівок (прихований),rifle_riven_mod_(veiled)
розривний постріл,flak_shot
продовження,follow_through
швидке перезаряджання,quickdraw
захисна насмішка,guardian_derision
крижана лавина,icy_avalanche
vay hek frequency triangulator,vay_hek_frequency_triangulator
притягувальна міна,whiplash_mine
цілющий біг,odomedic
протонний струмінь,proton_jet
перезапис систем безпеки,security_override
прихисток розлому,rift_haven
мачете-примара,machete_wraith
гарантована охорона,safeguard
прова-вандал,prova_vandal
шлях статуй,path_of_statues
заразна хмара,contagion_cloud
жнець-прайм (комплект),reaper_prime_set
сяйво самоспалення,immolated_radiance
вобан-прайм (кресленик),vauban_prime_blueprint
носій-прайм: панцир,carrier_prime_carapace
повна місткість,full_capacity
намагнічений розряд,magnetized_discharge
анкирос-прайм (кресленик),ankyros_prime_blueprint
панорама: усипальниця інара,inaros_tomb_scene
вепр-прайм: ствол,boar_prime_barrel
оберон-прайм: каркас (кресленик),oberon_prime_chassis_blueprint
зброю до бою,lock_and_load
панорама: лунарна арена,lunaro_arena_scene
сильва й еґіда-прайм: клинок,silva_and_aegis_prime_blade
містичний вартовий,arcane_guardian
болтор-прайм (кресленик),boltor_prime_blueprint
швидке заломлення,fast_deflection
сибаріс-прайм (комплект),sybaris_prime_set
оберон-прайм: системи (кресленик),oberon_prime_systems_blueprint
база-прайм: ствольна коробка,baza_prime_receiver
праймоване вирізання заражених,primed_smite_infested
шеду: ствол,shedu_barrel
шеду: ствольна коробка,shedu_receiver
праймоване вирізання корпусу,primed_smite_corpus
панорама: свідомі — фонтан,sentient_fountain_scene
шеду (комплект),shedu_set
шеду: каркас,shedu_chassis
маскування порожнечею,void_cloak
оновлення загону,squad_renew
щільність пострілів,section_density
допалювач,flow_burn
коливальний випад,surging_dash
провідник,conductor
накопичувальний пазурхлист,accumulating_whipclaw
ноктрулове серце,heart_noctrul
фотонний повторювач,photon_repeater
визволитель-прайм (комплект),redeemer_prime_set
гіпотермічні набої,hypothermic_shell
боєголовка,warhead
бойові позиції,battle_stations
протидія,countermeasures
кривава кузня,blood_forge
вогнестрільний сплеск,balefire_surge
панорама: свідомі — резервуар,sentient_basin_scene
панорама: свідомі — балкон,sentient_balcony_scene
нескінченна колискова,endless_lullaby
маґус «займистість»,magus_accelerant
ґалатин-прайм (кресленик),galatine_prime_blueprint
повітряний ас,aerial_ace
заряджальний постріл,energizing_shot
зачеплене ковзання,anchored_glide
отруйна обойма,venomous_clip
дера-вандал: ствол,dera_vandal_barrel
противага,counterweight
антигравітаційна граната,anti_grav_grenade
коротка зупинка,brief_respite
ортос-прайм (комплект),orthos_prime_set
істеричний наступ,hysterical_assault
хірургічна точність,adept_surge
божевілля горгони,gorgon_frenzy
вольт-прайм (комплект),volt_prime_set
ешеровий девар,esher_devar
банші-прайм: нейроптика (кресленик),banshee_prime_neuroptics_blueprint
електророзряд,electro_pulse
нейтралізація,neutralize
пошук,retrieve
імператор-вандал: ствольна коробка,imperator_vandal_receiver
лекта-секура,secura_lecta
амеша: системи,amesha_systems_blueprint
амеша: крила,amesha_wings_blueprint
амеша: збруя,amesha_harness_blueprint
амеша (комплект),amesha_set
елитрон: збруя,elytron_harness_blueprint
елитрон (комплект),elytron_set
ітцаль: системи (кресленик),itzal_systems_blueprint
ітцаль: крила (кресленик),itzal_wings_blueprint
ітцаль: збруя (кресленик),itzal_harness_blueprint
ітцаль (комплект),itzal_set
аятана-скульптура «вая»,ayatan_vaya_sculpture
модифікатори-розширення «послідовності перрена»,the_perrin_sequence_augment_mod
модифікатори-розширення «нової локи»,new_loka_augment_mod
модифікатори-розширення «арбітрів гексису»,arbiters_of_hexis_augment_mod
зачаровування,charm
котяче око,cats_eye
зооаптечка,medi_pet_kit
жнець-прайм: руків’я,reaper_prime_handle
сикар-прайм: ствол,sicarus_prime_barrel
братон-прайм: ствол,braton_prime_barrel
очищувальне полум’я,purifying_flames
надзарядка,overcharged
елитрон: крила,elytron_wings_blueprint
капості,mischief
тигріс-прайм (комплект),tigris_prime_set
зарядник щитів,shield_charger
темний кинджал-ракта,rakta_dark_dagger
статичне розряджання,static_discharge
межа болю,pain_threshold
паріс-прайм: тятива,paris_prime_string
двоствольний маневр,double_barrel_drift
горгона-примара (кресленик),gorgon_wraith_blueprint
аргоновий приціл,argon_scope
вибухова загибель,explosive_demise
сикар-прайм: ствольна коробка,sicarus_prime_receiver
богомол: рушії (кресленик),mantis_engines_blueprint
вивірений постріл,sure_shot
глефа-прайм: клинок,glaive_prime_blade
витягувальне тяжіння,sapping_reach
карак-примара (комплект),karak_wraith_set
фраґор-прайм (комплект),fragor_prime_set
багряний дервіш,crimson_dervish
акстилетто-прайм (кресленик),akstiletto_prime_blueprint
акстилетто-прайм: ствол,akstiletto_prime_barrel
глибоке замороження,deep_freeze
акстилетто-прайм: ствольна коробка,akstiletto_prime_receiver
постать,physique
акболто-прайм: ствольна коробка,akbolto_prime_receiver
паріс-прайм: верхнє плече,paris_prime_upper_limb
акболто-прайм (кресленик),akbolto_prime_blueprint
сильва й еґіда-прайм (кресленик),silva_and_aegis_prime_blueprint
скіндо-прайм: клинок,scindo_prime_blade
юфона-прайм: ствол,euphona_prime_barrel
меґ-прайм (кресленик),mag_prime_blueprint
фуракс-примара (кресленик),furax_wraith_blueprint
фрост-прайм: системи (кресленик),frost_prime_systems_blueprint
крижана пружина,ice_spring
руйнівний удар,shattering_impact
морфічний перетворювач,morphic_transformer
геліос-прайм: мозок,helios_prime_cerebrum
паріс-прайм: нижнє плече,paris_prime_lower_limb
потрійне натискання,triple_tap
лихий хижак,malicious_raptor
щит із тіней,shield_of_shadows
експансивна куля,hollow_point
тривкий удар,enduring_strike
послідовне горіння,sequence_burn
ксифос: фюзеляж (кресленик),xiphos_fuselage_blueprint
богомол: фюзеляж (кресленик),mantis_fuselage_blueprint
загострені набої,bladed_rounds
чикриження,shred
богомол: авіоніка (кресленик),mantis_avionics_blueprint
зубець,serration
містичне зцілення,arcane_healing
ятаган: фюзеляж (кресленик),scimitar_fuselage_blueprint
швидке повернення,quick_return
блискавичник,lightning_rod
містичне тепло,arcane_warmth
сталева наснага,steel_charge
гнів,rage
незупинне краяння,lasting_sting
маґістар-санкті,sancti_magistar
аура емі,emp_aura
заспокійливі заряди,pacifying_bolts
металеве волокно,metal_fiber
підсилювач потужності,energy_amplifier
венарі-охоронниця,venari_bodyguard
віртус «троян»,virtuos_trojan
засліпливе спустошення,blinding_reave
вартова жаху,dread_ward
ґрінлок-призма,prisma_grinlok
еквінокс-прайм: каркас (кресленик),equinox_prime_chassis_blueprint
страдавар-прайм (кресленик),stradavar_prime_blueprint
мерлок-вейкор,vaykor_marelok
зубчасті набої,serrated_rounds
ксифос: рушії (кресленик),xiphos_engines_blueprint
титанія-прайм: нейроптика (кресленик),titania_prime_neuroptics_blueprint
панґолін-прайм: клинок,pangolin_prime_blade
панґолін-прайм (комплект),pangolin_prime_set
титанія-прайм (кресленик),titania_prime_blueprint
зменшувач револіту,revo_reducer
скальпель для свідомих,sentient_scalpel
титанія-прайм (комплект),titania_prime_set
трибунал,tribunal
катапультування,catapult
вогняне обкрадання,blazing_pillage
зачаровані жнива,spellbound_harvest
крейсерська швидкість,cruising_speed
дешевий артилерійський постріл,artillery_cheap_shot
швидкі турелі,turret_velocity
дешевий гарматний постріл,ordnance_cheap_shot
балістична дальність,ballista_measure
швидке наведення,quicklock
швидкий снаряд,ordnance_velocity
праймована зачистка ґрінерів,primed_cleanse_grineer
праймована зачистка заражених,primed_cleanse_infested
праймована зачистка корпусу,primed_cleanse_corpus
праймована зачистка орокінів,primed_cleanse_corrupted
рясна мутація,abundant_mutation
запаморочливі набої,dizzying_rounds
розкривальні спори,revealing_spores
розлюченість,enraged
купа щебеню,rubble_heap
точний удар,precision_strike
смертоносні маневри,deadly_maneuvers
банші-прайм (кресленик),banshee_prime_blueprint
прохолодне перезаряджання,chilling_reload
обтічна форма,streamlined_form
плинний дотик,drifting_contact
валькірія-прайм: каркас (кресленик),valkyr_prime_chassis_blueprint
праймовані крижані кулі,primed_cryo_rounds
кентавр (комплект),centaur_set
онорікс (комплект),onorix_set
аґкуза (комплект),agkuza_set
зворотне зцілення,healing_return
корвас (комплект),corvas_set
посилювальне тупання,reinforcing_stomp
ретбон (комплект),rathbone_set
невпинна серія,relentless_combination
цернос-прайм (кресленик),cernos_prime_blueprint
цернос-прайм: нижнє плече,cernos_prime_lower_limb
цернос-прайм: верхнє плече,cernos_prime_upper_limb
цернос-прайм: руків’я,cernos_prime_grip
перевантаження стану,condition_overload
вірусний буревій,viral_tempest
швидке перевантаження,dispatch_overdrive
тривке лихо,enduring_affliction
збирач із пістолетом,pistol_scavenger
змій-прайм (комплект),wyrm_prime_set
ядро перетворення нарамон,naramon_transmute_core
ядро перетворення вазарін,vazarin_transmute_core
мстива мара,vengeful_revenant
астральний розтин,astral_autopsy
панорама: зала засідань ерґо,ergos_boardroom_scene
спритне прицілювання,agile_aim
очікування,anticipation
панорама: рівнини ейдолонів,plains_of_eidolon_scene
шматувальний постріл,shred_shot
берстон-прайм: ствол,burston_prime_barrel
крижана хвиля опору,ice_wave_impedance
вольт-прайм: системи (кресленик),volt_prime_systems_blueprint
дакра-прайм: клинок,dakra_prime_blade
глефа-прайм: диск,glaive_prime_disc
аятана-скульптура «аир»,ayatan_ayr_sculpture
простягнення,stretch
аґкуза: ефес,agkuza_guard
підсилення,intensify
важка боєголовка,heavy_warhead
карак-примара: ложе,karak_wraith_stock
ядро перетворення мадурай,madurai_transmute_core
токсичний шквал,toxic_barrage
найвищий хижак,apex_predator
мутація в набої рушниці,shotgun_ammo_mutation
вирахувана перемога,calculated_victory
гіперіонські рушії,hyperion_thrusters
опір зараженню,infested_impedance
гідроїд-прайм: системи (кресленик),hydroid_prime_systems_blueprint
праймований тваринний інстинкт,primed_animal_instinct
злодійський купол,pilfering_strangledome
протонний розряд,proton_pulse
панорама: газове місто — підіймачі,gas_city_lifts_scene
панорама: «спекотні дні»,dog_days_scene
сейсмічні приводи,shockwave_actuators
засвоєння,assimilate
глефа-прайм (комплект),glaive_prime_set
скіндо-прайм (комплект),scindo_prime_set
болтейс-телос,telos_boltace
пагуба-прайм: ствольна коробка,latron_prime_receiver
пагуба-прайм: ложе,latron_prime_stock
лекс-прайм: ствол,lex_prime_barrel
панорама: ґрінерський ліс — фабрика,grineer_forest_factory_scene
нитове серце,heart_nyth
непробивний наступ,impenetrable_offense
панорама: інфопростір суди,sudas_datascape_scene
сибаріс-прайм: ствольна коробка,sybaris_prime_receiver
захитувальний щит,staggering_shield
акстилетто-прайм (комплект),akstiletto_prime_set
строфа (комплект),stropha_set
велокс (комплект),velox_set
стальта: ствол,stahlta_barrel
стальта (комплект),stahlta_set
велокс: ствольна коробка,velox_receiver
строфа: клинок,stropha_blade
стальта: ствольна коробка,stahlta_receiver
строфа: ствольна коробка,stropha_receiver
строфа: ложе,stropha_stock
строфа: ствол,stropha_barrel
стальта: ложе,stahlta_stock
велокс: ствол,velox_barrel
панорама: зореліт корпусу — ангар,corpus_ship_hangar_scene
панорама: зореліт корпусу — місток,corpus_ship_bridge_scene
панорама: зореліт корпусу — орбітальна гармата,corpus_ship_orbital_cannon_scene
ґлаксіо-вандал,glaxion_vandal
праймований рубедовий ствол,primed_rubedo_lined_barrel
інар-прайм (комплект),inaros_prime_set
інар-прайм: каркас (кресленик),inaros_prime_chassis_blueprint
інар-прайм: нейроптика (кресленик),inaros_prime_neuroptics_blueprint
інар-прайм (кресленик),inaros_prime_blueprint
інар-прайм: системи (кресленик),inaros_prime_systems_blueprint
пантера-прайм: ложе,panthera_prime_stock
карист-прайм: руків’я,karyst_prime_handle
карист-прайм (комплект),karyst_prime_set
пантера-прайм (комплект),panthera_prime_set
пантера-прайм: ствол,panthera_prime_barrel
пантера-прайм: ствольна коробка,panthera_prime_receiver
пантера-прайм (кресленик),panthera_prime_blueprint
карист-прайм (кресленик),karyst_prime_blueprint
карист-прайм: клинок,karyst_prime_blade
припаси чатового,vigilante_supplies
нищівне руйнування,crushing_ruin
братон-прайм: ложе,braton_prime_stock
дакра-прайм (кресленик),dakra_prime_blueprint
вузькоглядність,narrow_minded
ксифос: авіоніка (кресленик),xiphos_avionics_blueprint
опорний пункт,stand_ground
глефа-прайм (кресленик),glaive_prime_blueprint
праймований цілелам,primed_target_cracker
мимовільне витягнення,reflex_draw
акстилетто-прайм: спаровувач,akstiletto_prime_link
погибель орокінів,bane_of_corrupted
панорама: інфопростір — ганго,hunhows_datascape_scene
калічення,maim
оберон-прайм (кресленик),oberon_prime_blueprint
мародер,looter
мутація в набої пістолета,pistol_ammo_mutation
отруйне жало,poisonous_sting
панорама: храм гарроу,harrows_temple_scene
панорама: прихисток амарини,amaryns_retreat_scene
панорама: хромакей,color_key_scene
федра (комплект),phaedra_set
цернос-прайм: тятива,cernos_prime_string
цернос-прайм (комплект),cernos_prime_set
валькірія-прайм (кресленик),valkyr_prime_blueprint
валькірія-прайм (комплект),valkyr_prime_set
венка-прайм: леза,venka_prime_blades
мисливець за головами,bounty_hunter
визначена ціль,target_acquired
серцешук,heartseeker
відданий супутник,loyal_companion
смертельна лють,martial_fury
остаточний вирок,decisive_judgement
обертове вістря,twirling_spire
допоміжна енергія,auxiliary_power
лінза ейдолона (кресленик),eidolon_lens_blueprint
сяйнистий кіготь,gleaming_talon
збирання,scavenge
стрілець,gunslinger
розсипне сплетіння,sundering_weave
пробивні боєприпаси,impaler_munitions
відродження фенікса,phoenix_renewal
шокувальні набої,shell_shock
личинковий вибух,larva_burst
кілкий вихор,cleaving_whirlwind
розгін натовпу,crowd_dispersion
цинґаз: ствольна коробка,cyngas_receiver
одоната-прайм (кресленик),odonata_prime_blueprint
сліпе правосуддя,blind_justice
повний контакт,full_contact
лікувальні промені,medi_ray
електромагнетичне покриття,electromagnetic_shielding
імператор-вандал (комплект),imperator_vandal_set
форсаж,afterburner
праймований пістолетний гамбіт,primed_pistol_gambit
гек-вейкор,vaykor_hek
гідравлічний ствол,hydraulic_barrel
зарина-прайм: нейроптика (кресленик),saryn_prime_neuroptics_blueprint
намі-скила-прайм: клинок,nami_skyla_prime_blade
кронен-прайм: руків’я,kronen_prime_handle
майстерність гладіатора,gladiator_finesse
розмах віщуна,augur_reach
самопожертва,sacrifice
вистежування мисливця,hunter_track
настанова мисливця,hunter_command
вепр-прайм: ствольна коробка,boar_prime_receiver
радіомаяк «омега»,omega_beacon
відновлювальне линяння,regenerative_molt
вепр-прайм: ложе,boar_prime_stock
горгона-примара: ствол,gorgon_wraith_barrel
коґаке-прайм: носак,kogake_prime_boot
акболто-прайм (комплект),akbolto_prime_set
акболто-прайм: спаровувач,akbolto_prime_link
акболто-прайм: ствол,akbolto_prime_barrel
братон-вандал (кресленик),braton_vandal_blueprint
лімбо-прайм (комплект),limbo_prime_set
розділення киянки,partitioned_mallet
трапецієподібний ксенораст,trapezium_xenorhast
енергосік,juice
грудина саксума,saxum_thorax
больова точка некрамеха,necramech_pressure_point
життєвість некрамеха,necramech_vitality
виснажливий укус,draining_bite
ковзання некрамеха,necramech_slipstream
кислотний плювок,acidic_spittle
ендопаразитний вектор,endoparasitic_vector
рушії некрамеха,necramech_thrusters
пошкоджений збройовий відсік некрамеха,damaged_necramech_weapon_pod
гранчастий тіаметрит,faceted_tiametrite
пошкоджений рушій некрамеха,damaged_necramech_engine
бомбезне приземлення,bomb_the_landin
аятана-скульптура «са»,ayatan_sah_sculpture
модифікатори-розширення «багряної вуалі»,red_veil_augment_mod
хитрий вигляд,cunning_aspect
відбивання,reflect
рвучкий вітер,rending_wind
корвас: ствольна коробка,corvas_receiver
шляхетний каданс,noble_cadence
термомагнетичні набої,thermagnetic_shells
корвас: ложе,corvas_stock
кінетичний рикошет,kinetic_ricochet
смертна перепустка,mortal_conduct
парирування,parry
сикар-прайм (кресленик),sicarus_prime_blueprint
горгона-примара (комплект),gorgon_wraith_set
наростальне вміння,rising_skill
розривне трощення,fracturing_crush
ікла-прайм (кресленик),fang_prime_blueprint
променеве добивання,radiant_finish
лютість,ferocity
ксифос (комплект),xiphos_set
висока напруга,high_voltage
вобан-прайм: каркас (кресленик),vauban_prime_chassis_blueprint
заряджальна завада,recharge_barrier
виважений стрибок,tempered_bound
цільове пришвидшення,focused_acceleration
потужне зіткнення,collision_force
пагуба-прайм (кресленик),latron_prime_blueprint
братон-прайм (кресленик),braton_prime_blueprint
осквернена левова паща,defiled_snapdragon
нікана-прайм: ефес,nikana_prime_hilt
зцілення,recuperate
нікана-прайм (комплект),nikana_prime_set
чуття органів,vital_sense
валькірія-прайм: системи (кресленик),valkyr_prime_systems_blueprint
цинґаз (комплект),cyngas_set
зломлена війна (комплект),broken_war_set
венка-прайм: рукавиця,venka_prime_gauntlet
косаш (комплект),kaszas_set
велоцит (комплект),velocitus_set
флукт (комплект),fluctus_set
парні декуріони (комплект),dual_decurion_set
широкий огляд,broad_eye
електрична послідовність,voltage_sequence
акбронко-прайм (кресленик),akbronco_prime_blueprint
крижані кулі,cryo_rounds
тихий залп,silent_battery
федра: ствольна коробка,phaedra_receiver
юфона-прайм: ствольна коробка,euphona_prime_receiver
короткочасне підсилення,transient_fortitude
набої для контузії,concussion_rounds
виття,howl
аґкуза: руків’я,agkuza_handle
носій-прайм: системи,carrier_prime_systems
смертоносна скрадність,covert_lethality
оперені стріли,feathered_arrows
заряджена місткість,loaded_capacity
ковзний патронник,loose_chamber
броньоване ухилення,armored_evade
нанозастосовувач,nano_applicator
зосереджена оборона,focused_defense
керований снаряд,guided_ordnance
стран-примара (кресленик),strun_wraith_blueprint
гуркотун-велет,titanic_rumbler
спіра-прайм (кресленик),spira_prime_blueprint
спіра-прайм (комплект),spira_prime_set
шив: клинок,sheev_blade
шив: радіатор,sheev_heatsink
шив (комплект),sheev_set
загуркочення,rumbled
снайптрон-вандал (кресленик),snipetron_vandal_blueprint
пилка мисливця,hunters_bonesaw
велоцит: ствол,velocitus_barrel
опір токсинам,toxin_resistance
намі-скила-прайм (комплект),nami_skyla_prime_set
кронен-прайм (комплект),kronen_prime_set
геліос-прайм: системи,helios_prime_systems
витягування,extend
праймований напад пропасниці,primed_fever_strike
екзодія «зараження»,exodia_contagion
тіберон-прайм (комплект),tiberon_prime_set
екзодія «епідемія»,exodia_epidemic
міраж-прайм: системи (кресленик),mirage_prime_systems_blueprint
міраж-прайм (кресленик),mirage_prime_blueprint
праймоване швидке перезаряджання,primed_quickdraw
перезаряджання меха,mecha_recharge
синтетичне волокно,synth_fiber
дзвінка тиша,hush
фраґор-прайм: верхів’я,fragor_prime_head
торування,trample
металевий бур,metal_auger
вправний злодій,master_thief
студенне покриття,cryo_coating
вибухова маса,bursting_mass
тіпедо-прайм (комплект),tipedo_prime_set
справжня сталь,true_steel
чотири вершники,four_riders
вектис-прайм (кресленик),vectis_prime_blueprint
тваринний інстинкт,animal_instinct
випалювальний промінь,combustion_beam
гарконарів приціл,harkonar_scope
панорама: газове місто — прохідні містки,gas_city_walkway_scene
панорама: газове місто — глухий кут,gas_city_dead_exit_scene
аеродинаміка,aerodynamic
атлас-прайм (комплект),atlas_prime_set
текко-прайм: клинок,tekko_prime_blade
текко-прайм (комплект),tekko_prime_set
текко-прайм (кресленик),tekko_prime_blueprint
переспрямування некрамеха,necramech_redirection
пошкоджений ствол зброї некрамеха,damaged_necramech_weapon_barrel
пошкоджена зброя некрамеха (комплект),damaged_necramech_weapon_set
пошкоджена ствольна коробка зброї некрамеха,damaged_necramech_weapon_receiver
заражений укус,infectious_bite
паралітичні спори,paralytic_spores
рогате виродження,crescent_devolution
панцирне виродження,panzer_devolution
анаболічне запилення,anabolic_pollination
прімо-майстер,primo_flair
шипи югула,jugulus_barbs
панцир саксума,saxum_carapace
жорстке зіткнення,hard_engage
інверсійний слід,vapor_trail
слина саксума,saxum_spittle
пошкоджене ложе зброї некрамеха,damaged_necramech_weapon_stock
розмах некрамеха,necramech_reach
безперервність некрамеха,necramech_continuity
кабошон емболоса,cabochon_embolos
сталеве волокно некрамеха,necramech_steel_fiber
колючки югула,jugulus_spines
пошкоджений некрамех (комплект),damaged_necramech_set
очищений гецифрон,purified_heciphron
заражені голки,viral_quills
щелепа карніса,carnis_mandible
пошкоджена капсула некрамеха,damaged_necramech_pod
дозаправлення некрамеха,necramech_refuel
жало карніса,carnis_stinger
рогатий наступ,crescent_charge
інстинкт виживання,survival_instinct
панорама: деймос — підземелля,deimos_underground_scene
панорама: деймос — кембіонська течія,deimos_cambion_drift_scene
неджа-прайм (кресленик),nezha_prime_blueprint
ґуаньдао-прайм (кресленик),guandao_prime_blueprint
серійний убивця,combo_killer
угода на поневолення,thrall_pact
критичний сплеск,critical_surge
теорема «заспокоєння»,theorem_demulcent
споротрикс (кресленик),sporothrix_blueprint
дієвість некрамеха,necramech_efficiency
теорема «інфекція»,theorem_infection
кліщинець (кресленик),arum_spinosa_blueprint
вибухове швидке повернення,volatile_quick_return
кровопускальні пазурі,blending_talons
кліщинець: гарда,arum_spinosa_guard
кліщинець (комплект),arum_spinosa_set
споротрикс (комплект),sporothrix_set
залишок «шок»,residual_shock
праймований вогнешторм,primed_firestorm
праймована блискавиця,primed_fulmination
«кістяна вдова» (комплект),bonewidow_set
«кістяна вдова»: збройовий відсік,bonewidow_weapon_pod
«кістяна вдова»: корпус,bonewidow_casing
морґа: ложе,morgha_stock
кортеж: ствол,cortege_barrel
чуття ворога некрамеха,necramech_enemy_sense
кортеж: ложе,cortege_stock
прочухан від некрамеха,necramech_rebuke
кортеж (комплект),cortege_set
«кістяна вдова»: капсула,bonewidow_capsule
«бур порожнечі» (комплект),voidrig_set
