ru,slug
парные гадюки призрак: комплект,twin_vipers_wraith_set
детектор противника,enemy_radar
некрос прайм: каркас (чертеж),nekros_prime_chassis_blueprint
мистический телохранитель,arcane_bodyguard
мистический усилитель винтовок,arcane_primary_charger
проворный момент,swift_momentum
боевая дисциплина,combat_discipline
мистический усилитель клинков,arcane_blade_charger
ведомый удар,melee_guidance
атлас прайм: каркас (чертеж),atlas_prime_chassis_blueprint
куб смерти прайм: панцирь,dethcube_prime_carapace
куб смерти прайм: мозг,dethcube_prime_cerebrum
тэкко прайм: перчатка,tekko_prime_gauntlet
куб смерти прайм (чертеж),dethcube_prime_blueprint
куб смерти прайм: комплект,dethcube_prime_set
ледяная грань,glacial_edge
крушитель органов,organ_shatter
лимбо прайм: система (чертеж),limbo_prime_systems_blueprint
быстрое исполнение,runtime
бей и беги,hit_and_run
ивара прайм: нейрооптика (чертеж),ivara_prime_neuroptics_blueprint
ивара прайм: каркас (чертеж),ivara_prime_chassis_blueprint
ивара прайм: система (чертеж),ivara_prime_systems_blueprint
база прайм (чертеж),baza_prime_blueprint
база прайм: комплект,baza_prime_set
аксомати прайм: комплект,aksomati_prime_set
аксомати прайм: связь,aksomati_prime_link
база прайм: приклад,baza_prime_stock
аксомати прайм: приёмник,aksomati_prime_receiver
грэм прайм: рукоять,gram_prime_handle
размах прайм,primed_reach
оберегающее кадило,warding_thurible
гелиос прайм (чертеж),helios_prime_blueprint
терминальная скорость,terminal_velocity
ледяная буря,ice_storm
циклонный кракен,cyclone_kraken
карак призрак: приёмник,karak_wraith_receiver
орвис: диск,orvius_disc
линза: вазарин,vazarin_lens
впивающийся коготь,sinking_talon
преобразование здоровья,health_conversion
спираль рефлекса,reflex_coil
васто прайм: приёмник,vasto_prime_receiver
обжигающий прыжок,searing_leap
детектор добычи,loot_detector
несокрушимая бастилия,repelling_bastille
пустотные пули,hollowed_bullets
скимитар: двигатели (чертеж),scimitar_engines_blueprint
нерушимый рывок,ironclad_charge
сцена: оковы вуали,veils_binding_scene
драйв волхва,magus_drive
быстрая перезарядка,quick_reload
штамм лихорадки,strain_fever
ас оружия арчвинга,archgun_ace
комплект безумца,mad_stack
массовая зараза,teeming_virulence
сцена: фортуна,fortuna_scene
орнамент: типедо прайм,tipedo_prime_ornament
страдавар прайм: приёмник,stradavar_prime_receiver
снайптрон вандал: ствол,snipetron_vandal_barrel
мистический шлем: скорпион,arcane_scorpion_helmet
вирм прайм: мозг,wyrm_prime_cerebrum
подвижное прицеливание,spry_sights
датчик наведения,targeting_receptor
скульптура аятан: валана,ayatan_valana_sculpture
погибель: заражённые,bane_of_infested
шокирующее касание,shocking_touch
цингас: ствол,cyngas_barrel
ускоритель,sprint_boost
цингас: приклад,cyngas_stock
яростное копье,furious_javelin
лекс прайм (чертеж),lex_prime_blueprint
поглощающая тьма,draining_gloom
сцена: газовый город - обработка элементов,gas_city_elemental_refinement_scene
адское пламя,hellfire
меткие боеприпасы,precision_munition
броня из аргона,argon_plating
ключ бездны: корпус,corpus_void_key
хико прайм: комплект,hikou_prime_set
искатель,seeker
обжигающий удар,molten_impact
ортос прайм: рукоять,orthos_prime_handle
жнец прайм: лезвие,reaper_prime_blade
разрушающий удар,rending_strike
патронташ,ammo_stock
самоуничтожение,self_destruct
пружинный приёмник,spring_loaded_chamber
взрывное ускорение,accelerated_blast
сциндо прайм (чертеж),scindo_prime_blueprint
оскверненные снаряды,tainted_shell
обжигающая правда,stinging_truth
повторитель магазина,repeater_clip
смертельный удар,killing_blow
встроенный катализатор,embedded_catalyzer
магмовый патронник,magma_chamber
рикошет,rebound
иссушающий удар,discharge_strike
мистический шлем: шторм,arcane_storm_helmet
размах,reach
противоосколочное покрытие,anti_flak_plating
азурит-слеза,tear_azurite
мод разлома для дробовиков (закрытый),shotgun_riven_mod_(veiled)
каденция волхва,magus_cadence
храбрость эксодии,exodia_brave
охота эксодии,exodia_hunt
триумф эксодии,exodia_triumph
подпитка волхва,magus_nourish
виртуозная тень,virtuos_shadow
эмбер прайм: система (чертеж),ember_prime_systems_blueprint
фрост прайм: каркас (чертеж),frost_prime_chassis_blueprint
рино прайм: система (чертеж),rhino_prime_systems_blueprint
эмбер прайм (чертеж),ember_prime_blueprint
энтропийная гниль,eroding_blight
смертельная последовательность,deadly_sequence
лихорадочный удар,fever_strike
зубчатый магазин,sawtooth_clip
мистический шлем: сущность,arcane_essence_helmet
мистический шлем: саранча,arcane_locust_helmet
королевский ритм,tempo_royale
сияющий сентирум,radian_sentirum
горгона призма,prisma_gorgon
мозговой штурм,brain_storm
ровно в полдень,high_noon
переменная справедливость,scattered_justice
брутальный натиск,brutal_tide
облако воронок,funnel_clouds
эш прайм (чертеж),ash_prime_blueprint
декурион: приёмник,decurion_receiver
токсичная гниль,toxic_blight
ошейник кубрау: каваса прайм (чертеж),kavasa_prime_kubrow_collar_blueprint
звезда аятан: циан,ayatan_cyan_star
фатальное ускорение,fatal_acceleration
федра: ствол,phaedra_barrel
чутье вора,thiefs_wit
фуракс призрак: левая перчатка,furax_wraith_left_gauntlet
умение ближнего боя,melee_prowess
звезда аятан: янтарь,ayatan_amber_star
длительный паралич,prolonged_paralysis
мод разлома для винтовок (закрытый),rifle_riven_mod_(veiled)
разрывной выстрел,flak_shot
завершение начатого,follow_through
быстрохват,quickdraw
блокирующая насмешка,guardian_derision
леденящая лавина,icy_avalanche
частотный триангулятор,vay_hek_frequency_triangulator
кнутовая мина,whiplash_mine
одомедик,odomedic
суть протона,proton_jet
подавление защиты,security_override
укрытие бездной,rift_haven
мачете призрак,machete_wraith
защитные меры,safeguard
прова вандал,prova_vandal
тропа статуй,path_of_statues
облако заражения,contagion_cloud
жнец прайм: комплект,reaper_prime_set
сияние самосожжения,immolated_radiance
вобан прайм (чертеж),vauban_prime_blueprint
носитель прайм: панцирь,carrier_prime_carapace
полная вместимость,full_capacity
намагниченное разоружение,magnetized_discharge
анкирос прайм (чертеж),ankyros_prime_blueprint
сцена: гробница инароса,inaros_tomb_scene
вепрь прайм: ствол,boar_prime_barrel
оберон прайм: каркас (чертеж),oberon_prime_chassis_blueprint
заряжен и готов,lock_and_load
сцена: арена лунаро,lunaro_arena_scene
сильва и эгида прайм: клинок,silva_and_aegis_prime_blade
мистический страж,arcane_guardian
болтор прайм (чертеж),boltor_prime_blueprint
быстрое отражение,fast_deflection
сибарис прайм: комплект,sybaris_prime_set
оберон прайм: система (чертеж),oberon_prime_systems_blueprint
база прайм: приёмник,baza_prime_receiver
крушитель прайм: заражённые,primed_smite_infested
шиду: ствол,shedu_barrel
шиду: приёмник,shedu_receiver
крушитель прайм: корпус,primed_smite_corpus
сцена: фонтан владеющих разумом,sentient_fountain_scene
шиду: комплект,shedu_set
шиду: каркас,shedu_chassis
накидка бездны,void_cloak
обновление отряда,squad_renew
сжатие диапазона,section_density
поток горения,flow_burn
колеблющий рывок,surging_dash
дирижёр,conductor
усиливающийся когтехлыст,accumulating_whipclaw
ноктрул-сердце,heart_noctrul
фотонный ретранслятор,photon_repeater
избавитель прайм: комплект,redeemer_prime_set
гипотермические снаряды,hypothermic_shell
боеголовка,warhead
боевые станции,battle_stations
контрмеры,countermeasures
кровавая кузница,blood_forge
погребальная вспышка,balefire_surge
сцена: бассейн владеющих разумом,sentient_basin_scene
сцена: балкон владеющих разумом,sentient_balcony_scene
вечная колыбельная,endless_lullaby
катализатор волхва,magus_accelerant
галатин прайм (чертеж),galatine_prime_blueprint
воздушный ас,aerial_ace
бодрящий выстрел,energizing_shot
связанное парение,anchored_glide
отравленный магазин,venomous_clip
дера вандал: ствол,dera_vandal_barrel
противовес,counterweight
антигравитационная граната,anti_grav_grenade
краткая отсрочка,brief_respite
ортос прайм: комплект,orthos_prime_set
истеричное нападение,hysterical_assault
искусный выброс,adept_surge
горгоново безумие,gorgon_frenzy
вольт прайм: комплект,volt_prime_set
девар-эшер,esher_devar
банши прайм: нейрооптика (чертеж),banshee_prime_neuroptics_blueprint
электрический импульс,electro_pulse
нейтрализация,neutralize
сбор трофеев,retrieve
император вандал: приёмник,imperator_vandal_receiver
секура лекта,secura_lecta
амеша: система,amesha_systems_blueprint
амеша: крылья,amesha_wings_blueprint
амеша: упряжь,amesha_harness_blueprint
амеша: комплект,amesha_set
элитрон: упряжь,elytron_harness_blueprint
элитрон: комплект,elytron_set
итзал: система (чертеж),itzal_systems_blueprint
итзал: крылья (чертеж),itzal_wings_blueprint
итзал: упряжь (чертеж),itzal_harness_blueprint
итзал: комплект,itzal_set
скульптура аятан: вайя,ayatan_vaya_sculpture
последовательность перрина аугмент мод,the_perrin_sequence_augment_mod
новая лока аугмент мод,new_loka_augment_mod
арбитры гексиса аугмент мод,arbiters_of_hexis_augment_mod
талисман,charm
кошачий глаз,cats_eye
аптечка для питомца,medi_pet_kit
жнец прайм: рукоять,reaper_prime_handle
сикарус прайм: ствол,sicarus_prime_barrel
брэйтон прайм: ствол,braton_prime_barrel
очищающее пламя,purifying_flames
перегруженный,overcharged
элитрон: крылья,elytron_wings_blueprint
озорство,mischief
тигрис прайм: комплект,tigris_prime_set
зарядник щита,shield_charger
темный кинжал ракта,rakta_dark_dagger
статический разрядник,static_discharge
болевой порог,pain_threshold
парис прайм: тетива,paris_prime_string
двуствольный дрифт,double_barrel_drift
горгона призрак (чертеж),gorgon_wraith_blueprint
аргоновый прицел,argon_scope
взрывное наследство,explosive_demise
сикарус прайм: приёмник,sicarus_prime_receiver
мантис: двигатели (чертеж),mantis_engines_blueprint
точный выстрел,sure_shot
глефа прайм: лезвие,glaive_prime_blade
ослабляющее притяжение,sapping_reach
карак призрак: комплект,karak_wraith_set
фрагор прайм: комплект,fragor_prime_set
кровавый дервиш,crimson_dervish
акстилетто прайм (чертеж),akstiletto_prime_blueprint
акстилетто прайм: ствол,akstiletto_prime_barrel
глубокая заморозка,deep_freeze
акстилетто прайм: приёмник,akstiletto_prime_receiver
излучение жизни,physique
акболто прайм: приёмник,akbolto_prime_receiver
парис прайм: верхнее плечо,paris_prime_upper_limb
акболто прайм (чертеж),akbolto_prime_blueprint
сильва и эгида прайм (чертеж),silva_and_aegis_prime_blueprint
сциндо прайм: клинок,scindo_prime_blade
юфона прайм: ствол,euphona_prime_barrel
мэг прайм (чертеж),mag_prime_blueprint
фуракс призрак (чертеж),furax_wraith_blueprint
фрост прайм: система (чертеж),frost_prime_systems_blueprint
ледяной источник,ice_spring
крушащий удар,shattering_impact
морф-трансформер,morphic_transformer
гелиос прайм: мозг,helios_prime_cerebrum
парис прайм: нижнее плечо,paris_prime_lower_limb
тройное касание,triple_tap
взбешенный раптор,malicious_raptor
щит теней,shield_of_shadows
экспансивные боеприпасы,hollow_point
выносливый удар,enduring_strike
последовательное горение,sequence_burn
ксифос: фюзеляж (чертеж),xiphos_fuselage_blueprint
мантис: фюзеляж (чертеж),mantis_fuselage_blueprint
патроны с лезвиями,bladed_rounds
кромсание,shred
мантис: авионика (чертеж),mantis_avionics_blueprint
зазубрины,serration
мистическое заживление,arcane_healing
скимитар: фюзеляж (чертеж),scimitar_fuselage_blueprint
быстрое возвращение,quick_return
громоотвод,lightning_rod
мистическое тепло,arcane_warmth
стальной натиск,steel_charge
гнев,rage
длительная боль,lasting_sting
санкти магистр,sancti_magistar
эми аура,emp_aura
пацифицирующие заряды,pacifying_bolts
металлическое волокно,metal_fiber
усилитель энергии,energy_amplifier
телохранитель венари,venari_bodyguard
виртуозный троян,virtuos_trojan
ослепляющее опустошение,blinding_reave
страж отчаяния,dread_ward
гринлок призма,prisma_grinlok
эквинокс прайм: каркас (чертеж),equinox_prime_chassis_blueprint
страдавар прайм (чертеж),stradavar_prime_blueprint
вэйкор мэрлок,vaykor_marelok
зубчатые патроны,serrated_rounds
ксифос: двигатели (чертеж),xiphos_engines_blueprint
титания прайм: нейрооптика (чертеж),titania_prime_neuroptics_blueprint
панголин прайм: лезвие,pangolin_prime_blade
панголин прайм: комплект,pangolin_prime_set
титания прайм (чертеж),titania_prime_blueprint
рево-редуктор,revo_reducer
скальпель разума,sentient_scalpel
титания прайм: комплект,titania_prime_set
трибунал,tribunal
катапульта,catapult
пылающий грабёж,blazing_pillage
завороженный урожай,spellbound_harvest
крейсерская скорость,cruising_speed
хитрая артиллерия,artillery_cheap_shot
резвая турель,turret_velocity
хитрое орудие,ordnance_cheap_shot
баллистическая мера,ballista_measure
быстрое наведение,quicklock
быстрое орудие,ordnance_velocity
зачистка прайм: гринир,primed_cleanse_grineer
зачистка прайм: заражённые,primed_cleanse_infested
зачистка прайм: корпус,primed_cleanse_corpus
зачистка прайм: орокин,primed_cleanse_corrupted
избыточная мутация,abundant_mutation
необузданные патроны,dizzying_rounds
проявляющие споры,revealing_spores
остервенение,enraged
груда булыжников,rubble_heap
выверенное попадание,precision_strike
смертельные манёвры,deadly_maneuvers
банши прайм (чертеж),banshee_prime_blueprint
леденящая перезарядка,chilling_reload
обтекаемая форма,streamlined_form
текучее касание,drifting_contact
валькирия прайм: каркас (чертеж),valkyr_prime_chassis_blueprint
крио патроны прайм,primed_cryo_rounds
кентавр: комплект,centaur_set
онорикс: комплект,onorix_set
агкуза: комплект,agkuza_set
ответное лечение,healing_return
корвас: комплект,corvas_set
укрепляющий топот,reinforcing_stomp
рэтбон: комплект,rathbone_set
неустанная комбинация,relentless_combination
кернунн прайм (чертеж),cernos_prime_blueprint
кернунн прайм: нижнее плечо,cernos_prime_lower_limb
кернунн прайм: верхнее плечо,cernos_prime_upper_limb
кернунн прайм: рукоять,cernos_prime_grip
избыточное состояние,condition_overload
вирусный шторм,viral_tempest
сконцентрированный разгон,dispatch_overdrive
стойкий недуг,enduring_affliction
добытчик: пистолеты,pistol_scavenger
вирм прайм: комплект,wyrm_prime_set
ядро трансмутации: нарамон,naramon_transmute_core
ядро трансмутации: вазарин,vazarin_transmute_core
мстительный призрак,vengeful_revenant
астральная аутопсия,astral_autopsy
сцена: зал эрго,ergos_boardroom_scene
проворное прицеливание,agile_aim
предвидение,anticipation
сцена: равнины эйдолона,plains_of_eidolon_scene
кромсающий выстрел,shred_shot
бёрстон прайм: ствол,burston_prime_barrel
ледяная волна сопротивления,ice_wave_impedance
вольт прайм: система (чертеж),volt_prime_systems_blueprint
дакра прайм: клинок,dakra_prime_blade
глефа прайм: диск,glaive_prime_disc
скульптура аятан: эр,ayatan_ayr_sculpture
растяжение,stretch
агкуза: эфес,agkuza_guard
усиление,intensify
утяжелённые боеголовки,heavy_warhead
карак призрак: приклад,karak_wraith_stock
ядро трансмутации: мадурай,madurai_transmute_core
токсичный шквал,toxic_barrage
охотник с вершин,apex_predator
мутатор: дробовик,shotgun_ammo_mutation
просчитанная победа,calculated_victory
гиперионские двигатели,hyperion_thrusters
бремя заражённых,infested_impedance
гидроид прайм: система (чертеж),hydroid_prime_systems_blueprint
животный инстинкт прайм,primed_animal_instinct
ворующий удушающий купол,pilfering_strangledome
ритм протона,proton_pulse
сцена: газовый город - лифты,gas_city_lifts_scene
сцена: знойные дни,dog_days_scene
ударные приводы,shockwave_actuators
ассимиляция,assimilate
глефа прайм: комплект,glaive_prime_set
сциндо прайм: комплект,scindo_prime_set
телос болтэс,telos_boltace
латрон прайм: приёмник,latron_prime_receiver
латрон прайм: приклад,latron_prime_stock
лекс прайм: ствол,lex_prime_barrel
сцена: лесной завод гринир,grineer_forest_factory_scene
нит-сердце,heart_nyth
непробиваемое нападение,impenetrable_offense
сцена: подпространство суды,sudas_datascape_scene
сибарис прайм: приёмник,sybaris_prime_receiver
ошеломляющий щит,staggering_shield
акстилетто прайм: комплект,akstiletto_prime_set
строфа: комплект,stropha_set
велокс: комплект,velox_set
стальта: ствол,stahlta_barrel
стальта: комплект,stahlta_set
велокс: приёмник,velox_receiver
строфа: лезвие,stropha_blade
стальта: приёмник,stahlta_receiver
строфа: приёмник,stropha_receiver
строфа: приклад,stropha_stock
строфа: ствол,stropha_barrel
стальта: приклад,stahlta_stock
велокс: ствол,velox_barrel
сцена: ангар корабля корпуса,corpus_ship_hangar_scene
сцена: мост корабля корпуса,corpus_ship_bridge_scene
сцена: орбитальное орудие корабля корпуса,corpus_ship_orbital_cannon_scene
глаксион вандал,glaxion_vandal
ствол из рубедо прайм,primed_rubedo_lined_barrel
инарос прайм: комплект,inaros_prime_set
инарос прайм: каркас (чертеж),inaros_prime_chassis_blueprint
инарос прайм: нейрооптика (чертеж),inaros_prime_neuroptics_blueprint
инарос прайм (чертеж),inaros_prime_blueprint
инарос прайм: система (чертеж),inaros_prime_systems_blueprint
пантера прайм: приклад,panthera_prime_stock
карист прайм: рукоять,karyst_prime_handle
карист прайм: комплект,karyst_prime_set
пантера прайм: комплект,panthera_prime_set
пантера прайм: ствол,panthera_prime_barrel
пантера прайм: приёмник,panthera_prime_receiver
пантера прайм (чертеж),panthera_prime_blueprint
карист прайм (чертеж),karyst_prime_blueprint
карист прайм: лезвие,karyst_prime_blade
карательные припасы,vigilante_supplies
крушащая гибель,crushing_ruin
брэйтон прайм: приклад,braton_prime_stock
дакра прайм (чертеж),dakra_prime_blueprint
упрощенное мышление,narrow_minded
ксифос: авионика (чертеж),xiphos_avionics_blueprint
заземление,stand_ground
глефа прайм (чертеж),glaive_prime_blueprint
дробитель прайм,primed_target_cracker
рефлективный выхват,reflex_draw
акстилетто прайм: связь,akstiletto_prime_link
погибель: орокин,bane_of_corrupted
сцена: подпространство хунхау,hunhows_datascape_scene
порез,maim
оберон прайм (чертеж),oberon_prime_blueprint
грабитель,looter
мутатор: пистолет,pistol_ammo_mutation
отравляющее жало,poisonous_sting
сцена: храм харроу,harrows_temple_scene
сцена: приют амарин,amaryns_retreat_scene
сцена: хромакей,color_key_scene
федра: комплект,phaedra_set
кернунн прайм: тетива,cernos_prime_string
кернунн прайм: комплект,cernos_prime_set
валькирия прайм (чертеж),valkyr_prime_blueprint
валькирия прайм: комплект,valkyr_prime_set
венка прайм: лезвия,venka_prime_blades
охотник за головами,bounty_hunter
цель получена,target_acquired
искатель сердец,heartseeker
лояльный спутник,loyal_companion
боевая ярость,martial_fury
окончательное решение,decisive_judgement
витой шпиль,twirling_spire
вспомогательное питание,auxiliary_power
эйдолонская линза (чертеж),eidolon_lens_blueprint
мерцающий коготь,gleaming_talon
собиратель,scavenge
стрелок,gunslinger
рассекающий узор,sundering_weave
игольчатые боеприпасы,impaler_munitions
возрождение феникса,phoenix_renewal
контузия,shell_shock
разрыв личинки,larva_burst
рассекающий ураган,cleaving_whirlwind
рассеивание толпы,crowd_dispersion
цингас: приёмник,cyngas_receiver
одоната прайм (чертеж),odonata_prime_blueprint
слепое правосудие,blind_justice
полный контакт,full_contact
мед-луч,medi_ray
электромагнитное покрытие,electromagnetic_shielding
император вандал: комплект,imperator_vandal_set
форсажный выхлоп,afterburner
пистолетный гамбит прайм,primed_pistol_gambit
вэйкор хек,vaykor_hek
гидравлический ствол,hydraulic_barrel
сарина прайм: нейрооптика (чертеж),saryn_prime_neuroptics_blueprint
нами скила прайм: клинок,nami_skyla_prime_blade
кронен прайм: рукоять,kronen_prime_handle
ловкость гладиатора,gladiator_finesse
охват предвестника,augur_reach
самопожертвование,sacrifice
след охотника,hunter_track
приказ охотника,hunter_command
вепрь прайм: приёмник,boar_prime_receiver
маяк омега,omega_beacon
лечебная линька,regenerative_molt
вепрь прайм: приклад,boar_prime_stock
горгона призрак: ствол,gorgon_wraith_barrel
когаке прайм: ступня,kogake_prime_boot
акболто прайм: комплект,akbolto_prime_set
акболто прайм: связь,akbolto_prime_link
акболто прайм: ствол,akbolto_prime_barrel
брэйтон вандал (чертеж),braton_vandal_blueprint
лимбо прайм: комплект,limbo_prime_set
разделённый молот,partitioned_mallet
трапециевидный ксенохраст,trapezium_xenorhast
сок,juice
саксум: торакс,saxum_thorax
болевая точка некрамеха,necramech_pressure_point
живучесть некрамеха,necramech_vitality
истощающий укус,draining_bite
тяга некрамеха,necramech_slipstream
кислотный плевок,acidic_spittle
эндопаразитический переносчик,endoparasitic_vector
ускорители некрамеха,necramech_thrusters
повреждённая турель оружия некрамеха,damaged_necramech_weapon_pod
гранулированный тиаметрит,faceted_tiametrite
повреждённый двигатель некрамеха,damaged_necramech_engine
бомбани приземление,bomb_the_landin
скульптура аятан: сак,ayatan_sah_sculpture
красная вуаль аугмент мод,red_veil_augment_mod
хитрый аспект,cunning_aspect
отражение: кават,reflect
разрывающий ветер,rending_wind
корвас: приёмник,corvas_receiver
благородная каденция,noble_cadence
термомагнитные снаряды,thermagnetic_shells
корвас: приклад,corvas_stock
кинетический рикошет,kinetic_ricochet
смертельное руководство,mortal_conduct
парирование,parry
сикарус прайм (чертеж),sicarus_prime_blueprint
горгона призрак: комплект,gorgon_wraith_set
восходящее мастерство,rising_skill
разрывающее сокрушение,fracturing_crush
клыки прайм (чертеж),fang_prime_blueprint
блестящее завершение,radiant_finish
свирепость,ferocity
ксифос: комплект,xiphos_set
высокое напряжение,high_voltage
вобан прайм: каркас (чертеж),vauban_prime_chassis_blueprint
барьер перезарядки,recharge_barrier
умеренный прыжок,tempered_bound
фокусированное ускорение,focused_acceleration
сбивающий удар,collision_force
латрон прайм (чертеж),latron_prime_blueprint
брэйтон прайм (чертеж),braton_prime_blueprint
оскверненный львиный зев,defiled_snapdragon
никана прайм: рукоять,nikana_prime_hilt
выздоровление,recuperate
никана прайм: комплект,nikana_prime_set
чутье на уязвимости,vital_sense
валькирия прайм: система (чертеж),valkyr_prime_systems_blueprint
цингас: комплект,cyngas_set
осколок войны: комплект,broken_war_set
венка прайм: перчатка,venka_prime_gauntlet
косаш: комплект,kaszas_set
велоцитус: комплект,velocitus_set
флактус: комплект,fluctus_set
парные декурионы: комплект,dual_decurion_set
широкий взор,broad_eye
последовательность напряжения,voltage_sequence
акбронко прайм (чертеж),akbronco_prime_blueprint
крио патроны,cryo_rounds
безмолвная батарея,silent_battery
федра: приёмник,phaedra_receiver
юфона прайм: приёмник,euphona_prime_receiver
кратковременное усиление,transient_fortitude
контузящие патроны,concussion_rounds
вой,howl
агкуза: рукоять,agkuza_handle
носитель прайм: система,carrier_prime_systems
смертоносная скрытность,covert_lethality
оперенные стрелы,feathered_arrows
нагруженная вместимость,loaded_capacity
подвижный патронник,loose_chamber
бронированное уклонение,armored_evade
нано-аппликатор,nano_applicator
идеальная оборона,focused_defense
направленный указ,guided_ordnance
стран призрак (чертеж),strun_wraith_blueprint
титанический рокотун,titanic_rumbler
спира прайм (чертеж),spira_prime_blueprint
спира прайм: комплект,spira_prime_set
шиив: лезвие,sheev_blade
шиив: радиатор,sheev_heatsink
шиив: комплект,sheev_set
бронирован,rumbled
снайптрон вандал (чертеж),snipetron_vandal_blueprint
косторез охотника,hunters_bonesaw
велоцитус: ствол,velocitus_barrel
сопротивление токсинам,toxin_resistance
нами скила прайм: комплект,nami_skyla_prime_set
кронен прайм: комплект,kronen_prime_set
гелиос прайм: система,helios_prime_systems
расширение,extend
лихорадочный удар прайм,primed_fever_strike
заражение эксодии,exodia_contagion
тайберон прайм: комплект,tiberon_prime_set
эпидемия эксодии,exodia_epidemic
мираж прайм: система (чертеж),mirage_prime_systems_blueprint
мираж прайм (чертеж),mirage_prime_blueprint
быстрохват прайм,primed_quickdraw
мех-зарядка,mecha_recharge
синт-волокно,synth_fiber
беззвучие,hush
фрагор прайм: молот,fragor_prime_head
топотание,trample
металлический бур,metal_auger
мастер-вор,master_thief
ледяное покрытие,cryo_coating
взрывная масса,bursting_mass
типедо прайм: комплект,tipedo_prime_set
закалка,true_steel
четыре всадника,four_riders
вектис прайм (чертеж),vectis_prime_blueprint
животный инстинкт,animal_instinct
опаляющий луч,combustion_beam
прицел харконар,harkonar_scope
сцена: газовый город - аллея,gas_city_walkway_scene
сцена: газовый город - выход в никуда,gas_city_dead_exit_scene
аэродинамика,aerodynamic
атлас прайм: комплект,atlas_prime_set
тэкко прайм: лезвие,tekko_prime_blade
тэкко прайм: комплект,tekko_prime_set
тэкко прайм (чертеж),tekko_prime_blueprint
перенаправление некрамеха,necramech_redirection
повреждённый ствол оружия некрамеха,damaged_necramech_weapon_barrel
поврежденное оружие некрамеха: комплект,damaged_necramech_weapon_set
повреждённый приёмник оружия некрамеха,damaged_necramech_weapon_receiver
инфицирующий укус,infectious_bite
парализующие споры,paralytic_spores
серповидная деградация,crescent_devolution
деградация панциря,panzer_devolution
анаболическое опыление,anabolic_pollination
примо флеер,primo_flair
джугулюс: иглы,jugulus_barbs
саксум: панцирь,saxum_carapace
грубое вмешательство,hard_engage
быстрее пули,vapor_trail
саксум: слюна,saxum_spittle
повреждённый приклад оружия некрамеха,damaged_necramech_weapon_stock
охват некрамеха,necramech_reach
непрерывность некрамеха,necramech_continuity
кабошонный эмболос,cabochon_embolos
стальное волокно некрамеха,necramech_steel_fiber
джугулюс: шипы,jugulus_spines
поврежденный некрамех: комплект,damaged_necramech_set
очищенный гецифрон,purified_heciphron
вирусные иглы,viral_quills
карнис: челюсть,carnis_mandible
повреждённая капсула некрамеха,damaged_necramech_pod
дозаправка некрамеха,necramech_refuel
карнис: жало,carnis_stinger
серповидный заряд,crescent_charge
инстинкт выживания,survival_instinct
сцена: подземелье деймоса,deimos_underground_scene
сцена: камбионский дрейф деймоса,deimos_cambion_drift_scene
нэчжа прайм (чертеж),nezha_prime_blueprint
гуаньдао прайм (чертеж),guandao_prime_blueprint
комбо убийца,combo_killer
пакт раба,thrall_pact
критический всплеск,critical_surge
теорема болеутоления,theorem_demulcent
споротрикс (чертеж),sporothrix_blueprint
эффективность некрамеха,necramech_efficiency
теорема заражения,theorem_infection
арум спиноза (чертеж),arum_spinosa_blueprint
нестабильное быстрое возвращение,volatile_quick_return
измельчающие когти,blending_talons
арум спиноза: щит,arum_spinosa_guard
арум спиноза: комплект,arum_spinosa_set
споротрикс: комплект,sporothrix_set
остаточный шок,residual_shock
огненный шторм прайм,primed_firestorm
инициирование прайм,primed_fulmination
костяная вдова: комплект,bonewidow_set
костяная вдова: оружейная капсула,bonewidow_weapon_pod
костяная вдова: каркас,bonewidow_casing
морга: приклад,morgha_stock
кортеж: ствол,cortege_barrel
инстинкт охотника некрамеха,necramech_enemy_sense
кортеж: приклад,cortege_stock
отпор некрамеха,necramech_rebuke
кортеж: комплект,cortege_set
костяная вдова: капсула,bonewidow_capsule
войдриг: комплект,voidrig_set
некрамех-авиатор,necramech_aviator
скульптура аятан: гемакара,ayatan_hemakara_sculpture
парные декурионы призма,prisma_dual_decurions
седо: ствол,cedo_barrel
седо: приёмник,cedo_receiver
седо: комплект,cedo_set
мираж прайм: каркас (чертеж),mirage_prime_chassis_blueprint
когаке прайм (чертеж),kogake_prime_blueprint
удар осы,hornet_strike
сибарис прайм: приклад,sybaris_prime_stock
рудный взор,ore_gaze
карательное нападение,vigilante_offense
восполнение волхва,magus_replenish
синергия охотника,hunter_synergy
секущие перья,slicing_feathers
брэйтон вандал: приёмник,braton_vandal_receiver
брэйтон вандал: приклад,braton_vandal_stock
специфичное цветение,peculiar_bloom
хрома прайм: комплект,chroma_prime_set
ракса кубрау: отпечаток,raksa_kubrow_imprint
рубико прайм: комплект,rubico_prime_set
грэм прайм (чертеж),gram_prime_blueprint
засада,ambush
сцена: покои хунхау,hunhows_chamber_scene
сцена: луа - камера содержания,lua_containment_scene
сцена: серебряная роща - алтарь,silver_grove_shrine_scene
синт-реакция,synth_reflex
синт-расщепление,synth_deconstruct
апорт!,fetch
тех-усиление,tek_enhance
сокрушающее опустошение,crashing_havoc
спира прайм: кисет,spira_prime_pouch
транзисторный щит,transistor_shield
натиск снарядов,shell_rush
шиив (чертеж),sheev_blueprint
шиив: рукоятка,sheev_hilt
банши прайм: комплект,banshee_prime_set
вобан прайм: комплект,vauban_prime_set
вальс мисы,mesas_waltz
