ko,slug
시바리스 프라임 설계도,sybaris_prime_blueprint
비가일링 랜턴,beguiling_lantern
발리스티카 프라임 세트,ballistica_prime_set
버츄오스 퓨리,virtuos_fury
버츄오스 널,virtuos_null
버츄오스 템포,virtuos_tempo
엑소디아 포스,exodia_force
버츄오스 고스트,virtuos_ghost
크로마틱 블레이드,chromatic_blade
익스펠 오로킨,expel_corrupted
글래디에이터 이지스,gladiator_aegis
뉴트럴라이징 저스티스,neutralizing_justice
레이디언트 조디안,radiant_zodian
바이팅 피라냐,biting_piranha
오공 프라임 설계도,wukong_prime_blueprint
오공 프라임 시스템 설계도,wukong_prime_systems_blueprint
제갈 프라임 스트링,zhuge_prime_string
길디드 트루스,gilded_truth
링크 파이버,link_fiber
슈어 풋티드,sure_footed
블리딩 윌로우,bleeding_willow
언다잉 윌,undying_will
아이언 피닉스,iron_phoenix
포인티드 윈드,pointed_wind
스테빌라이저,stabilizer
라이플 스캐빈저,rifle_scavenger
퀴크닝,quickening
루비도-라인드 배럴,rubedo_lined_barrel
선더링 스트라이크,sundering_strike
니게이트,negate
페큘리어 그로스,peculiar_growth
데스트레자 프라임 블레이드,destreza_prime_blade
메카 임파워드,mecha_empowered
메카 펄스,mecha_pulse
마픽 레인,mafic_rain
크래슁 팀버,crashing_timber
테인티드 히드라,tainted_hydra
래슁 코일,lashing_coil
리젠,regen
아클렉스 프라임 링크,aklex_prime_link
스피드 트리거,speed_trigger
어거 시크릿츠,augur_secrets
크레사의 주둔지 배경,cressas_garrison_scene
아비터 위원회 배경,arbiters_tribunal_scene
그리니어 숲 작업장 배경,grineer_forest_industry_scene
밴쉬 프라임 시스템 설계도,banshee_prime_systems_blueprint
애로우 뮤테이션,arrow_mutation
하이드로이드 프라임 설계도,hydroid_prime_blueprint
헤이스튼드 디플렉션,hastened_deflection
인펙셔스 인젝션,infectious_injection
와이즈 레이저,wise_razor
이쿼녹스 프라임 시스템 설계도,equinox_prime_systems_blueprint
아크윙 총기 리벤 모드 (미해금),archgun_riven_mod_(veiled)
패리스 프라임 설계도,paris_prime_blueprint
레저네이팅 퀘이크,resonating_quake
플레일링 브랜치,flailing_branch
프로스트바이트,frostbite
가스 도시 중앙 난간 배경,gas_city_central_drop_scene
루아 유나이루 렌즈,lua_unairu_lens
셰퍼드,shepherd
오로킨 타워 탈출 배경,orokin_tower_extraction_scene
데들리 이피션시,deadly_efficiency
버츄오스 포지,virtuos_forge
아크바스토 프라임 설계도,akvasto_prime_blueprint
아크바스토 프라임 링크,akvasto_prime_link
컨테미네이션 케이싱,contamination_casing
온코의 전투 사령부 배경,onkkos_command_post_scene
플럭스 오버드라이브,flux_overdrive
오노릭스 블레이드,onorix_blade
벤카 프라임 세트,venka_prime_set
서프레스,suppress
타겟 픽세이션,target_fixation
매글레브,maglev
클렌즈 그리니어,cleanse_grineer
하이튼드 리플렉시스,heightened_reflexes
헌트,hunt
오르도스 프라임 설계도,orthos_prime_blueprint
홀 오브 멀레벌런스,hall_of_malevolence
스마이트 그리니어,smite_grineer
파이어스톰,firestorm
베인 오브 코퍼스,bane_of_corpus
버서커 퓨리,berserker_fury
라우징 플런더,rousing_plunder
루즈 매거진,loose_magazine
라이프 스트라이크,life_strike
핸드스프링,handspring
패리스 프라임 그립,paris_prime_grip
럭키 샷,lucky_shot
일렉트리파이드 배럴,electrified_barrel
맥시멈 커패시티,maximum_capacity
세이비어 디코이,savior_decoy
스토킹 팬,stalking_fan
프라임드 베인 오브 오로킨,primed_bane_of_corrupted
웜 코트,warm_coat
테인티드 매그,tainted_mag
택티컬 리트릿,tactical_retreat
브라이트 퓨리티,bright_purity
프리지드 블래스트,frigid_blast
쉬래프널 라운즈,shrapnel_rounds
블리딩 엣지,bleeding_edge
팍스 시커,pax_seeker
메사 프라임 설계도,mesa_prime_blueprint
이쿼녹스 프라임 뉴로옵틱스 설계도,equinox_prime_neuroptics_blueprint
리디머 프라임 설계도,redeemer_prime_blueprint
버츄오스 스파이크,virtuos_spike
티페도 프라임 설계도,tipedo_prime_blueprint
서레이티드 엣지즈,serrated_edges
플레임 리펠런트,flame_repellent
콴타 반달,quanta_vandal
마라 데트론,mara_detron
쇼크 업소버,shock_absorbers
브롱코 프라임 리시버,bronco_prime_receiver
뮤탈리스트 알라드 v 내비 코디네이트,mutalist_nav_coordinates
버스튼 프라임 설계도,burston_prime_blueprint
소프트 핸즈,soft_hands
스프링-로디드 브로드헤드,spring_loaded_broadhead
리프트 토렌트,rift_torrent
버스튼 프라임 스톡,burston_prime_stock
소드 얼론,sword_alone
택티컬 리로드,tactical_reload
히코우 프라임 설계도,hikou_prime_blueprint
티어 가스,tear_gas
프라임드 슬립 매거진,primed_slip_magazine
쉘터,shelter
제미니 크로스,gemini_cross
럽쳐,rupture
아케인 뱅가드 헬멧,arcane_vanguard_helmet
포모리안 액셀러런트,fomorian_accelerant
프라임드 플로우,primed_flow
임페라토르 반달 설계도,imperator_vandal_blueprint
프라임드 피스톨 애모 뮤테이션,primed_pistol_ammo_mutation
아케인 팬드래곤 헬멧,arcane_pendragon_helmet
프리즈마 베리턱스,prisma_veritux
레저넌스,resonance
발리스틱 불스아이,ballistic_bullseye
볼트 프라임 설계도,volt_prime_blueprint
피어싱 내비게이터,piercing_navigator
가스 도시 알라드 연구실 배경,gas_city_alads_laboratory_scene
매그넘 포스,magnum_force
익스펠 코퍼스,expel_corpus
엠버 프라임 섀시 설계도,ember_prime_chassis_blueprint
아케인 템포,arcane_tempo
마두라이 렌즈,madurai_lens
유나이루 렌즈,unairu_lens
커닝 드리프트,cunning_drift
엔듀런스 드리프트,endurance_drift
어베이팅 링크,abating_link
파워 드리프트,power_drift
스피드 드리프트,speed_drift
할로우드 이럽션,hallowed_eruption
스텔스 드리프트,stealth_drift
라이노 프라임 섀시 설계도,rhino_prime_chassis_blueprint
커팅 엣지,cutting_edge
아이언 쉬래프널,iron_shrapnel
아크브롱코 프라임 세트,akbronco_prime_set
컨테이저스 스프레드,contagious_spread
아케인 어질리티,arcane_agility
피어싱 로어,piercing_roar
캐리어 프라임 세트,carrier_prime_set
허쉬드 인비지빌리티,hushed_invisibility
다크라 프라임 세트,dakra_prime_set
필퍼링 스웜,pilfering_swarm
다이아몬드 스킨,diamond_skin
데라 반달 세트,dera_vandal_set
톡식 시퀀스,toxic_sequence
래트론 레이스 설계도,latron_wraith_blueprint
래트론 레이스 리시버,latron_wraith_receiver
래트론 레이스 스톡,latron_wraith_stock
래트론 레이스 세트,latron_wraith_set
테리토리얼 어그레션,territorial_aggression
스와이프,swipe
파운스,pounce
샤픈드 클로,sharpened_claws
트윈 바이퍼즈 레이스 링크,twin_vipers_wraith_link
트윈 바이퍼즈 레이스 리시버,twin_vipers_wraith_receivers
트윈 바이퍼즈 레이스 세트,twin_vipers_wraith_set
에너미 레이더,enemy_radar
네크로스 프라임 섀시 설계도,nekros_prime_chassis_blueprint
아케인 바디가드,arcane_bodyguard
아케인 프라이머리 차저,arcane_primary_charger
스위프트 모멘텀,swift_momentum
컴뱃 디시플린,combat_discipline
아케인 블레이드 차저,arcane_blade_charger
밀리 가이던스,melee_guidance
아틀라스 프라임 섀시 설계도,atlas_prime_chassis_blueprint
데스큐브 프라임 카라페이스,dethcube_prime_carapace
데스큐브 프라임 세레브럼,dethcube_prime_cerebrum
텟코 프라임 건틀렛,tekko_prime_gauntlet
데스큐브 프라임 설계도,dethcube_prime_blueprint
데스큐브 프라임 세트,dethcube_prime_set
글레이셜 엣지,glacial_edge
오르건 섀터,organ_shatter
림보 프라임 시스템 설계도,limbo_prime_systems_blueprint
런타임,runtime
힛 앤 런,hit_and_run
이바라 프라임 뉴로옵틱스 설계도,ivara_prime_neuroptics_blueprint
이바라 프라임 섀시 설계도,ivara_prime_chassis_blueprint
이바라 프라임 시스템 설계도,ivara_prime_systems_blueprint
바자 프라임 설계도,baza_prime_blueprint
바자 프라임 세트,baza_prime_set
아크소마티 프라임 세트,aksomati_prime_set
아크소마티 프라임 링크,aksomati_prime_link
바자 프라임 스톡,baza_prime_stock
아크소마티 프라임 리시버,aksomati_prime_receiver
그람 프라임 핸들,gram_prime_handle
프라임드 리치,primed_reach
워딩 튜러블,warding_thurible
헬리오스 프라임 설계도,helios_prime_blueprint
터미널 벨로시티,terminal_velocity
아이스 스톰,ice_storm
사이클론 크라켄,cyclone_kraken
카락 레이스 리시버,karak_wraith_receiver
오르비우스 디스크,orvius_disc
바자린 렌즈,vazarin_lens
싱킹 탈론,sinking_talon
헬스 컨버전,health_conversion
리플렉스 코일,reflex_coil
바스토 프라임 리시버,vasto_prime_receiver
시어링 리프,searing_leap
루트 디텍터,loot_detector
엔듀어링 바스티유,repelling_bastille
할로우드 불렛,hollowed_bullets
시미터 엔진 설계도,scimitar_engines_blueprint
아이언클래드 차지,ironclad_charge
베일의 구속실 배경,veils_binding_scene
마구스 드라이브,magus_drive
퀵 리로드,quick_reload
스트레인 피버,strain_fever
아크건 에이스,archgun_ace
매드 스택,mad_stack
티밍 비럴런스,teeming_virulence
포르투나 배경,fortuna_scene
티페도 프라임 오너먼트,tipedo_prime_ornament
스트라다바 프라임 리시버,stradavar_prime_receiver
스나이프트론 반달 배럴,snipetron_vandal_barrel
아케인 스콜피온 헬멧,arcane_scorpion_helmet
웜 프라임 세레브럼,wyrm_prime_cerebrum
스프라이 사이츠,spry_sights
타게팅 리셉터,targeting_receptor
아야탄 발라나 조각상,ayatan_valana_sculpture
베인 오브 인페스티드,bane_of_infested
쇼킹 터치,shocking_touch
싱가스 배럴,cyngas_barrel
스프린트 부스트,sprint_boost
싱가스 스톡,cyngas_stock
퓨리어스 자벨린,furious_javelin
렉스 프라임 설계도,lex_prime_blueprint
드레이닝 글룸,draining_gloom
가스 도시 원소 정제소 배경,gas_city_elemental_refinement_scene
헬파이어,hellfire
프리시젼 뮤니션,precision_munition
아르곤 플레이팅,argon_plating
코퍼스 보이드 키,corpus_void_key
히코우 프라임 세트,hikou_prime_set
시커,seeker
몰튼 임팩트,molten_impact
오르도스 프라임 핸들,orthos_prime_handle
리퍼 프라임 블레이드,reaper_prime_blade
렌딩 스트라이크,rending_strike
애모 스톡,ammo_stock
셀프 디스트럭트,self_destruct
스프링-로디드 체임버,spring_loaded_chamber
액셀러레이티드 블래스트,accelerated_blast
신도 프라임 설계도,scindo_prime_blueprint
테인티드 쉘,tainted_shell
스팅잉 트루스,stinging_truth
리피터 클립,repeater_clip
킬링 블로우,killing_blow
임베디드 카탈라이저,embedded_catalyzer
마그마 체임버,magma_chamber
리바운드,rebound
디스차지 스트라이크,discharge_strike
아케인 스톰 헬멧,arcane_storm_helmet
리치,reach
안티-플랙 플레이팅,anti_flak_plating
티어 아주라이트,tear_azurite
산탄총 리벤 모드 (미해금),shotgun_riven_mod_(veiled)
마구스 케이던스,magus_cadence
엑소디아 브레이브,exodia_brave
엑소디아 헌트,exodia_hunt
엑소디아 트라이엄프,exodia_triumph
마구스 노리쉬,magus_nourish
버츄오스 섀도우,virtuos_shadow
엠버 프라임 시스템 설계도,ember_prime_systems_blueprint
프로스트 프라임 섀시 설계도,frost_prime_chassis_blueprint
라이노 프라임 시스템 설계도,rhino_prime_systems_blueprint
엠버 프라임 설계도,ember_prime_blueprint
이로딩 블라이트,eroding_blight
데들리 시퀀스,deadly_sequence
피버 스트라이크,fever_strike
쏘우투스 클립,sawtooth_clip
아케인 에센스 헬멧,arcane_essence_helmet
아케인 로커스트 헬멧,arcane_locust_helmet
템포 로얄,tempo_royale
레이디언 센티럼,radian_sentirum
프리즈마 고르곤,prisma_gorgon
브레인 스톰,brain_storm
하이 눈,high_noon
스캐터드 저스티스,scattered_justice
브루탈 타이드,brutal_tide
퍼널 클라우즈,funnel_clouds
애쉬 프라임 설계도,ash_prime_blueprint
데큐리온 리시버,decurion_receiver
톡식 블라이트,toxic_blight
카바사 프라임 쿠브로 칼라 설계도,kavasa_prime_kubrow_collar_blueprint
아야탄 사이안 별,ayatan_cyan_star
페이탈 액셀러레이션,fatal_acceleration
파이드라 배럴,phaedra_barrel
시브즈 위트,thiefs_wit
퓨랙스 레이스 레프트 건틀렛,furax_wraith_left_gauntlet
밀리 프라워스,melee_prowess
아야탄 앰버 별,ayatan_amber_star
프롤롱드 퍼랠러시스,prolonged_paralysis
소총 리벤 모드 (미해금),rifle_riven_mod_(veiled)
플랙 샷,flak_shot
팔로우 쓰루,follow_through
퀵드로우,quickdraw
가디언 디리젼,guardian_derision
아이시 아발란체,icy_avalanche
베이 헥 프리퀀시 트라이앵귤레이터,vay_hek_frequency_triangulator
윕래쉬 마인,whiplash_mine
오도메딕,odomedic
프로톤 제트,proton_jet
시큐리티 오버라이드,security_override
리프트 헤이븐,rift_haven
마체테 레이스,machete_wraith
세이프가드,safeguard
프로바 반달,prova_vandal
패스 오브 스태츄,path_of_statues
컨테이젼 클라우드,contagion_cloud
리퍼 프라임 세트,reaper_prime_set
이몰레이티드 레이디언스,immolated_radiance
바우반 프라임 설계도,vauban_prime_blueprint
캐리어 프라임 카라페이스,carrier_prime_carapace
풀 커패시티,full_capacity
마그네타이즈드 디스차지,magnetized_discharge
앤카이로스 프라임 설계도,ankyros_prime_blueprint
이나로스 무덤 배경,inaros_tomb_scene
보어 프라임 배럴,boar_prime_barrel
오베론 프라임 섀시 설계도,oberon_prime_chassis_blueprint
락 앤 로드,lock_and_load
루나로 아레나 배경,lunaro_arena_scene
실바 & 이지스 프라임 블레이드,silva_and_aegis_prime_blade
아케인 가디언,arcane_guardian
볼터 프라임 설계도,boltor_prime_blueprint
패스트 디플렉션,fast_deflection
시바리스 프라임 세트,sybaris_prime_set
오베론 프라임 시스템 설계도,oberon_prime_systems_blueprint
바자 프라임 리시버,baza_prime_receiver
프라임드 스마이트 인페스티드,primed_smite_infested
세두 배럴,shedu_barrel
세두 리시버,shedu_receiver
프라임드 스마이트 코퍼스,primed_smite_corpus
센티언트 분수 배경,sentient_fountain_scene
세두 세트,shedu_set
세두 섀시,shedu_chassis
보이드 클록,void_cloak
스쿼드 리뉴,squad_renew
섹션 덴시티,section_density
플로우 번,flow_burn
서징 대쉬,surging_dash
컨덕터,conductor
어큐뮬레이팅 윕클로,accumulating_whipclaw
하트 녹트룰,heart_noctrul
포톤 리피터,photon_repeater
리디머 프라임 세트,redeemer_prime_set
하이포써믹 쉘,hypothermic_shell
워헤드,warhead
배틀 스테이션즈,battle_stations
카운터메저스,countermeasures
블러드 포지,blood_forge
베일파이어 서지,balefire_surge
센티언트 분지 배경,sentient_basin_scene
센티언트 발코니 배경,sentient_balcony_scene
엔들리스 럴러바이,endless_lullaby
마구스 액셀러런트,magus_accelerant
갈라틴 프라임 설계도,galatine_prime_blueprint
에어리얼 에이스,aerial_ace
에너자이징 샷,energizing_shot
앵커드 글라이드,anchored_glide
베노머스 클립,venomous_clip
데라 반달 배럴,dera_vandal_barrel
카운터웨이트,counterweight
안티-그래브 그레네이드,anti_grav_grenade
브리프 리스파이트,brief_respite
오르도스 프라임 세트,orthos_prime_set
히스테리컬 어썰트,hysterical_assault
어뎁트 서지,adept_surge
고르곤 프렌지,gorgon_frenzy
볼트 프라임 세트,volt_prime_set
에셔 데바,esher_devar
밴쉬 프라임 뉴로옵틱스 설계도,banshee_prime_neuroptics_blueprint
일렉트로 펄스,electro_pulse
뉴트럴라이즈,neutralize
리트리브,retrieve
임페라토르 반달 리시버,imperator_vandal_receiver
세큐라 렉타,secura_lecta
아메샤 시스템,amesha_systems_blueprint
아메샤 윙,amesha_wings_blueprint
아메샤 하네스,amesha_harness_blueprint
아메샤 세트,amesha_set
엘리트론 하네스,elytron_harness_blueprint
엘리트론 세트,elytron_set
잇잘 시스템 설계도,itzal_systems_blueprint
잇잘 윙 설계도,itzal_wings_blueprint
잇잘 하네스 설계도,itzal_harness_blueprint
잇잘 세트,itzal_set
아야탄 바야 조각상,ayatan_vaya_sculpture
더 페린 시퀀스 개조 모드,the_perrin_sequence_augment_mod
뉴 로카 개조 모드,new_loka_augment_mod
아비터즈 오브 헥시스 개조 모드,arbiters_of_hexis_augment_mod
참,charm
캣츠 아이,cats_eye
메디-펫 킷,medi_pet_kit
리퍼 프라임 핸들,reaper_prime_handle
시카루스 프라임 배럴,sicarus_prime_barrel
브래튼 프라임 배럴,braton_prime_barrel
퓨리파잉 플레임즈,purifying_flames
오버차지드,overcharged
엘리트론 윙,elytron_wings_blueprint
미스치프,mischief
티그리스 프라임 세트,tigris_prime_set
실드 차저,shield_charger
락타 다크 대거,rakta_dark_dagger
스태틱 디스차지,static_discharge
페인 쓰레쉬홀드,pain_threshold
패리스 프라임 스트링,paris_prime_string
더블-배럴 드리프트,double_barrel_drift
고르곤 레이스 설계도,gorgon_wraith_blueprint
아르곤 스코프,argon_scope
익스플로시브 디마이즈,explosive_demise
시카루스 프라임 리시버,sicarus_prime_receiver
맨티스 엔진 설계도,mantis_engines_blueprint
슈어 샷,sure_shot
글레이브 프라임 블레이드,glaive_prime_blade
새핑 리치,sapping_reach
카락 레이스 세트,karak_wraith_set
프레거 프라임 세트,fragor_prime_set
크림슨 더비쉬,crimson_dervish
아크스틸레토 프라임 설계도,akstiletto_prime_blueprint
아크스틸레토 프라임 배럴,akstiletto_prime_barrel
딥 프리즈,deep_freeze
아크스틸레토 프라임 리시버,akstiletto_prime_receiver
피지크,physique
아크볼토 프라임 리시버,akbolto_prime_receiver
패리스 프라임 어퍼 림,paris_prime_upper_limb
아크볼토 프라임 설계도,akbolto_prime_blueprint
실바 & 이지스 프라임 설계도,silva_and_aegis_prime_blueprint
신도 프라임 블레이드,scindo_prime_blade
유포나 프라임 배럴,euphona_prime_barrel
매그 프라임 설계도,mag_prime_blueprint
퓨랙스 레이스 설계도,furax_wraith_blueprint
프로스트 프라임 시스템 설계도,frost_prime_systems_blueprint
아이스 스프링,ice_spring
섀터링 임팩트,shattering_impact
모르픽 트랜스포머,morphic_transformer
헬리오스 프라임 세레브럼,helios_prime_cerebrum
패리스 프라임 로워 림,paris_prime_lower_limb
트리플 탭,triple_tap
말리셔스 랩터,malicious_raptor
실드 오브 섀도우즈,shield_of_shadows
할로우 포인트,hollow_point
엔듀어링 스트라이크,enduring_strike
시퀀스 번,sequence_burn
자이포스 동체 설계도,xiphos_fuselage_blueprint
맨티스 동체 설계도,mantis_fuselage_blueprint
블레이디드 라운즈,bladed_rounds
슈레드,shred
맨티스 항공 전자 기기 설계도,mantis_avionics_blueprint
서레이션,serration
아케인 힐링,arcane_healing
시미터 동체 설계도,scimitar_fuselage_blueprint
퀵 리턴,quick_return
라이트닝 로드,lightning_rod
아케인 웜스,arcane_warmth
스틸 차지,steel_charge
레이지,rage
라스팅 스팅,lasting_sting
생티 마기스타,sancti_magistar
emp 오라,emp_aura
패시파잉 볼츠,pacifying_bolts
메탈 파이버,metal_fiber
에너지 앰플리파이어,energy_amplifier
베나리 바디가드,venari_bodyguard
버츄오스 트로잔,virtuos_trojan
블라인딩 리브,blinding_reave
드레드 와드,dread_ward
프리즈마 그린락,prisma_grinlok
이쿼녹스 프라임 섀시 설계도,equinox_prime_chassis_blueprint
스트라다바 프라임 설계도,stradavar_prime_blueprint
베이코어 메어락,vaykor_marelok
서레이티드 라운즈,serrated_rounds
자이포스 엔진 설계도,xiphos_engines_blueprint
티타니아 프라임 뉴로옵틱스 설계도,titania_prime_neuroptics_blueprint
팽골린 프라임 블레이드,pangolin_prime_blade
팽골린 프라임 세트,pangolin_prime_set
티타니아 프라임 설계도,titania_prime_blueprint
레보 리듀서,revo_reducer
센티언트 스칼펠,sentient_scalpel
티타니아 프라임 세트,titania_prime_set
트리뷰널,tribunal
캐터펄트,catapult
블레이징 필리지,blazing_pillage
스펠바운드 하베스트,spellbound_harvest
크루징 스피드,cruising_speed
아틸러리 칩 샷,artillery_cheap_shot
터렛 벨로시티,turret_velocity
오드넌스 칩 샷,ordnance_cheap_shot
발리스타 메져,ballista_measure
퀵락,quicklock
오드넌스 벨로시티,ordnance_velocity
프라임드 클렌즈 그리니어,primed_cleanse_grineer
프라임드 클렌즈 인페스티드,primed_cleanse_infested
프라임드 클렌즈 코퍼스,primed_cleanse_corpus
프라임드 클렌즈 오로킨,primed_cleanse_corrupted
어번던트 뮤테이션,abundant_mutation
디징 라운즈,dizzying_rounds
리빌링 스포어즈,revealing_spores
인레이지드,enraged
러블 힙,rubble_heap
프리시젼 스트라이크,precision_strike
데들리 메뉴버스,deadly_maneuvers
밴쉬 프라임 설계도,banshee_prime_blueprint
칠링 리로드,chilling_reload
스트림라인드 폼,streamlined_form
드리프팅 컨택트,drifting_contact
발키르 프라임 섀시 설계도,valkyr_prime_chassis_blueprint
프라임드 크라이오 라운즈,primed_cryo_rounds
센타우르 세트,centaur_set
오노릭스 세트,onorix_set
악쿠자 세트,agkuza_set
힐링 리턴,healing_return
코르바스 세트,corvas_set
리인포싱 스톰프,reinforcing_stomp
래스본 세트,rathbone_set
릴렌트리스 컴비네이션,relentless_combination
세르노스 프라임 설계도,cernos_prime_blueprint
세르노스 프라임 로워 림,cernos_prime_lower_limb
세르노스 프라임 어퍼 림,cernos_prime_upper_limb
세르노스 프라임 그립,cernos_prime_grip
컨디션 오버로드,condition_overload
바이럴 템페스트,viral_tempest
디스패치 오버드라이브,dispatch_overdrive
엔듀어링 어플릭션,enduring_affliction
피스톨 스캐빈저,pistol_scavenger
웜 프라임 세트,wyrm_prime_set
나라몬 트랜스뮤트 코어,naramon_transmute_core
바자린 트랜스뮤트 코어,vazarin_transmute_core
벤지풀 레버넌트,vengeful_revenant
아스트랄 오톱시,astral_autopsy
에르고의 이사회실 배경,ergos_boardroom_scene
애자일 에임,agile_aim
안티시페이션,anticipation
아이돌론의 평원 배경,plains_of_eidolon_scene
슈레드 샷,shred_shot
버스튼 프라임 배럴,burston_prime_barrel
아이스 웨이브 임피던스,ice_wave_impedance
볼트 프라임 시스템 설계도,volt_prime_systems_blueprint
다크라 프라임 블레이드,dakra_prime_blade
글레이브 프라임 디스크,glaive_prime_disc
아야탄 아이르 조각상,ayatan_ayr_sculpture
스트레치,stretch
악쿠자 가드,agkuza_guard
인텐시파이,intensify
헤비 워헤드,heavy_warhead
카락 레이스 스톡,karak_wraith_stock
마두라이 트랜스뮤트 코어,madurai_transmute_core
톡식 배러지,toxic_barrage
에이펙스 프레데터,apex_predator
샷건 애모 뮤테이션,shotgun_ammo_mutation
칼큘레이티드 빅토리,calculated_victory
하이페리온 쓰러스터,hyperion_thrusters
인페스티드 임피던스,infested_impedance
하이드로이드 프라임 시스템 설계도,hydroid_prime_systems_blueprint
프라임드 애니멀 인스팅트,primed_animal_instinct
필퍼링 스트랭글돔,pilfering_strangledome
프로톤 펄스,proton_pulse
가스 도시 승강기 배경,gas_city_lifts_scene
도그 데이즈 배경,dog_days_scene
쇼크웨이브 액츄에이터,shockwave_actuators
어시밀레이트,assimilate
글레이브 프라임 세트,glaive_prime_set
신도 프라임 세트,scindo_prime_set
텔로스 볼테이스,telos_boltace
래트론 프라임 리시버,latron_prime_receiver
래트론 프라임 스톡,latron_prime_stock
렉스 프라임 배럴,lex_prime_barrel
그리니어 숲 공장 배경,grineer_forest_factory_scene
하트 니스,heart_nyth
임페네트러블 오펜스,impenetrable_offense
수다 데이터 공간 배경,sudas_datascape_scene
시바리스 프라임 리시버,sybaris_prime_receiver
스태거링 실드,staggering_shield
아크스틸레토 프라임 세트,akstiletto_prime_set
스트로파 세트,stropha_set
벨록스 세트,velox_set
스탈타 배럴,stahlta_barrel
스탈타 세트,stahlta_set
벨록스 리시버,velox_receiver
스트로파 블레이드,stropha_blade
스탈타 리시버,stahlta_receiver
스트로파 리시버,stropha_receiver
스트로파 스톡,stropha_stock
스트로파 배럴,stropha_barrel
스탈타 스톡,stahlta_stock
벨록스 배럴,velox_barrel
코퍼스 함선 격납고 배경,corpus_ship_hangar_scene
코퍼스 함선 함교 배경,corpus_ship_bridge_scene
코퍼스 함선 궤도 대포 배경,corpus_ship_orbital_cannon_scene
글랙시온 반달,glaxion_vandal
프라임드 루비도-라인드 배럴,primed_rubedo_lined_barrel
이나로스 프라임 세트,inaros_prime_set
이나로스 프라임 섀시 설계도,inaros_prime_chassis_blueprint
이나로스 프라임 뉴로옵틱스 설계도,inaros_prime_neuroptics_blueprint
이나로스 프라임 설계도,inaros_prime_blueprint
이나로스 프라임 시스템 설계도,inaros_prime_systems_blueprint
팬서라 프라임 스톡,panthera_prime_stock
캐리스트 프라임 핸들,karyst_prime_handle
캐리스트 프라임 세트,karyst_prime_set
팬서라 프라임 세트,panthera_prime_set
팬서라 프라임 배럴,panthera_prime_barrel
팬서라 프라임 리시버,panthera_prime_receiver
팬서라 프라임 설계도,panthera_prime_blueprint
캐리스트 프라임 설계도,karyst_prime_blueprint
캐리스트 프라임 블레이드,karyst_prime_blade
비질란티 서플라이즈,vigilante_supplies
크러슁 루인,crushing_ruin
브래튼 프라임 스톡,braton_prime_stock
다크라 프라임 설계도,dakra_prime_blueprint
내로우 마인디드,narrow_minded
자이포스 항공 전자 기기 설계도,xiphos_avionics_blueprint
스탠드 그라운드,stand_ground
글레이브 프라임 설계도,glaive_prime_blueprint
프라임드 타겟 크랙커,primed_target_cracker
리플렉스 드로우,reflex_draw
아크스틸레토 프라임 링크,akstiletto_prime_link
베인 오브 오로킨,bane_of_corrupted
헌하우의 데이터 공간 배경,hunhows_datascape_scene
메임,maim
오베론 프라임 설계도,oberon_prime_blueprint
루터,looter
피스톨 애모 뮤테이션,pistol_ammo_mutation
포이즈너스 스팅,poisonous_sting
해로우의 사원 배경,harrows_temple_scene
아마린의 암자 배경,amaryns_retreat_scene
컬러 키 배경,color_key_scene
파이드라 세트,phaedra_set
세르노스 프라임 스트링,cernos_prime_string
세르노스 프라임 세트,cernos_prime_set
발키르 프라임 설계도,valkyr_prime_blueprint
발키르 프라임 세트,valkyr_prime_set
벤카 프라임 블레이드,venka_prime_blades
바운티 헌터,bounty_hunter
타겟 어콰이어드,target_acquired
하트시커,heartseeker
로얄 컴패니언,loyal_companion
마샬 퓨리,martial_fury
디사이시브 저지먼트,decisive_judgement
트월링 스파이어,twirling_spire
억실러리 파워,auxiliary_power
아이돌론 렌즈 설계도,eidolon_lens_blueprint
글리밍 탈론,gleaming_talon
스캐빈지,scavenge
건슬링어,gunslinger
선더링 위브,sundering_weave
임페일러 뮤니션즈,impaler_munitions
피닉스 리뉴얼,phoenix_renewal
쉘 쇼크,shell_shock
라바 버스트,larva_burst
클리빙 훨윈드,cleaving_whirlwind
크라우드 디스퍼젼,crowd_dispersion
싱가스 리시버,cyngas_receiver
오도나타 프라임 설계도,odonata_prime_blueprint
블라인드 저스티스,blind_justice
풀 컨택트,full_contact
메디-레이,medi_ray
일렉트로마그네틱 실딩,electromagnetic_shielding
임페라토르 반달 세트,imperator_vandal_set
애프터버너,afterburner
프라임드 피스톨 갬빗,primed_pistol_gambit
베이코어 헥,vaykor_hek
하이드롤릭 배럴,hydraulic_barrel
새린 프라임 뉴로옵틱스 설계도,saryn_prime_neuroptics_blueprint
나미 스카일라 프라임 블레이드,nami_skyla_prime_blade
크로넨 프라임 핸들,kronen_prime_handle
글래디에이터 피네스,gladiator_finesse
어거 리치,augur_reach
새크리파이스,sacrifice
헌터 트랙,hunter_track
헌터 커맨드,hunter_command
보어 프라임 리시버,boar_prime_receiver
오메가 비컨,omega_beacon
리제네레이티브 몰트,regenerative_molt
보어 프라임 스톡,boar_prime_stock
고르곤 레이스 배럴,gorgon_wraith_barrel
코가케 프라임 부츠,kogake_prime_boot
아크볼토 프라임 세트,akbolto_prime_set
아크볼토 프라임 링크,akbolto_prime_link
아크볼토 프라임 배럴,akbolto_prime_barrel
브래튼 반달 설계도,braton_vandal_blueprint
