de,slug
onorix: klinge,onorix_blade
venka prime: set,venka_prime_set
schalldämpfer,suppress
zielfixierung,target_fixation
magnet-schweben,maglev
grineer läutern,cleanse_grineer
erhöhte reflexe,heightened_reflexes
hatz,hunt
orthos prime blaupause,orthos_prime_blueprint
horrorkabinett,hall_of_malevolence
grineer bestrafen,smite_grineer
feuersturm,firestorm
verderben der corpus,bane_of_corpus
berserker raserei,berserker_fury
sturmraubzug,rousing_plunder
lockeres magazin,loose_magazine
lebensschlag,life_strike
flickflack,handspring
paris prime: griff,paris_prime_grip
glückstreffer,lucky_shot
elektrisierter lauf,electrified_barrel
maximale kapazität,maximum_capacity
rettender köder,savior_decoy
schleichender fächer,stalking_fan
primed verderben der orokin,primed_bane_of_corrupted
pelzmantel,warm_coat
verdorbenes magazin,tainted_mag
taktischer rückzug,tactical_retreat
strahlende reinheit,bright_purity
kalte sprengung,frigid_blast
splittergeschosse,shrapnel_rounds
blutende schneide,bleeding_edge
pax: sucher,pax_seeker
mesa prime blaupause,mesa_prime_blueprint
equinox prime: neuroptik blaupause,equinox_prime_neuroptics_blueprint
redeemer prime blaupause,redeemer_prime_blueprint
virtuos: stachel,virtuos_spike
tipedo prime blaupause,tipedo_prime_blueprint
gezackte ränder,serrated_edges
schwer entflammbar,flame_repellent
quanta vandal,quanta_vandal
mara detron,mara_detron
stoßdämpfer,shock_absorbers
bronco prime: gehäuse,bronco_prime_receiver
mutalist nav coordinates,mutalist_nav_coordinates
burston prime blaupause,burston_prime_blueprint
sanfte hände,soft_hands
federgeladener breitkopf,spring_loaded_broadhead
riftflut,rift_torrent
burston prime: schaft,burston_prime_stock
schwert alleine,sword_alone
taktisches nachladen,tactical_reload
hikou prime blaupause,hikou_prime_blueprint
tränengas,tear_gas
primed streifenmagazin,primed_slip_magazine
obdach,shelter
zwillingskreuz,gemini_cross
ruptur,rupture
arkaner vanguard helm,arcane_vanguard_helmet
fomorianer beschleuniger,fomorian_accelerant
primed fluss,primed_flow
imperator vandal blaupause,imperator_vandal_blueprint
primed munition-wandler: pistole,primed_pistol_ammo_mutation
arkaner pendragon helm,arcane_pendragon_helmet
prisma veritux,prisma_veritux
resonanz,resonance
ballistischer volltreffer,ballistic_bullseye
volt prime blaupause,volt_prime_blueprint
durchstechender navigator,piercing_navigator
photora-szene: gas city alads labor,gas_city_alads_laboratory_scene
magnumstärke,magnum_force
corpus verjagen,expel_corpus
ember prime: chassis blaupause,ember_prime_chassis_blueprint
arkana: tempo,arcane_tempo
madurai-linse,madurai_lens
unairu-linse,unairu_lens
listige trift,cunning_drift
anhaltende trift,endurance_drift
dämpfende verbindung,abating_link
kraftvolle trift,power_drift
schnelle trift,speed_drift
geweihte eruption,hallowed_eruption
heimliche trift,stealth_drift
rhino prime: chassis blaupause,rhino_prime_chassis_blueprint
schneidende kante,cutting_edge
eisernes schrapnell,iron_shrapnel
akbronco prime: set,akbronco_prime_set
infektiöse ausbreitung,contagious_spread
arkana: agilität,arcane_agility
durchdringendes brüllen,piercing_roar
carrier prime: set,carrier_prime_set
gedämpfte unsichtbarkeit,hushed_invisibility
dakra prime: set,dakra_prime_set
stehlender schwarm,pilfering_swarm
diamanthaut,diamond_skin
dera vandal: set,dera_vandal_set
giftige sequenz,toxic_sequence
latron wraith blaupause,latron_wraith_blueprint
latron wraith: gehäuse,latron_wraith_receiver
latron wraith: schaft,latron_wraith_stock
latron wraith: set,latron_wraith_set
territoriale aggression,territorial_aggression
prankenhieb,swipe
sprung,pounce
geschärfte krallen,sharpened_claws
zwillingsvipern wraith: verbindung,twin_vipers_wraith_link
zwillingsvipern wraith: gehäuse,twin_vipers_wraith_receivers
zwillingsvipern wraith: set,twin_vipers_wraith_set
feindradar,enemy_radar
nekros prime: chassis blaupause,nekros_prime_chassis_blueprint
arkana: leibwächter,arcane_bodyguard
arkana: primär-lader,arcane_primary_charger
flinke dynamik,swift_momentum
kampfdisziplin,combat_discipline
arkana: klingen-lader,arcane_blade_charger
nahkampf-lenkung,melee_guidance
atlas prime: chassis blaupause,atlas_prime_chassis_blueprint
dethcube prime: panzer,dethcube_prime_carapace
dethcube prime: cerebrum,dethcube_prime_cerebrum
tekko prime: handschuh,tekko_prime_gauntlet
dethcube prime blaupause,dethcube_prime_blueprint
dethcube prime: set,dethcube_prime_set
gletscherkante,glacial_edge
ausweider,organ_shatter
limbo prime: systeme blaupause,limbo_prime_systems_blueprint
laufzeit,runtime
schnelle flucht,hit_and_run
ivara prime: neuroptik blaupause,ivara_prime_neuroptics_blueprint
ivara prime: chassis blaupause,ivara_prime_chassis_blueprint
ivara prime: systeme blaupause,ivara_prime_systems_blueprint
baza prime blaupause,baza_prime_blueprint
baza prime: set,baza_prime_set
aksomati prime: set,aksomati_prime_set
aksomati prime: verbindung,aksomati_prime_link
baza prime: schaft,baza_prime_stock
aksomati prime: gehäuse,aksomati_prime_receiver
gram prime: griff,gram_prime_handle
primed reichweite,primed_reach
schützender thuriferar,warding_thurible
helios prime blaupause,helios_prime_blueprint
tödliche geschwindigkeit,terminal_velocity
eissturm,ice_storm
zyklonkraken,cyclone_kraken
karak wraith: gehäuse,karak_wraith_receiver
orvius: scheibe,orvius_disc
vazarin-linse,vazarin_lens
sinkende klaue,sinking_talon
gesundheits-umwandlung,health_conversion
spannungsspule,reflex_coil
vasto prime: gehäuse,vasto_prime_receiver
verbrennender sprint,searing_leap
beutedetektor,loot_detector
beständige bastille,repelling_bastille
hohlgeschosse,hollowed_bullets
scimitar: triebwerke blaupause,scimitar_engines_blueprint
eiserner ansturm,ironclad_charge
photora-szene: veils bindung,veils_binding_scene
magus: antrieb,magus_drive
schnelles nachladen,quick_reload
infektion: fieber,strain_fever
arch-gewehr ass,archgun_ace
irrer haufen,mad_stack
wimmelnde virulenz,teeming_virulence
photora-szene: fortuna,fortuna_scene
tipedo prime: ornament,tipedo_prime_ornament
stradavar prime: gehäuse,stradavar_prime_receiver
snipetron vandal: lauf,snipetron_vandal_barrel
arkaner scorpion helm,arcane_scorpion_helmet
wyrm prime: cerebrum,wyrm_prime_cerebrum
flinkes visier,spry_sights
zielempfänger,targeting_receptor
ayatan-skulptur: valana,ayatan_valana_sculpture
verderben der befallenen,bane_of_infested
schockberührung,shocking_touch
cyngas: lauf,cyngas_barrel
sprintverstärker,sprint_boost
cyngas: schaft,cyngas_stock
grimmiger speer,furious_javelin
lex prime blaupause,lex_prime_blueprint
entziehende düsternis,draining_gloom
photora-szene: gas city element-verfeinerung,gas_city_elemental_refinement_scene
höllenfeuer,hellfire
präzisionsmunition,precision_munition
argon-beschlag,argon_plating
corpus void key,corpus_void_key
hikou prime: set,hikou_prime_set
suchender,seeker
schmelzender einschlag,molten_impact
orthos prime: griff,orthos_prime_handle
reaper prime: klinge,reaper_prime_blade
zerreißender schlag,rending_strike
magazinschaft,ammo_stock
selbstzerstörung,self_destruct
federdruck-kammer,spring_loaded_chamber
beschleunigte explosion,accelerated_blast
scindo prime blaupause,scindo_prime_blueprint
verdorbene hülse,tainted_shell
stechende wahrheit,stinging_truth
verstärkermagazin,repeater_clip
todesstoß,killing_blow
eingebetteter katalysator,embedded_catalyzer
magmakammer,magma_chamber
rückprall,rebound
entladender schlag,discharge_strike
arkaner storm helm,arcane_storm_helmet
reichweite,reach
anti-flak beschichtung,anti_flak_plating
azurit-träne,tear_azurite
schrotgewehr riven-mod (veiled),shotgun_riven_mod_(veiled)
magus: takt,magus_cadence
exodia: mut,exodia_brave
exodia: jagd,exodia_hunt
exodia: triumph,exodia_triumph
magus: pflegen,magus_nourish
virtuos: schatten,virtuos_shadow
ember prime: systeme blaupause,ember_prime_systems_blueprint
frost prime: chassis blaupause,frost_prime_chassis_blueprint
rhino prime: systeme blaupause,rhino_prime_systems_blueprint
ember prime blaupause,ember_prime_blueprint
erodierender hauch,eroding_blight
tödliche sequenz,deadly_sequence
fieberschlag,fever_strike
sägeblatt-magazin,sawtooth_clip
arkaner essence helm,arcane_essence_helmet
arkaner locust helm,arcane_locust_helmet
tempo royale,tempo_royale
radiant-sentirum,radian_sentirum
prisma gorgon,prisma_gorgon
geistessturm,brain_storm
mittagsstunde,high_noon
zerstreute gerechtigkeit,scattered_justice
brutale flut,brutal_tide
wolkenschlauch,funnel_clouds
ash prime blaupause,ash_prime_blueprint
decurion: gehäuse,decurion_receiver
giftiger hauch,toxic_blight
kubrow-halsband: kavasa prime blaupause,kavasa_prime_kubrow_collar_blueprint
ayatan-stern: cyan,ayatan_cyan_star
fatale beschleunigung,fatal_acceleration
phaedra: lauf,phaedra_barrel
diebesgespür,thiefs_wit
furax wraith: linker handschuh,furax_wraith_left_gauntlet
heldenmut,melee_prowess
ayatan-stern: amber,ayatan_amber_star
anhaltende paralyse,prolonged_paralysis
gewehr riven-mod (veiled),rifle_riven_mod_(veiled)
flak-schuss,flak_shot
durchziehen,follow_through
schnelles ziehen,quickdraw
spott des wächters,guardian_derision
eislawine,icy_avalanche
vay hek frequency triangulator,vay_hek_frequency_triangulator
schleudertrauma-mine,whiplash_mine
odo-sani,odomedic
proton: abstoßung,proton_jet
sicherheit überbrücken,security_override
rift-zuflucht,rift_haven
machete wraith,machete_wraith
sicherung,safeguard
prova vandal,prova_vandal
pfad der statuen,path_of_statues
ansteckende wolke,contagion_cloud
reaper prime: set,reaper_prime_set
glänzendes feueropfer,immolated_radiance
vauban prime blaupause,vauban_prime_blueprint
carrier prime: panzer,carrier_prime_carapace
volle kapazität,full_capacity
magnetisierte entladung,magnetized_discharge
ankyros prime blaupause,ankyros_prime_blueprint
photora-szene: inaros' grab,inaros_tomb_scene
boar prime: lauf,boar_prime_barrel
oberon prime: chassis blaupause,oberon_prime_chassis_blueprint
sichern und laden,lock_and_load
photora-szene: lunaro arena,lunaro_arena_scene
silva & ägis prime: klinge,silva_and_aegis_prime_blade
arkana: beschützer,arcane_guardian
boltor prime blaupause,boltor_prime_blueprint
schnelle ablenkung,fast_deflection
sybaris prime: set,sybaris_prime_set
oberon prime: systeme blaupause,oberon_prime_systems_blueprint
baza prime: gehäuse,baza_prime_receiver
primed befallene bestrafen,primed_smite_infested
shedu: lauf,shedu_barrel
shedu: gehäuse,shedu_receiver
primed corpus bestrafen,primed_smite_corpus
photora-szene: sentient brunnen,sentient_fountain_scene
shedu: set,shedu_set
shedu: chassis,shedu_chassis
void-tarnung,void_cloak
gruppenerneuerung,squad_renew
bereichsverdichtung,section_density
strömungsbrand,flow_burn
drängender stoß,surging_dash
dirigent,conductor
strafende klauenpeitsche,accumulating_whipclaw
herz-noctrul,heart_noctrul
photon-repetierer,photon_repeater
redeemer prime: set,redeemer_prime_set
ausgekühlte patrone,hypothermic_shell
sprengkopf,warhead
kampfstationen,battle_stations
gegenmaßnahmen,countermeasures
blutschmiede,blood_forge
freudenfeuerwoge,balefire_surge
photora-szene: sentient becken,sentient_basin_scene
photora-szene: sentient balkon,sentient_balcony_scene
endloses schlaflied,endless_lullaby
magus: beschleuniger,magus_accelerant
galatine prime blaupause,galatine_prime_blueprint
fliegerass,aerial_ace
energieschuss,energizing_shot
verankertes gleiten,anchored_glide
giftiges magazin,venomous_clip
dera vandal: lauf,dera_vandal_barrel
gegengewicht,counterweight
anti-grav granate,anti_grav_grenade
kurze ruhe,brief_respite
orthos prime: set,orthos_prime_set
hysterischer angriff,hysterical_assault
geschickte welle,adept_surge
gorgon ekstase,gorgon_frenzy
volt prime: set,volt_prime_set
esher-devar,esher_devar
banshee prime: neuroptik blaupause,banshee_prime_neuroptics_blueprint
elektropuls,electro_pulse
neutralisieren,neutralize
bring,retrieve
imperator vandal: gehäuse,imperator_vandal_receiver
secura lecta,secura_lecta
amesha: systeme,amesha_systems_blueprint
amesha: flügel,amesha_wings_blueprint
amesha: harnisch,amesha_harness_blueprint
amesha: set,amesha_set
elytron: harnisch,elytron_harness_blueprint
elytron: set,elytron_set
itzal: systeme blaupause,itzal_systems_blueprint
itzal: flügel blaupause,itzal_wings_blueprint
itzal: harnisch blaupause,itzal_harness_blueprint
itzal: set,itzal_set
ayatan-skulptur: vaya,ayatan_vaya_sculpture
the perrin sequence augment mod,the_perrin_sequence_augment_mod
new loka augment mod,new_loka_augment_mod
arbiters of hexis augment mod,arbiters_of_hexis_augment_mod
glücksbringer,charm
katzenauge,cats_eye
haustier medi-kit,medi_pet_kit
reaper prime: griff,reaper_prime_handle
sicarus prime: lauf,sicarus_prime_barrel
braton prime: lauf,braton_prime_barrel
reinigende flammen,purifying_flames
überladen,overcharged
elytron: flügel,elytron_wings_blueprint
schalk,mischief
tigris prime: set,tigris_prime_set
schildlader,shield_charger
rakta dunkeldolch,rakta_dark_dagger
statische entladung,static_discharge
schmerzgrenze,pain_threshold
paris prime: sehne,paris_prime_string
doppellauf-drift,double_barrel_drift
gorgon wraith blaupause,gorgon_wraith_blueprint
argon fernrohr,argon_scope
explosiver niedergang,explosive_demise
sicarus prime: gehäuse,sicarus_prime_receiver
mantis: triebwerke blaupause,mantis_engines_blueprint
sicherer schuss,sure_shot
glaive prime: klinge,glaive_prime_blade
kräftezehrender bereich,sapping_reach
karak wraith: set,karak_wraith_set
fragor prime: set,fragor_prime_set
blutroter derwisch,crimson_dervish
akstiletto prime blaupause,akstiletto_prime_blueprint
akstiletto prime: lauf,akstiletto_prime_barrel
schockfrost,deep_freeze
akstiletto prime: gehäuse,akstiletto_prime_receiver
physis,physique
akbolto prime: gehäuse,akbolto_prime_receiver
paris prime: oberteil,paris_prime_upper_limb
akbolto prime blaupause,akbolto_prime_blueprint
silva & ägis prime blaupause,silva_and_aegis_prime_blueprint
scindo prime: klinge,scindo_prime_blade
euphona prime: lauf,euphona_prime_barrel
mag prime blaupause,mag_prime_blueprint
furax wraith blaupause,furax_wraith_blueprint
frost prime: systeme blaupause,frost_prime_systems_blueprint
eissprung,ice_spring
zerschmetternder einschlag,shattering_impact
morphid-umformer,morphic_transformer
helios prime: cerebrum,helios_prime_cerebrum
paris prime: unterteil,paris_prime_lower_limb
dreifach-treffer,triple_tap
arglistiger raubvogel,malicious_raptor
schild aus schatten,shield_of_shadows
hohlspitz-geschoss,hollow_point
beständiger schlag,enduring_strike
sequenz-brand,sequence_burn
xiphos: rumpf blaupause,xiphos_fuselage_blueprint
mantis: rumpf blaupause,mantis_fuselage_blueprint
messergeschoss,bladed_rounds
zerfetzen,shred
mantis: avionik blaupause,mantis_avionics_blueprint
einkerbung,serration
arkana: heilung,arcane_healing
scimitar: rumpf blaupause,scimitar_fuselage_blueprint
schnelle rückkehr,quick_return
blitzableiter,lightning_rod
arkana: wärme,arcane_warmth
stählerner ansturm,steel_charge
zorn,rage
bleibender stich,lasting_sting
sancti magistar,sancti_magistar
emp-aura,emp_aura
befriedende bolzen,pacifying_bolts
metallfasern,metal_fiber
energieverstärker,energy_amplifier
venari leibwächter,venari_bodyguard
virtuos: trojaner,virtuos_trojan
blendendes schröpfen,blinding_reave
schreckende abwehr,dread_ward
prisma grinlok,prisma_grinlok
equinox prime: chassis blaupause,equinox_prime_chassis_blueprint
stradavar prime blaupause,stradavar_prime_blueprint
vaykor marelok,vaykor_marelok
gezahnte geschosse,serrated_rounds
xiphos: triebwerke blaupause,xiphos_engines_blueprint
titania prime: neuroptik blaupause,titania_prime_neuroptics_blueprint
pangolin prime: klinge,pangolin_prime_blade
pangolin prime: set,pangolin_prime_set
titania prime blaupause,titania_prime_blueprint
revo-reduzierer,revo_reducer
sentient skalpell,sentient_scalpel
titania prime: set,titania_prime_set
tribunal,tribunal
katapult,catapult
lodernder schildraub,blazing_pillage
bezaubernde ernte,spellbound_harvest
reisetempo,cruising_speed
günstige artillerie,artillery_cheap_shot
schnelle geschütze,turret_velocity
günstige bewaffnung,ordnance_cheap_shot
ballistische maßnahme,ballista_measure
schnelle erfassung,quicklock
schnelle bewaffnung,ordnance_velocity
primed grineer läutern,primed_cleanse_grineer
primed befallene läutern,primed_cleanse_infested
primed corpus läutern,primed_cleanse_corpus
primed orokin läutern,primed_cleanse_corrupted
reichliche mutation,abundant_mutation
verwirrende kugeln,dizzying_rounds
enthüllende sporen,revealing_spores
erzürnt,enraged
schutthaufen,rubble_heap
präziser schlag,precision_strike
tödliche manöver,deadly_maneuvers
banshee prime blaupause,banshee_prime_blueprint
klirrendes nachladen,chilling_reload
optimierte form,streamlined_form
driftende berührung,drifting_contact
valkyr prime: chassis blaupause,valkyr_prime_chassis_blueprint
primed kryokugeln,primed_cryo_rounds
centaur: set,centaur_set
onorix: set,onorix_set
agkuza: set,agkuza_set
heilende rückkehr,healing_return
corvas: set,corvas_set
verstärkender stampfer,reinforcing_stomp
rathbone: set,rathbone_set
unerbittliche kombination,relentless_combination
cernos prime blaupause,cernos_prime_blueprint
cernos prime: unterteil,cernos_prime_lower_limb
cernos prime: oberteil,cernos_prime_upper_limb
cernos prime: griff,cernos_prime_grip
zustandüberladung,condition_overload
virales sturmfeuer,viral_tempest
tödliche übersteuerung,dispatch_overdrive
beständiges leid,enduring_affliction
pistolenplünderer,pistol_scavenger
wyrm prime: set,wyrm_prime_set
umwandlungskern: naramon,naramon_transmute_core
umwandlungskern: vazarin,vazarin_transmute_core
rachsüchtiger wiedergänger,vengeful_revenant
astrale autopsie,astral_autopsy
photora-szene: ergos sitzungszimmer,ergos_boardroom_scene
agiles zielen,agile_aim
vorahnung,anticipation
photora-szene: ebenen von eidolon,plains_of_eidolon_scene
schredder-schuss,shred_shot
burston prime: lauf,burston_prime_barrel
eiswellen-widerstand,ice_wave_impedance
volt prime: systeme blaupause,volt_prime_systems_blueprint
dakra prime: klinge,dakra_prime_blade
glaive prime: scheibe,glaive_prime_disc
ayatan-skulptur: ayr,ayatan_ayr_sculpture
ausdehnung,stretch
agkuza: handschutz,agkuza_guard
verstärken,intensify
schwerer gefechtskopf,heavy_warhead
karak wraith: schaft,karak_wraith_stock
umwandlungskern: madurai,madurai_transmute_core
giftige flut,toxic_barrage
spitzenprädator,apex_predator
munition-wandler: schrot,shotgun_ammo_mutation
kalkulierter sieg,calculated_victory
hyperion-triebwerke,hyperion_thrusters
befallenen-behinderung,infested_impedance
hydroid prime: systeme blaupause,hydroid_prime_systems_blueprint
primed tierischer instinkt,primed_animal_instinct
stehlende drosselkuppel,pilfering_strangledome
proton: reaktion,proton_pulse
photora-szene: gas city lifte,gas_city_lifts_scene
photora-szene: hitzefrei,dog_days_scene
schockwelle-aktuatoren,shockwave_actuators
assimilieren,assimilate
glaive prime: set,glaive_prime_set
scindo prime: set,scindo_prime_set
telos boltace,telos_boltace
latron prime: gehäuse,latron_prime_receiver
latron prime: schaft,latron_prime_stock
lex prime: lauf,lex_prime_barrel
photora-szene: grineer wald fabrik,grineer_forest_factory_scene
herz-nyth,heart_nyth
undurchdringliche offensive,impenetrable_offense
photora-szene: sudas datenumgebung,sudas_datascape_scene
sybaris prime: gehäuse,sybaris_prime_receiver
wankender schild,staggering_shield
akstiletto prime: set,akstiletto_prime_set
stropha: set,stropha_set
velox: set,velox_set
stahlta: lauf,stahlta_barrel
stahlta: set,stahlta_set
velox: gehäuse,velox_receiver
stropha: klinge,stropha_blade
stahlta: gehäuse,stahlta_receiver
stropha: gehäuse,stropha_receiver
stropha: schaft,stropha_stock
stropha: lauf,stropha_barrel
stahlta: schaft,stahlta_stock
velox: lauf,velox_barrel
photora-szene: corpus schiffshangar,corpus_ship_hangar_scene
photora-szene: corpus schiffsbrücke,corpus_ship_bridge_scene
photora-szene: corpus orbitalkanone,corpus_ship_orbital_cannon_scene
glaxion vandal,glaxion_vandal
primed rubedo-beschichteter lauf,primed_rubedo_lined_barrel
inaros prime: set,inaros_prime_set
inaros prime: chassis blaupause,inaros_prime_chassis_blueprint
inaros prime: neuroptik blaupause,inaros_prime_neuroptics_blueprint
inaros prime blaupause,inaros_prime_blueprint
inaros prime: systeme blaupause,inaros_prime_systems_blueprint
panthera prime: schaft,panthera_prime_stock
karyst prime: griff,karyst_prime_handle
karyst prime: set,karyst_prime_set
panthera prime: set,panthera_prime_set
panthera prime: lauf,panthera_prime_barrel
panthera prime: gehäuse,panthera_prime_receiver
panthera prime blaupause,panthera_prime_blueprint
karyst prime blaupause,karyst_prime_blueprint
karyst prime: klinge,karyst_prime_blade
vigilanten: vorräte,vigilante_supplies
zermahlendes verderben,crushing_ruin
braton prime: schaft,braton_prime_stock
dakra prime blaupause,dakra_prime_blueprint
engstirnig,narrow_minded
xiphos: avionik blaupause,xiphos_avionics_blueprint
position halten,stand_ground
glaive prime blaupause,glaive_prime_blueprint
primed panzerbrecher,primed_target_cracker
reflexzug,reflex_draw
akstiletto prime: verbindung,akstiletto_prime_link
verderben der orokin,bane_of_corrupted
photora-szene: hunhows datenumgebung,hunhows_datascape_scene
verstümmeln,maim
oberon prime blaupause,oberon_prime_blueprint
plünderer,looter
munition-wandler: pistole,pistol_ammo_mutation
giftiger stich,poisonous_sting
photora-szene: harrows tempel,harrows_temple_scene
photora-szene: amaryns zufluchtsort,amaryns_retreat_scene
photora-szene: farbschlüssel,color_key_scene
phaedra: set,phaedra_set
cernos prime: sehne,cernos_prime_string
cernos prime: set,cernos_prime_set
valkyr prime blaupause,valkyr_prime_blueprint
valkyr prime: set,valkyr_prime_set
venka prime: klingen,venka_prime_blades
kopfgeldjäger,bounty_hunter
ziel erfasst,target_acquired
herzsucher,heartseeker
loyaler gefährte,loyal_companion
martialische furie,martial_fury
entschlossener richtspruch,decisive_judgement
wirbelnde spitze,twirling_spire
hilfsenergie,auxiliary_power
eidolon linse blaupause,eidolon_lens_blueprint
leuchtende klaue,gleaming_talon
plündern,scavenge
revolverheld,gunslinger
trennende bindung,sundering_weave
pfähler-munition,impaler_munitions
phönix-erneuerung,phoenix_renewal
schockhülse,shell_shock
larvenexplosion,larva_burst
spaltender wirbelwind,cleaving_whirlwind
mengen-zerstreuung,crowd_dispersion
cyngas: gehäuse,cyngas_receiver
odonata prime blaupause,odonata_prime_blueprint
blinde gerechtigkeit,blind_justice
vollkontakt,full_contact
medi-strahl,medi_ray
elektromagnetische abschirmung,electromagnetic_shielding
imperator vandal: set,imperator_vandal_set
nachbrenner,afterburner
primed cleverer schachzug,primed_pistol_gambit
vaykor hek,vaykor_hek
hydraulischer lauf,hydraulic_barrel
saryn prime: neuroptik blaupause,saryn_prime_neuroptics_blueprint
nami skyla prime: klinge,nami_skyla_prime_blade
kronen prime: griff,kronen_prime_handle
gladiator: finesse,gladiator_finesse
augur: reichweite,augur_reach
aufopferung,sacrifice
jäger: fährte,hunter_track
jäger: befehl,hunter_command
boar prime: gehäuse,boar_prime_receiver
omega-signalfeuer,omega_beacon
regenerative häutung,regenerative_molt
boar prime: schaft,boar_prime_stock
gorgon wraith: lauf,gorgon_wraith_barrel
kogake prime: stiefel,kogake_prime_boot
akbolto prime: set,akbolto_prime_set
akbolto prime: verbindung,akbolto_prime_link
akbolto prime: lauf,akbolto_prime_barrel
braton vandal blaupause,braton_vandal_blueprint
limbo prime: set,limbo_prime_set
geteilter schläger,partitioned_mallet
trapezoid xenorhast,trapezium_xenorhast
saft,juice
saxum: thorax,saxum_thorax
necramech: druckpunkt,necramech_pressure_point
necramech: vitalität,necramech_vitality
entziehender biss,draining_bite
necramech: slipstream,necramech_slipstream
säurespeichel,acidic_spittle
endoparasitärer vektor,endoparasitic_vector
necramech: triebwerke,necramech_thrusters
necramech: beschädigte waffenkapsel,damaged_necramech_weapon_pod
facettenreiches tiamerit,faceted_tiametrite
necramech: beschädigter antrieb,damaged_necramech_engine
bombenlandung,bomb_the_landin
ayatan-skulptur: sah,ayatan_sah_sculpture
red veil augment mod,red_veil_augment_mod
listiger aspekt,cunning_aspect
reflektieren,reflect
zerfleischender wind,rending_wind
corvas: gehäuse,corvas_receiver
anmutiger rhythmus,noble_cadence
thermagnetische patronen,thermagnetic_shells
corvas: schaft,corvas_stock
kinetischer abpraller,kinetic_ricochet
sterbliches verhalten,mortal_conduct
parieren,parry
sicarus prime blaupause,sicarus_prime_blueprint
gorgon wraith: set,gorgon_wraith_set
aufsteigendes geschick,rising_skill
brechendes zermalmen,fracturing_crush
fang prime blaupause,fang_prime_blueprint
strahlende vollendung,radiant_finish
bösartigkeit,ferocity
xiphos: set,xiphos_set
hochspannung,high_voltage
vauban prime: chassis blaupause,vauban_prime_chassis_blueprint
wiederaufladende barriere,recharge_barrier
gehärtete bindung,tempered_bound
fokussierte beschleunigung,focused_acceleration
kollisionskraft,collision_force
latron prime blaupause,latron_prime_blueprint
braton prime blaupause,braton_prime_blueprint
entweihtes löwenmaul,defiled_snapdragon
nikana prime: griff,nikana_prime_hilt
wiederherstellen,recuperate
nikana prime: set,nikana_prime_set
scharfsinn,vital_sense
valkyr prime: systeme blaupause,valkyr_prime_systems_blueprint
cyngas: set,cyngas_set
zerbrochenes war: set,broken_war_set
venka prime: handschuh,venka_prime_gauntlet
kaszas: set,kaszas_set
velocitus: set,velocitus_set
fluctus: set,fluctus_set
dual-decurion: set,dual_decurion_set
weiter blick,broad_eye
spannungssequenz,voltage_sequence
akbronco prime blaupause,akbronco_prime_blueprint
kryokugeln,cryo_rounds
stille verletzung,silent_battery
phaedra: gehäuse,phaedra_receiver
euphona prime: gehäuse,euphona_prime_receiver
flüchtige stärke,transient_fortitude
erschütternde kugeln,concussion_rounds
heulen,howl
agkuza: griff,agkuza_handle
carrier prime: systeme,carrier_prime_systems
verborgene tödlichkeit,covert_lethality
gefederte pfeile,feathered_arrows
geladene kapazität,loaded_capacity
lockere kammer,loose_chamber
gepanzertes vermeiden,armored_evade
nano-spender,nano_applicator
fokussierte verteidigung,focused_defense
gelenkte anordnung,guided_ordnance
strun wraith blaupause,strun_wraith_blueprint
gigantischer rumbler,titanic_rumbler
spira prime blaupause,spira_prime_blueprint
spira prime: set,spira_prime_set
sheev: klinge,sheev_blade
sheev: kühlkörper,sheev_heatsink
sheev: set,sheev_set
rumbled,rumbled
snipetron vandal blaupause,snipetron_vandal_blueprint
jäger-knochensäge,hunters_bonesaw
velocitus: lauf,velocitus_barrel
giftwiderstand,toxin_resistance
nami skyla prime: set,nami_skyla_prime_set
kronen prime: set,kronen_prime_set
helios prime: systeme,helios_prime_systems
verlängern,extend
primed fieberschlag,primed_fever_strike
exodia: infektion,exodia_contagion
tiberon prime: set,tiberon_prime_set
exodia: epidemie,exodia_epidemic
mirage prime: systeme blaupause,mirage_prime_systems_blueprint
mirage prime blaupause,mirage_prime_blueprint
primed schnelles ziehen,primed_quickdraw
mecha: aufladung,mecha_recharge
synth: faser,synth_fiber
schweigen,hush
fragor prime: kopf,fragor_prime_head
trampeln,trample
metallbohrer,metal_auger
meisterdieb,master_thief
kyro-überzug,cryo_coating
zerplatzende masse,bursting_mass
tipedo prime: set,tipedo_prime_set
gehärteter stahl,true_steel
vier reiter,four_riders
vectis prime blaupause,vectis_prime_blueprint
tierischer instinkt,animal_instinct
zündstrahl,combustion_beam
harkonar zielfernrohr,harkonar_scope
photora-szene: gas city laufgang,gas_city_walkway_scene
photora-szene: gas city sackgasse,gas_city_dead_exit_scene
aerodynamisch,aerodynamic
atlas prime: set,atlas_prime_set
tekko prime: klinge,tekko_prime_blade
tekko prime: set,tekko_prime_set
tekko prime blaupause,tekko_prime_blueprint
necramech: umlenkung,necramech_redirection
necramech: beschädigter waffenlauf,damaged_necramech_weapon_barrel
damaged necramech weapon set,damaged_necramech_weapon_set
necramech: beschädigtes waffengehäuse,damaged_necramech_weapon_receiver
infektiöser biss,infectious_bite
lähmende sporen,paralytic_spores
sichel-verlauf,crescent_devolution
panzer-neubildung,panzer_devolution
anabole bestäubung,anabolic_pollination
primo flair,primo_flair
jugulus: spitzen,jugulus_barbs
saxum: panzer,saxum_carapace
harter angriff,hard_engage
staubspur,vapor_trail
saxum: speichel,saxum_spittle
