pt,slug
serrated edges,serrated_edges
flame repellent,flame_repellent
quanta vandalizada,quanta_vandal
detron mara,mara_detron
shock absorbers,shock_absorbers
bronco prime: receptor,bronco_prime_receiver
mutalist nav coordinates,mutalist_nav_coordinates
burston prime (diagrama),burston_prime_blueprint
soft hands,soft_hands
spring-loaded broadhead,spring_loaded_broadhead
torrente dimensional,rift_torrent
burston prime: coronha,burston_prime_stock
sword alone,sword_alone
tactical reload,tactical_reload
hikou prime (diagrama),hikou_prime_blueprint
gás lacrimogêneo,tear_gas
primed slip magazine,primed_slip_magazine
shelter,shelter
gemini cross,gemini_cross
rupture,rupture
rhino: capacete vanguard (arcano),arcane_vanguard_helmet
fomorian accelerant,fomorian_accelerant
primed flow,primed_flow
imperator vandalizada (diagrama),imperator_vandal_blueprint
primed pistol ammo mutation,primed_pistol_ammo_mutation
excalibur: capacete pendragon (arcano),arcane_pendragon_helmet
veritux prisma,prisma_veritux
ressonância,resonance
mira balística,ballistic_bullseye
volt prime (diagrama),volt_prime_blueprint
navegação perfurante,piercing_navigator
cena: laboratório do alad na cidade de gás,gas_city_alads_laboratory_scene
magnum force,magnum_force
expel corpus,expel_corpus
ember prime: chassi (diagrama),ember_prime_chassis_blueprint
ritmo arcano,arcane_tempo
lente madurai (comum),madurai_lens
lente unairu (comum),unairu_lens
cunning drift,cunning_drift
endurance drift,endurance_drift
elo redutivo,abating_link
power drift,power_drift
speed drift,speed_drift
erupção sagrada,hallowed_eruption
stealth drift,stealth_drift
rhino prime: chassi (diagrama),rhino_prime_chassis_blueprint
cutting edge,cutting_edge
estilhaços blindados,iron_shrapnel
akbronco prime: conjunto,akbronco_prime_set
contagious spread,contagious_spread
agilidade arcana,arcane_agility
rugido perfurante,piercing_roar
carrier prime: conjunto,carrier_prime_set
invisibilidade silenciosa,hushed_invisibility
dakra prime: conjunto,dakra_prime_set
tentáculos saqueadores,pilfering_swarm
diamond skin,diamond_skin
dera vandalizada: conjunto,dera_vandal_set
toxic sequence,toxic_sequence
latron quimérica (diagrama),latron_wraith_blueprint
latron quimérica: receptor,latron_wraith_receiver
latron quimérica: coronha,latron_wraith_stock
latron quimérica: conjunto,latron_wraith_set
territorial aggression,territorial_aggression
swipe,swipe
pounce,pounce
sharpened claws,sharpened_claws
vipers gêmeas quiméricas: conexão,twin_vipers_wraith_link
vipers gêmeas quiméricas: receptores,twin_vipers_wraith_receivers
vipers gêmeas quiméricas: conjunto,twin_vipers_wraith_set
enemy radar,enemy_radar
nekros prime: chassi (diagrama),nekros_prime_chassis_blueprint
guarda-costas arcano,arcane_bodyguard
carregador de primária arcano,arcane_primary_charger
swift momentum,swift_momentum
combat discipline,combat_discipline
carregador de lâmina arcano,arcane_blade_charger
melee guidance,melee_guidance
atlas prime: chassi (diagrama),atlas_prime_chassis_blueprint
dethcube prime: carapaça,dethcube_prime_carapace
dethcube prime: cérebro,dethcube_prime_cerebrum
tekko prime: manopla,tekko_prime_gauntlet
dethcube prime (diagrama),dethcube_prime_blueprint
dethcube prime: conjunto,dethcube_prime_set
glacial edge,glacial_edge
organ shatter,organ_shatter
limbo prime: sistemas (diagrama),limbo_prime_systems_blueprint
runtime,runtime
hit and run,hit_and_run
ivara prime: neurovisor (diagrama),ivara_prime_neuroptics_blueprint
ivara prime: chassi (diagrama),ivara_prime_chassis_blueprint
ivara prime: sistemas (diagrama),ivara_prime_systems_blueprint
baza prime (diagrama),baza_prime_blueprint
baza prime: conjunto,baza_prime_set
aksomati prime: conjunto,aksomati_prime_set
aksomati prime: conexão,aksomati_prime_link
baza prime: coronha,baza_prime_stock
aksomati prime: receptor,aksomati_prime_receiver
gram prime: cabo,gram_prime_handle
primed reach,primed_reach
turíbulo protetor,warding_thurible
helios prime (diagrama),helios_prime_blueprint
terminal velocity,terminal_velocity
ice storm,ice_storm
cyclone kraken,cyclone_kraken
karak quimérica: receptor,karak_wraith_receiver
orvius: disco,orvius_disc
lente vazarin (comum),vazarin_lens
sinking talon,sinking_talon
health conversion,health_conversion
reflex coil,reflex_coil
vasto prime: receptor,vasto_prime_receiver
searing leap,searing_leap
loot detector,loot_detector
bastilha duradoura,repelling_bastille
hollowed bullets,hollowed_bullets
scimitar: motores (diagrama),scimitar_engines_blueprint
investida blindada,ironclad_charge
cena: vínculo do véu,veils_binding_scene
condução do mago,magus_drive
quick reload,quick_reload
strain fever,strain_fever
archgun ace,archgun_ace
mad stack,mad_stack
virulência abundante,teeming_virulence
cena: fortuna,fortuna_scene
tipedo prime: ornamento,tipedo_prime_ornament
stradavar prime: receptor,stradavar_prime_receiver
snipetron vandalizada: cano,snipetron_vandal_barrel
ash: capacete scorpion (arcano),arcane_scorpion_helmet
wyrm prime: cérebro,wyrm_prime_cerebrum
spry sights,spry_sights
targeting receptor,targeting_receptor
escultura ayatan valana,ayatan_valana_sculpture
bane of infested,bane_of_infested
shocking touch,shocking_touch
cyngas: cano,cyngas_barrel
sprint boost,sprint_boost
cyngas: coronha,cyngas_stock
empalação furiosa,furious_javelin
lex prime (diagrama),lex_prime_blueprint
draining gloom,draining_gloom
cena: refinamento elemental da cidade de gás,gas_city_elemental_refinement_scene
hellfire,hellfire
precision munition,precision_munition
argon plating,argon_plating
corpus void key,corpus_void_key
hikou prime: conjunto,hikou_prime_set
seeker,seeker
molten impact,molten_impact
orthos prime: cabo,orthos_prime_handle
ceifadora prime: lâmina,reaper_prime_blade
rending strike,rending_strike
ammo stock,ammo_stock
self destruct,self_destruct
spring-loaded chamber,spring_loaded_chamber
accelerated blast,accelerated_blast
scindo prime (diagrama),scindo_prime_blueprint
tainted shell,tainted_shell
stinging truth,stinging_truth
repeater clip,repeater_clip
killing blow,killing_blow
embedded catalyzer,embedded_catalyzer
magma chamber,magma_chamber
rebound,rebound
abdução desenergizante,discharge_strike
volt: capacete storm (arcano),arcane_storm_helmet
reach,reach
anti-flak plating,anti_flak_plating
azurite gotejada,tear_azurite
mod riven: escopeta (oculto),shotgun_riven_mod_(veiled)
cadência do mago,magus_cadence
bravura de exódia,exodia_brave
caça de exódia,exodia_hunt
triunfo de exódia,exodia_triumph
abastecimento do mago,magus_nourish
sombra virtuosa,virtuos_shadow
ember prime: sistemas (diagrama),ember_prime_systems_blueprint
frost prime: chassi (diagrama),frost_prime_chassis_blueprint
rhino prime: sistemas (diagrama),rhino_prime_systems_blueprint
ember prime (diagrama),ember_prime_blueprint
eroding blight,eroding_blight
deadly sequence,deadly_sequence
fever strike,fever_strike
sawtooth clip,sawtooth_clip
loki: capacete essence (arcano),arcane_essence_helmet
ash: capacete locust (arcano),arcane_locust_helmet
tempo royale,tempo_royale
sentirum radiano,radian_sentirum
gorgon prisma,prisma_gorgon
brain storm,brain_storm
high noon,high_noon
scattered justice,scattered_justice
brutal tide,brutal_tide
nuvens funil,funnel_clouds
ash prime (diagrama),ash_prime_blueprint
decurion: receptor,decurion_receiver
toxic blight,toxic_blight
kavasa prime: coleira kubrow (diagrama),kavasa_prime_kubrow_collar_blueprint
estrela ayatan ciano,ayatan_cyan_star
fatal acceleration,fatal_acceleration
phaedra: cano,phaedra_barrel
thief's wit,thiefs_wit
furax quimérica: manopla (esquerda),furax_wraith_left_gauntlet
melee prowess,melee_prowess
estrela ayatan âmbar,ayatan_amber_star
paralisia prolongada,prolonged_paralysis
mod riven: rifle (oculto),rifle_riven_mod_(veiled)
flak shot,flak_shot
follow through,follow_through
quickdraw,quickdraw
guardian derision,guardian_derision
avalanche gélida,icy_avalanche
vay hek frequency triangulator,vay_hek_frequency_triangulator
whiplash mine,whiplash_mine
odomedic,odomedic
proton jet,proton_jet
security override,security_override
refúgio dimensional,rift_haven
facão quimérico,machete_wraith
salvaguarda,safeguard
prova vandalizada,prova_vandal
percurso petrificante,path_of_statues
nuvem contagiosa,contagion_cloud
ceifadora prime: conjunto,reaper_prime_set
imolação radiante,immolated_radiance
vauban prime (diagrama),vauban_prime_blueprint
carrier prime: carapaça,carrier_prime_carapace
full capacity,full_capacity
descarga magnetizada,magnetized_discharge
ankyros prime (diagrama),ankyros_prime_blueprint
cena: tumba do inaros,inaros_tomb_scene
boar prime: cano,boar_prime_barrel
oberon prime: chassi (diagrama),oberon_prime_chassis_blueprint
lock and load,lock_and_load
cena: arena do lunaro,lunaro_arena_scene
silva & aegis prime: lâmina,silva_and_aegis_prime_blade
guardião arcano,arcane_guardian
boltor prime (diagrama),boltor_prime_blueprint
fast deflection,fast_deflection
sybaris prime: conjunto,sybaris_prime_set
oberon prime: sistemas (diagrama),oberon_prime_systems_blueprint
baza prime: receptor,baza_prime_receiver
primed smite infested,primed_smite_infested
shedu: cano,shedu_barrel
shedu: receptor,shedu_receiver
primed smite corpus,primed_smite_corpus
cena: nascente sentient,sentient_fountain_scene
shedu: conjunto,shedu_set
shedu: chassi,shedu_chassis
camuflagem do void,void_cloak
renovação do esquadrão,squad_renew
densidade secional,section_density
fluxo incendiário,flow_burn
investida crescente,surging_dash
condutor,conductor
chicote cumulativo,accumulating_whipclaw
noctrul coração,heart_noctrul
repetidor de fótons,photon_repeater
redeemer prime: conjunto,redeemer_prime_set
hypothermic shell,hypothermic_shell
ogiva,warhead
estações de combate,battle_stations
contramedidas,countermeasures
forja sanguinária,blood_forge
surto incandescente,balefire_surge
cena: reservatório sentient,sentient_basin_scene
cena: alpendre sentient,sentient_balcony_scene
cantiga perpétua,endless_lullaby
acelerador do mago,magus_accelerant
galatine prime (diagrama),galatine_prime_blueprint
aerial ace,aerial_ace
energizing shot,energizing_shot
voo ancorado,anchored_glide
venomous clip,venomous_clip
dera vandalizada: cano,dera_vandal_barrel
counterweight,counterweight
anti-grav grenade,anti_grav_grenade
brief respite,brief_respite
orthos prime: conjunto,orthos_prime_set
assalto histérico,hysterical_assault
adept surge,adept_surge
gorgon frenzy,gorgon_frenzy
volt prime: conjunto,volt_prime_set
devar esher,esher_devar
banshee prime: neurovisor (diagrama),banshee_prime_neuroptics_blueprint
electro pulse,electro_pulse
neutralize,neutralize
retrieve,retrieve
imperator vandalizada: receptor,imperator_vandal_receiver
lecta secura,secura_lecta
amesha: sistemas,amesha_systems_blueprint
amesha: asas,amesha_wings_blueprint
amesha: arreios,amesha_harness_blueprint
amesha: conjunto,amesha_set
elytron: arreios,elytron_harness_blueprint
elytron: conjunto,elytron_set
itzal: sistemas (diagrama),itzal_systems_blueprint
itzal: asas (diagrama),itzal_wings_blueprint
itzal: arreios (diagrama),itzal_harness_blueprint
itzal: conjunto,itzal_set
escultura ayatan vaya,ayatan_vaya_sculpture
the perrin sequence augment mod,the_perrin_sequence_augment_mod
new loka augment mod,new_loka_augment_mod
arbiters of hexis augment mod,arbiters_of_hexis_augment_mod
charm,charm
cat's eye,cats_eye
medi-pet kit,medi_pet_kit
ceifadora prime: cabo,reaper_prime_handle
sicarus prime: cano,sicarus_prime_barrel
braton prime: cano,braton_prime_barrel
chama purificadora,purifying_flames
overcharged,overcharged
elytron: asas,elytron_wings_blueprint
mischief,mischief
tigris prime: conjunto,tigris_prime_set
shield charger,shield_charger
adaga soturna rakta,rakta_dark_dagger
static discharge,static_discharge
pain threshold,pain_threshold
paris prime: cordão,paris_prime_string
double-barrel drift,double_barrel_drift
gorgon quimérica (diagrama),gorgon_wraith_blueprint
argon scope,argon_scope
explosive demise,explosive_demise
sicarus prime: receptor,sicarus_prime_receiver
mantis: motores (diagrama),mantis_engines_blueprint
sure shot,sure_shot
glaive prime: lâmina,glaive_prime_blade
atração energizante,sapping_reach
karak quimérica: conjunto,karak_wraith_set
fragor prime: conjunto,fragor_prime_set
crimson dervish,crimson_dervish
akstiletto prime (diagrama),akstiletto_prime_blueprint
akstiletto prime: cano,akstiletto_prime_barrel
deep freeze,deep_freeze
akstiletto prime: receptor,akstiletto_prime_receiver
physique,physique
akbolto prime: receptor,akbolto_prime_receiver
paris prime: membro superior,paris_prime_upper_limb
akbolto prime (diagrama),akbolto_prime_blueprint
silva & aegis prime (diagrama),silva_and_aegis_prime_blueprint
scindo prime: lâmina,scindo_prime_blade
euphona prime: cano,euphona_prime_barrel
mag prime (diagrama),mag_prime_blueprint
furax quimérica (diagrama),furax_wraith_blueprint
frost prime: sistemas (diagrama),frost_prime_systems_blueprint
ice spring,ice_spring
shattering impact,shattering_impact
morphic transformer,morphic_transformer
helios prime: cérebro,helios_prime_cerebrum
paris prime: membro inferior,paris_prime_lower_limb
triple tap,triple_tap
malicious raptor,malicious_raptor
escudo das sombras,shield_of_shadows
hollow point,hollow_point
enduring strike,enduring_strike
sequence burn,sequence_burn
xiphos: fuselagem (diagrama),xiphos_fuselage_blueprint
mantis: fuselagem (diagrama),mantis_fuselage_blueprint
bladed rounds,bladed_rounds
shred,shred
mantis: aviônicos (diagrama),mantis_avionics_blueprint
serration,serration
cura arcana,arcane_healing
scimitar: fuselagem (diagrama),scimitar_fuselage_blueprint
quick return,quick_return
lightning rod,lightning_rod
aquecimento arcano,arcane_warmth
steel charge,steel_charge
rage,rage
lasting sting,lasting_sting
magistar sancti,sancti_magistar
emp aura,emp_aura
dardos pacificadores,pacifying_bolts
metal fiber,metal_fiber
energy amplifier,energy_amplifier
venari protetora,venari_bodyguard
troiano virtuoso,virtuos_trojan
assolação ofuscante,blinding_reave
blindagem instintiva,dread_ward
grinlok prisma,prisma_grinlok
equinox prime: chassi (diagrama),equinox_prime_chassis_blueprint
stradavar prime (diagrama),stradavar_prime_blueprint
marelok vaykor,vaykor_marelok
serrated rounds,serrated_rounds
xiphos: motores (diagrama),xiphos_engines_blueprint
titania prime: neurovisor (diagrama),titania_prime_neuroptics_blueprint
pangolin prime: lâmina,pangolin_prime_blade
pangolin prime: conjunto,pangolin_prime_set
titania prime (diagrama),titania_prime_blueprint
redutor revo,revo_reducer
escalpelo sentient,sentient_scalpel
titania prime: conjunto,titania_prime_set
tribunal,tribunal
catapulta,catapult
pilhagem flamejante,blazing_pillage
colheita encantada,spellbound_harvest
velocidade de cruzeiro,cruising_speed
tiro reserva de artilharia,artillery_cheap_shot
torre veloz,turret_velocity
tiro reserva de armaria,ordnance_cheap_shot
ballista measure,ballista_measure
bloqueio rápido,quicklock
armaria veloz,ordnance_velocity
primed cleanse grineer,primed_cleanse_grineer
primed cleanse infested,primed_cleanse_infested
primed cleanse corpus,primed_cleanse_corpus
primed cleanse orokin,primed_cleanse_corrupted
mutação abundante,abundant_mutation
dizzying rounds,dizzying_rounds
esporos rastreadores,revealing_spores
histeria furiosa,enraged
pilha de entulho,rubble_heap
precision strike,precision_strike
deadly maneuvers,deadly_maneuvers
banshee prime (diagrama),banshee_prime_blueprint
chilling reload,chilling_reload
streamlined form,streamlined_form
drifting contact,drifting_contact
valkyr prime: chassi (diagrama),valkyr_prime_chassis_blueprint
primed cryo rounds,primed_cryo_rounds
centaur: conjunto,centaur_set
onorix: conjunto,onorix_set
agkuza: conjunto,agkuza_set
healing return,healing_return
corvas: conjunto,corvas_set
pisão vigoroso,reinforcing_stomp
rathbone: conjunto,rathbone_set
relentless combination,relentless_combination
cernos prime (diagrama),cernos_prime_blueprint
cernos prime: membro inferior,cernos_prime_lower_limb
cernos prime: membro superior,cernos_prime_upper_limb
cernos prime: empunhadura,cernos_prime_grip
condition overload,condition_overload
bombardeio viral,viral_tempest
dispatch overdrive,dispatch_overdrive
enduring affliction,enduring_affliction
pistol scavenger,pistol_scavenger
wyrm prime: conjunto,wyrm_prime_set
núcleo de transmutação naramon,naramon_transmute_core
núcleo de transmutação vazarin,vazarin_transmute_core
vengeful revenant,vengeful_revenant
astral autopsy,astral_autopsy
cena: sala de reunião do ergo,ergos_boardroom_scene
agile aim,agile_aim
anticipation,anticipation
cena: planícies de eidolon,plains_of_eidolon_scene
shred shot,shred_shot
burston prime: cano,burston_prime_barrel
impedância glacial,ice_wave_impedance
volt prime: sistemas (diagrama),volt_prime_systems_blueprint
dakra prime: lâmina,dakra_prime_blade
glaive prime: disco,glaive_prime_disc
escultura ayatan ayr,ayatan_ayr_sculpture
stretch,stretch
agkuza: proteção,agkuza_guard
intensify,intensify
heavy warhead,heavy_warhead
karak quimérica: coronha,karak_wraith_stock
núcleo de transmutação madurai,madurai_transmute_core
toxic barrage,toxic_barrage
apex predator,apex_predator
shotgun ammo mutation,shotgun_ammo_mutation
calculated victory,calculated_victory
hyperion thrusters,hyperion_thrusters
infested impedance,infested_impedance
hydroid prime: sistemas (diagrama),hydroid_prime_systems_blueprint
primed animal instinct,primed_animal_instinct
domo saqueador,pilfering_strangledome
proton pulse,proton_pulse
cena: elevadores da cidade de gás,gas_city_lifts_scene
cena: dias de cão,dog_days_scene
shockwave actuators,shockwave_actuators
assimilação,assimilate
glaive prime: conjunto,glaive_prime_set
scindo prime: conjunto,scindo_prime_set
boltace telos,telos_boltace
latron prime: receptor,latron_prime_receiver
latron prime: coronha,latron_prime_stock
lex prime: cano,lex_prime_barrel
cena: fábrica grineer florestal,grineer_forest_factory_scene
nyth coração,heart_nyth
impenetrable offense,impenetrable_offense
cena: mundo de dados da suda,sudas_datascape_scene
sybaris prime: receptor,sybaris_prime_receiver
escudo atordoante,staggering_shield
akstiletto prime: conjunto,akstiletto_prime_set
stropha: conjunto,stropha_set
velox: conjunto,velox_set
stahlta: cano,stahlta_barrel
stahlta: conjunto,stahlta_set
velox: receptor,velox_receiver
stropha: lâmina,stropha_blade
stahlta: receptor,stahlta_receiver
stropha: receptor,stropha_receiver
stropha: coronha,stropha_stock
stropha: cano,stropha_barrel
stahlta: coronha,stahlta_stock
velox: cano,velox_barrel
cena: hangar de naves corpus,corpus_ship_hangar_scene
cena: ponte de comando de naves corpus,corpus_ship_bridge_scene
cena: canhão orbital de naves corpus,corpus_ship_orbital_cannon_scene
glaxion vandalizada,glaxion_vandal
primed rubedo-lined barrel,primed_rubedo_lined_barrel
inaros prime: conjunto,inaros_prime_set
inaros prime: chassi (diagrama),inaros_prime_chassis_blueprint
inaros prime: neurovisor (diagrama),inaros_prime_neuroptics_blueprint
inaros prime (diagrama),inaros_prime_blueprint
inaros prime: sistemas (diagrama),inaros_prime_systems_blueprint
panthera prime: coronha,panthera_prime_stock
karyst prime: cabo,karyst_prime_handle
karyst prime: conjunto,karyst_prime_set
panthera prime: conjunto,panthera_prime_set
panthera prime: cano,panthera_prime_barrel
panthera prime: receptor,panthera_prime_receiver
panthera prime (diagrama),panthera_prime_blueprint
karyst prime (diagrama),karyst_prime_blueprint
karyst prime: lâmina,karyst_prime_blade
vigilante supplies,vigilante_supplies
crushing ruin,crushing_ruin
braton prime: coronha,braton_prime_stock
dakra prime (diagrama),dakra_prime_blueprint
narrow minded,narrow_minded
xiphos: aviônicos (diagrama),xiphos_avionics_blueprint
stand ground,stand_ground
glaive prime (diagrama),glaive_prime_blueprint
primed target cracker,primed_target_cracker
reflex draw,reflex_draw
akstiletto prime: conexão,akstiletto_prime_link
bane of orokin,bane_of_corrupted
cena: mundo de dados do hunhow,hunhows_datascape_scene
maim,maim
oberon prime (diagrama),oberon_prime_blueprint
looter,looter
pistol ammo mutation,pistol_ammo_mutation
poisonous sting,poisonous_sting
cena: templo do harrow,harrows_temple_scene
cena: refúgio de amaryn,amaryns_retreat_scene
cena: chroma key (fundo verde),color_key_scene
phaedra: conjunto,phaedra_set
cernos prime: cordão,cernos_prime_string
cernos prime: conjunto,cernos_prime_set
valkyr prime (diagrama),valkyr_prime_blueprint
valkyr prime: conjunto,valkyr_prime_set
venka prime: lâminas,venka_prime_blades
bounty hunter,bounty_hunter
target acquired,target_acquired
heartseeker,heartseeker
loyal companion,loyal_companion
martial fury,martial_fury
decisive judgement,decisive_judgement
twirling spire,twirling_spire
auxiliary power,auxiliary_power
lente eidolon (diagrama),eidolon_lens_blueprint
gleaming talon,gleaming_talon
scavenge,scavenge
gunslinger,gunslinger
sundering weave,sundering_weave
impaler munitions,impaler_munitions
renovação da fênix,phoenix_renewal
shell shock,shell_shock
larva explosiva,larva_burst
cleaving whirlwind,cleaving_whirlwind
crowd dispersion,crowd_dispersion
cyngas: receptor,cyngas_receiver
odonata prime (diagrama),odonata_prime_blueprint
blind justice,blind_justice
full contact,full_contact
medi-ray,medi_ray
electromagnetic shielding,electromagnetic_shielding
imperator vandalizada: conjunto,imperator_vandal_set
pós-combustão,afterburner
primed pistol gambit,primed_pistol_gambit
hek vaykor,vaykor_hek
hydraulic barrel,hydraulic_barrel
saryn prime: neurovisor (diagrama),saryn_prime_neuroptics_blueprint
nami skyla prime: lâmina,nami_skyla_prime_blade
kronen prime: cabo,kronen_prime_handle
gladiator finesse,gladiator_finesse
augur reach,augur_reach
sacrifice,sacrifice
hunter track,hunter_track
hunter command,hunter_command
boar prime: receptor,boar_prime_receiver
transmissor omega,omega_beacon
exúvia regenerativa,regenerative_molt
boar prime: coronha,boar_prime_stock
gorgon quimérica: cano,gorgon_wraith_barrel
kogake prime: chuteira,kogake_prime_boot
akbolto prime: conjunto,akbolto_prime_set
akbolto prime: conexão,akbolto_prime_link
akbolto prime: cano,akbolto_prime_barrel
braton vandalizada (diagrama),braton_vandal_blueprint
limbo prime: conjunto,limbo_prime_set
baqueta particionada,partitioned_mallet
xenorrasta trapezial,trapezium_xenorhast
juice,juice
saxum thorax,saxum_thorax
necramech pressure point,necramech_pressure_point
necramech vitality,necramech_vitality
draining bite,draining_bite
necramech slipstream,necramech_slipstream
acidic spittle,acidic_spittle
endoparasitic vector,endoparasitic_vector
necramech thrusters,necramech_thrusters
necramech: câmara de arma danificada,damaged_necramech_weapon_pod
tiametrita multifacetada,faceted_tiametrite
necramech: motor danificado,damaged_necramech_engine
bomb the landin',bomb_the_landin
escultura ayatan sah,ayatan_sah_sculpture
red veil augment mod,red_veil_augment_mod
cunning aspect,cunning_aspect
reflect,reflect
rending wind,rending_wind
corvas: receptor,corvas_receiver
noble cadence,noble_cadence
thermagnetic shells,thermagnetic_shells
corvas: coronha,corvas_stock
kinetic ricochet,kinetic_ricochet
mortal conduct,mortal_conduct
parry,parry
sicarus prime (diagrama),sicarus_prime_blueprint
gorgon quimérica: conjunto,gorgon_wraith_set
rising skill,rising_skill
compressão fragmentadora,fracturing_crush
fang prime (diagrama),fang_prime_blueprint
finalização radiante,radiant_finish
ferocity,ferocity
xiphos: conjunto,xiphos_set
high voltage,high_voltage
vauban prime: chassi (diagrama),vauban_prime_chassis_blueprint
barreira de recarga,recharge_barrier
tempered bound,tempered_bound
focused acceleration,focused_acceleration
collision force,collision_force
latron prime (diagrama),latron_prime_blueprint
braton prime (diagrama),braton_prime_blueprint
defiled snapdragon,defiled_snapdragon
nikana prime: punho,nikana_prime_hilt
recuperate,recuperate
nikana prime: conjunto,nikana_prime_set
vital sense,vital_sense
valkyr prime: sistemas (diagrama),valkyr_prime_systems_blueprint
cyngas: conjunto,cyngas_set
war fragmentada: conjunto,broken_war_set
venka prime: manopla,venka_prime_gauntlet
kaszas: conjunto,kaszas_set
velocitus: conjunto,velocitus_set
fluctus: conjunto,fluctus_set
decurions duplas: conjunto,dual_decurion_set
broad eye,broad_eye
voltage sequence,voltage_sequence
akbronco prime (diagrama),akbronco_prime_blueprint
cryo rounds,cryo_rounds
silent battery,silent_battery
phaedra: receptor,phaedra_receiver
euphona prime: receptor,euphona_prime_receiver
transient fortitude,transient_fortitude
concussion rounds,concussion_rounds
howl,howl
agkuza: cabo,agkuza_handle
carrier prime: sistemas,carrier_prime_systems
covert lethality,covert_lethality
feathered arrows,feathered_arrows
loaded capacity,loaded_capacity
loose chamber,loose_chamber
armored evade,armored_evade
nano-applicator,nano_applicator
focused defense,focused_defense
guided ordnance,guided_ordnance
strun quimérica (diagrama),strun_wraith_blueprint
golem titânico,titanic_rumbler
spira prime (diagrama),spira_prime_blueprint
spira prime: conjunto,spira_prime_set
sheev: lâmina,sheev_blade
sheev: dissipador,sheev_heatsink
sheev: conjunto,sheev_set
golemificação,rumbled
snipetron vandalizada (diagrama),snipetron_vandal_blueprint
hunter's bonesaw,hunters_bonesaw
velocitus: cano,velocitus_barrel
toxin resistance,toxin_resistance
nami skyla prime: conjunto,nami_skyla_prime_set
kronen prime: conjunto,kronen_prime_set
helios prime: sistemas,helios_prime_systems
extend,extend
primed fever strike,primed_fever_strike
contágio de exódia,exodia_contagion
tiberon prime: conjunto,tiberon_prime_set
epidemia de exódia,exodia_epidemic
mirage prime: sistemas (diagrama),mirage_prime_systems_blueprint
mirage prime (diagrama),mirage_prime_blueprint
primed quickdraw,primed_quickdraw
mecha recharge,mecha_recharge
synth fiber,synth_fiber
hush,hush
fragor prime: extremidade,fragor_prime_head
trample,trample
metal auger,metal_auger
master thief,master_thief
cryo coating,cryo_coating
bursting mass,bursting_mass
tipedo prime: conjunto,tipedo_prime_set
true steel,true_steel
four riders,four_riders
vectis prime (diagrama),vectis_prime_blueprint
animal instinct,animal_instinct
combustion beam,combustion_beam
harkonar scope,harkonar_scope
cena: passarela da cidade de gás,gas_city_walkway_scene
cena: beco-sem-saída da cidade de gás,gas_city_dead_exit_scene
aerodynamic,aerodynamic
atlas prime: conjunto,atlas_prime_set
tekko prime: lâminas,tekko_prime_blade
tekko prime: conjunto,tekko_prime_set
tekko prime (diagrama),tekko_prime_blueprint
necramech redirection,necramech_redirection
necramech: cano de arma danificado,damaged_necramech_weapon_barrel
damaged necramech weapon set,damaged_necramech_weapon_set
necramech: receptor de arma danificado,damaged_necramech_weapon_receiver
infectious bite,infectious_bite
paralytic spores,paralytic_spores
crescent devolution,crescent_devolution
panzer devolution,panzer_devolution
anabolic pollination,anabolic_pollination
primo flair,primo_flair
jugulus barbs,jugulus_barbs
saxum carapace,saxum_carapace
hard engage,hard_engage
vapor trail,vapor_trail
saxum spittle,saxum_spittle
necramech: coronha de arma danificada,damaged_necramech_weapon_stock
necramech reach,necramech_reach
necramech continuity,necramech_continuity
embolos cabuchão,cabochon_embolos
necramech steel fiber,necramech_steel_fiber
jugulus spines,jugulus_spines
damaged necramech set,damaged_necramech_set
hecifrona purificada,purified_heciphron
viral quills,viral_quills
carnis mandible,carnis_mandible
necramech: cápsula danificada,damaged_necramech_pod
necramech refuel,necramech_refuel
carnis stinger,carnis_stinger
crescent charge,crescent_charge
survival instinct,survival_instinct
cena: subsolo de deimos,deimos_underground_scene
cena: deriva de cambion de deimos,deimos_cambion_drift_scene
nezha prime (diagrama),nezha_prime_blueprint
guan dao prime (diagrama),guandao_prime_blueprint
combo killer,combo_killer
pacto enfeitiçado,thrall_pact
surto crítico,critical_surge
demulcente do teorema,theorem_demulcent
sporothrix (diagrama),sporothrix_blueprint
necramech efficiency,necramech_efficiency
infecção do teorema,theorem_infection
arum spinosa (diagrama),arum_spinosa_blueprint
volatile quick return,volatile_quick_return
garras versáteis,blending_talons
arum spinosa: guarda,arum_spinosa_guard
arum spinosa: conjunto,arum_spinosa_set
sporothrix: conjunto,sporothrix_set
choque residual,residual_shock
primed firestorm,primed_firestorm
primed fulmination,primed_fulmination
bonewidow: conjunto,bonewidow_set
bonewidow: câmara de arma,bonewidow_weapon_pod
bonewidow: revestimento,bonewidow_casing
morgha: coronha,morgha_stock
cortege: cano,cortege_barrel
necramech enemy sense,necramech_enemy_sense
cortege: coronha,cortege_stock
necramech rebuke,necramech_rebuke
cortege: conjunto,cortege_set
bonewidow: cápsula,bonewidow_capsule
voidrig: conjunto,voidrig_set
necramech aviator,necramech_aviator
escultura ayatan hemakara,ayatan_hemakara_sculpture
decurions duplas prisma,prisma_dual_decurions
cedo: cano,cedo_barrel
cedo: receptor,cedo_receiver
cedo: conjunto,cedo_set
mirage prime: chassi (diagrama),mirage_prime_chassis_blueprint
kogake prime (diagrama),kogake_prime_blueprint
hornet strike,hornet_strike
sybaris prime: coronha,sybaris_prime_stock
olhar da riqueza,ore_gaze
vigilante offense,vigilante_offense
restituição do mago,magus_replenish
