fr,slug
munitions à éclats,shrapnel_rounds
rebord saignant,bleeding_edge
pax chercheur,pax_seeker
mesa prime (schéma),mesa_prime_blueprint
equinox prime - neuroptiques (schéma),equinox_prime_neuroptics_blueprint
redeemer prime (schéma),redeemer_prime_blueprint
virtuos épines,virtuos_spike
tipedo prime (schéma),tipedo_prime_blueprint
bordures dentelées,serrated_edges
ignifugé,flame_repellent
quanta vandal,quanta_vandal
detron mara,mara_detron
fibre antichoc,shock_absorbers
bronco prime - culasse,bronco_prime_receiver
coordonnées nav alad v mutaliste,mutalist_nav_coordinates
burston prime (schéma),burston_prime_blueprint
mains légères,soft_hands
pointe de flèche à ressort,spring_loaded_broadhead
torrent dimensionnel,rift_torrent
burston prime - crosse,burston_prime_stock
la voie du sabre,sword_alone
recharge tactique,tactical_reload
hikou prime (schéma),hikou_prime_blueprint
gaz lacrymogène,tear_gas
chargeur glissant accru,primed_slip_magazine
abri,shelter
croisement des gémeaux,gemini_cross
rupture,rupture
casque vanguard arcane,arcane_vanguard_helmet
poudre fomorienne,fomorian_accelerant
flux accru,primed_flow
imperator vandal (schéma),imperator_vandal_blueprint
mutation de pistolet accrue,primed_pistol_ammo_mutation
casque pendragon arcane,arcane_pendragon_helmet
veritux prisma,prisma_veritux
résonance,resonance
cible balistique,ballistic_bullseye
volt prime (schéma),volt_prime_blueprint
navigatrice perçante,piercing_navigator
scène du laboratoire d'alad v dans la cité gazière,gas_city_alads_laboratory_scene
force magnum,magnum_force
expulse-corpus,expel_corpus
ember prime - châssis (schéma),ember_prime_chassis_blueprint
arcane tempo,arcane_tempo
lentille madurai,madurai_lens
lentille unairu,unairu_lens
art de la ruse,cunning_drift
art de l'endurance,endurance_drift
lien dégradant,abating_link
art de la puissance,power_drift
art de la vitesse,speed_drift
éruption terrestre,hallowed_eruption
art de la furtivité,stealth_drift
rhino prime - châssis (schéma),rhino_prime_chassis_blueprint
rebord tranchant,cutting_edge
shrapnel de fer,iron_shrapnel
akbronco prime - set,akbronco_prime_set
propagation contagieuse,contagious_spread
arcane agilité,arcane_agility
rugissement perçant,piercing_roar
carrier prime - set,carrier_prime_set
invisibilité feutrée,hushed_invisibility
dakra prime - set,dakra_prime_set
déluge chapardeur,pilfering_swarm
peau de diamant,diamond_skin
dera vandal - set,dera_vandal_set
séquence toxique,toxic_sequence
latron wraith (schéma),latron_wraith_blueprint
latron wraith - culasse,latron_wraith_receiver
latron wraith - crosse,latron_wraith_stock
latron wraith - set,latron_wraith_set
agression territoriale,territorial_aggression
balayage,swipe
bond,pounce
griffes aiguisées,sharpened_claws
vipers jumeaux wraith - lien,twin_vipers_wraith_link
vipers jumeaux wraith - culasses,twin_vipers_wraith_receivers
vipers jumeaux wraith - set,twin_vipers_wraith_set
radar ennemi,enemy_radar
nekros prime - châssis (schéma),nekros_prime_chassis_blueprint
arcane garde du corps,arcane_bodyguard
arcane chargeur principal,arcane_primary_charger
élan rapide,swift_momentum
discipline de combat,combat_discipline
arcane chargeur de lame,arcane_blade_charger
assistance en mêlée,melee_guidance
atlas prime - châssis (schéma),atlas_prime_chassis_blueprint
dethcube prime - carapace,dethcube_prime_carapace
dethcube prime - cerveau,dethcube_prime_cerebrum
tekko prime - gantelet,tekko_prime_gauntlet
dethcube prime (schéma),dethcube_prime_blueprint
dethcube prime - set,dethcube_prime_set
rebord glacial,glacial_edge
fracas d'organes,organ_shatter
limbo prime - systèmes (schéma),limbo_prime_systems_blueprint
exécution rapide,runtime
délit de fuite,hit_and_run
ivara prime - neuroptiques (schéma),ivara_prime_neuroptics_blueprint
ivara prime - châssis (schéma),ivara_prime_chassis_blueprint
ivara prime - systèmes (schéma),ivara_prime_systems_blueprint
baza prime (schéma),baza_prime_blueprint
baza prime - set,baza_prime_set
aksomati prime - set,aksomati_prime_set
aksomati prime - lien,aksomati_prime_link
baza prime - crosse,baza_prime_stock
aksomati prime - culasse,aksomati_prime_receiver
gram prime - garde,gram_prime_handle
atteinte accrue,primed_reach
encensoir protecteur,warding_thurible
helios prime (schéma),helios_prime_blueprint
vitesse terminale,terminal_velocity
tempête de glace,ice_storm
kraken cyclonique,cyclone_kraken
karak wraith - culasse,karak_wraith_receiver
orvius - disque,orvius_disc
lentille vazarin,vazarin_lens
serres acérées,sinking_talon
conversion de santé,health_conversion
bobine réflexe,reflex_coil
vasto prime - culasse,vasto_prime_receiver
saut brûlant,searing_leap
détecteur de butin,loot_detector
bastille endurante,repelling_bastille
balles creuses,hollowed_bullets
scimitar - moteurs (schéma),scimitar_engines_blueprint
charge cuirassée,ironclad_charge
scène du lien du voile,veils_binding_scene
magus pilote,magus_drive
rechargement rapide,quick_reload
fièvre de souche,strain_fever
virtuose de l'arch-fusil,archgun_ace
stack de malade,mad_stack
virulence grouillante,teeming_virulence
scène de fortuna,fortuna_scene
tipedo prime - ornement,tipedo_prime_ornament
stradavar prime - culasse,stradavar_prime_receiver
snipetron vandal - canon,snipetron_vandal_barrel
casque scorpion arcane,arcane_scorpion_helmet
wyrm prime - cerveau,wyrm_prime_cerebrum
regard vif,spry_sights
récepteur de ciblage,targeting_receptor
sculpture ayatan valana,ayatan_valana_sculpture
fléau des infestés,bane_of_infested
toucher choquant,shocking_touch
cyngas - canon,cyngas_barrel
accélération rapide,sprint_boost
cyngas - crosse,cyngas_stock
javelot furieux,furious_javelin
lex prime (schéma),lex_prime_blueprint
morosité épuisante,draining_gloom
scène de raffinement d'éléments de la cité gazière,gas_city_elemental_refinement_scene
feu des enfers,hellfire
munitions de précision,precision_munition
placage d'argon,argon_plating
clé du néant corpus,corpus_void_key
hikou prime - set,hikou_prime_set
chercheur,seeker
impact brûlant,molten_impact
orthos prime - manche,orthos_prime_handle
reaper prime - lame,reaper_prime_blade
frappe déchirante,rending_strike
stock de balles,ammo_stock
autodestruction,self_destruct
chambre sur ressorts,spring_loaded_chamber
souffle accéléré,accelerated_blast
scindo prime (schéma),scindo_prime_blueprint
obus corrompu,tainted_shell
vérité piquante,stinging_truth
chargeur à répétition,repeater_clip
coup mortel,killing_blow
catalyseur incorporé,embedded_catalyzer
chambre magmatique,magma_chamber
rebond,rebound
frappe spoliante,discharge_strike
casque storm arcane,arcane_storm_helmet
atteinte,reach
blindage anti-aérien,anti_flak_plating
larme d'azurite,tear_azurite
mod riven de fusil à pompe (veiled),shotgun_riven_mod_(veiled)
magus cadence,magus_cadence
exodia brave,exodia_brave
exodia chasse,exodia_hunt
exodia triomphe,exodia_triumph
magus sustentation,magus_nourish
virtuos ombre,virtuos_shadow
ember prime - systèmes (schéma),ember_prime_systems_blueprint
frost prime - châssis (schéma),frost_prime_chassis_blueprint
rhino prime - systèmes (schéma),rhino_prime_systems_blueprint
ember prime (schéma),ember_prime_blueprint
fléau érodant,eroding_blight
séquence meurtrière,deadly_sequence
frappe de fièvre,fever_strike
chargeur en dents de scie,sawtooth_clip
casque essence arcane,arcane_essence_helmet
casque locust arcane,arcane_locust_helmet
tempo royal,tempo_royale
sentirum radian,radian_sentirum
gorgon prisma,prisma_gorgon
tempête cérébrale,brain_storm
moment de vérité,high_noon
justice dispersée,scattered_justice
marée brutale,brutal_tide
tourbillons,funnel_clouds
ash prime (schéma),ash_prime_blueprint
decurion - culasse,decurion_receiver
fléau toxique,toxic_blight
collier kubrow kavasa prime (schéma),kavasa_prime_kubrow_collar_blueprint
étoile ayatan cyan,ayatan_cyan_star
accélération fatale,fatal_acceleration
phaedra - canon,phaedra_barrel
astuce du voleur,thiefs_wit
furax wraith - gantelet gauche,furax_wraith_left_gauntlet
prouesse de mêlée,melee_prowess
étoile ayatan ambre,ayatan_amber_star
paralysie prolongée,prolonged_paralysis
mod riven de fusil (veiled),rifle_riven_mod_(veiled)
tir antiaérien,flak_shot
poursuivant,follow_through
dégaine,quickdraw
dérision du gardien,guardian_derision
avalanche gelée,icy_avalanche
triangulateur de fréquence de vay hek,vay_hek_frequency_triangulator
mine choc,whiplash_mine
odomédic,odomedic
jet proton,proton_jet
désactivation de sécurité,security_override
havre de faille,rift_haven
machette wraith,machete_wraith
sauvegarde,safeguard
prova vandal,prova_vandal
allée de statues,path_of_statues
brume de contagion,contagion_cloud
reaper prime - set,reaper_prime_set
radiance immolante,immolated_radiance
vauban prime (schéma),vauban_prime_blueprint
carrier prime - carapace,carrier_prime_carapace
pleine capacité,full_capacity
décharge magnétisée,magnetized_discharge
ankyros prime (schéma),ankyros_prime_blueprint
scène du tombeau d'inaros,inaros_tomb_scene
boar prime - canon,boar_prime_barrel
oberon prime - châssis (schéma),oberon_prime_chassis_blueprint
cran de sûreté,lock_and_load
scène de l'arène lunaro,lunaro_arena_scene
silva & aegis prime - lame,silva_and_aegis_prime_blade
arcane gardien,arcane_guardian
boltor prime (schéma),boltor_prime_blueprint
déviation rapide,fast_deflection
sybaris prime - set,sybaris_prime_set
oberon prime - systèmes (schéma),oberon_prime_systems_blueprint
baza prime - culasse,baza_prime_receiver
châtie-infestés accru,primed_smite_infested
shedu - canon,shedu_barrel
shedu - culasse,shedu_receiver
châtie-corpus accru,primed_smite_corpus
scène de la fontaine sentient,sentient_fountain_scene
shedu - set,shedu_set
shedu - châssis,shedu_chassis
voile du néant,void_cloak
renouvellement d'escouade,squad_renew
densité de section,section_density
flux brûlant,flow_burn
élan déferlant,surging_dash
chef d'orchestre,conductor
fouet acéré accumulé,accumulating_whipclaw
cœur de noctrul,heart_noctrul
répétition photonique,photon_repeater
redeemer prime - set,redeemer_prime_set
cartouche hypothermique,hypothermic_shell
ogive,warhead
stations de combat,battle_stations
contre-mesures,countermeasures
forge ensanglantée,blood_forge
surcharge incandescente,balefire_surge
scène du bassin sentient,sentient_basin_scene
scène du balcon sentient,sentient_balcony_scene
accalmie infinie,endless_lullaby
magus accélérant,magus_accelerant
galatine prime (schéma),galatine_prime_blueprint
acrobate aérien,aerial_ace
tir énergisant,energizing_shot
planeur ancré,anchored_glide
chargeur venimeux,venomous_clip
dera vandal - canon,dera_vandal_barrel
percussion,counterweight
grenade anti-grav,anti_grav_grenade
court répit,brief_respite
orthos prime - set,orthos_prime_set
assaut hystérique,hysterical_assault
montée d'adepte,adept_surge
frénésie de gorgone,gorgon_frenzy
volt prime - set,volt_prime_set
devar esher,esher_devar
banshee prime - neuroptiques (schéma),banshee_prime_neuroptics_blueprint
impulsion électrique,electro_pulse
neutralisation,neutralize
flair,retrieve
imperator vandal - culasse,imperator_vandal_receiver
lecta secura,secura_lecta
amesha - systèmes,amesha_systems_blueprint
amesha - ailes,amesha_wings_blueprint
amesha - harnais,amesha_harness_blueprint
amesha - set,amesha_set
elytron - harnais,elytron_harness_blueprint
elytron - set,elytron_set
itzal - systèmes (schéma),itzal_systems_blueprint
itzal - ailes (schéma),itzal_wings_blueprint
itzal - harnais (schéma),itzal_harness_blueprint
itzal - set,itzal_set
sculpture ayatan vaya,ayatan_vaya_sculpture
la séquence perrin mod d'augmentation,the_perrin_sequence_augment_mod
nouveau loka mod d'augmentation,new_loka_augment_mod
les arbitres de hexis mod d'augmentation,arbiters_of_hexis_augment_mod
charme,charm
œil de chat,cats_eye
kit médi-animal,medi_pet_kit
reaper prime - manche,reaper_prime_handle
sicarus prime - canon,sicarus_prime_barrel
braton prime - canon,braton_prime_barrel
flammes purifiantes,purifying_flames
surchargé,overcharged
elytron - ailes,elytron_wings_blueprint
malice,mischief
tigris prime - set,tigris_prime_set
chargeur de bouclier,shield_charger
dague sombre rakta,rakta_dark_dagger
décharge statique,static_discharge
seuil de douleur,pain_threshold
paris prime - corde,paris_prime_string
canon double amorti,double_barrel_drift
gorgon wraith (schéma),gorgon_wraith_blueprint
viseur à argon,argon_scope
fin explosive,explosive_demise
sicarus prime - culasse,sicarus_prime_receiver
mantis - moteurs (schéma),mantis_engines_blueprint
tir assuré,sure_shot
glaive prime - lame,glaive_prime_blade
atteinte épuisante,sapping_reach
karak wraith - set,karak_wraith_set
fragor prime - set,fragor_prime_set
derviche cramoisi,crimson_dervish
akstiletto prime (schéma),akstiletto_prime_blueprint
akstiletto prime - canon,akstiletto_prime_barrel
froid pénétrant,deep_freeze
akstiletto prime - culasse,akstiletto_prime_receiver
physique,physique
akbolto prime - culasse,akbolto_prime_receiver
paris prime - partie supérieure,paris_prime_upper_limb
akbolto prime (schéma),akbolto_prime_blueprint
silva & aegis prime (schéma),silva_and_aegis_prime_blueprint
scindo prime - lame,scindo_prime_blade
euphona prime - canon,euphona_prime_barrel
mag prime (schéma),mag_prime_blueprint
furax wraith (schéma),furax_wraith_blueprint
frost prime - systèmes (schéma),frost_prime_systems_blueprint
ressort gelé,ice_spring
impact accablant,shattering_impact
transformateur de morphic,morphic_transformer
helios prime - cerveau,helios_prime_cerebrum
paris prime - partie inférieure,paris_prime_lower_limb
triple coup,triple_tap
rapace malicieux,malicious_raptor
rempart d'ombres,shield_of_shadows
pointe creuse,hollow_point
frappe durable,enduring_strike
séquence brûlante,sequence_burn
xiphos - fuselage (schéma),xiphos_fuselage_blueprint
mantis - fuselage (schéma),mantis_fuselage_blueprint
salves de lames,bladed_rounds
charpie,shred
mantis - avioniques (schéma),mantis_avionics_blueprint
dentelure,serration
arcane guérison,arcane_healing
scimitar - fuselage (schéma),scimitar_fuselage_blueprint
retour rapide,quick_return
paratonnerre,lightning_rod
arcane chaleur,arcane_warmth
charge d'acier,steel_charge
rage,rage
piqûre persistante,lasting_sting
magistar sancti,sancti_magistar
aura iem,emp_aura
carreaux pacificateurs,pacifying_bolts
fibre métallique,metal_fiber
amplificateur d'énergie,energy_amplifier
garde du corps venari,venari_bodyguard
virtuos virus,virtuos_trojan
pillage aveuglant,blinding_reave
protection de l'angoisse,dread_ward
grinlok prisma,prisma_grinlok
equinox prime - châssis (schéma),equinox_prime_chassis_blueprint
stradavar prime (schéma),stradavar_prime_blueprint
marelok vaykor,vaykor_marelok
cartouches dentelées,serrated_rounds
xiphos - moteurs (schéma),xiphos_engines_blueprint
titania prime - neuroptiques (schéma),titania_prime_neuroptics_blueprint
pangolin prime - lame,pangolin_prime_blade
pangolin prime - set,pangolin_prime_set
titania prime (schéma),titania_prime_blueprint
éco revo,revo_reducer
scalpel sentient,sentient_scalpel
titania prime - set,titania_prime_set
tribunal,tribunal
catapulte,catapult
pillage ardent,blazing_pillage
moisson enchanteresse,spellbound_harvest
vitesse de croisière,cruising_speed
artillerie facile,artillery_cheap_shot
vitesse des tourelles,turret_velocity
calamité facile,ordnance_cheap_shot
mesure de baliste,ballista_measure
verrouillage rapide,quicklock
vitesse calamité,ordnance_velocity
purifie-grineers accru,primed_cleanse_grineer
purifie-infestés accru,primed_cleanse_infested
purifie-corpus accru,primed_cleanse_corpus
purifie-orokins accru,primed_cleanse_corrupted
mutation abondante,abundant_mutation
tirs déroutants,dizzying_rounds
spores révélatrices,revealing_spores
enragée,enraged
tas de gravats,rubble_heap
frappe de précision,precision_strike
manœuvres mortelles,deadly_maneuvers
banshee prime (schéma),banshee_prime_blueprint
rechargement frissonnant,chilling_reload
forme profilée,streamlined_form
contact errant,drifting_contact
valkyr prime - châssis (schéma),valkyr_prime_chassis_blueprint
balles cryogéniques accrues,primed_cryo_rounds
centaure - set,centaur_set
onorix - set,onorix_set
agkuza - set,agkuza_set
renvoi guérisseur,healing_return
corvas - set,corvas_set
piétinement renforçant,reinforcing_stomp
rathbone - set,rathbone_set
combinaison incessante,relentless_combination
cernos prime (schéma),cernos_prime_blueprint
cernos prime - partie inférieure,cernos_prime_lower_limb
cernos prime - partie supérieure,cernos_prime_upper_limb
cernos prime - prise,cernos_prime_grip
surcharge d'état,condition_overload
tempête virale,viral_tempest
surcharge expéditive,dispatch_overdrive
affliction persistante,enduring_affliction
récupérateur de pistolet,pistol_scavenger
wyrm prime - set,wyrm_prime_set
cœur de transmutation naramon,naramon_transmute_core
cœur de transmutation vazarin,vazarin_transmute_core
esprit vengeur,vengeful_revenant
autopsie astrale,astral_autopsy
scène de la salle du conseil d'ergo,ergos_boardroom_scene
visée agile,agile_aim
anticipation,anticipation
scène des plaines d'eidolon,plains_of_eidolon_scene
tir déchiquetant,shred_shot
burston prime - canon,burston_prime_barrel
vague de glace persistante,ice_wave_impedance
volt prime - systèmes (schéma),volt_prime_systems_blueprint
dakra prime - lame,dakra_prime_blade
glaive prime - disque,glaive_prime_disc
sculpture ayatan ayr,ayatan_ayr_sculpture
allonge,stretch
agkuza - garde,agkuza_guard
intensité,intensify
ogive lourde,heavy_warhead
karak wraith - crosse,karak_wraith_stock
cœur de transmutation madurai,madurai_transmute_core
barrage toxique,toxic_barrage
grand prédateur,apex_predator
mutation de fusil à pompe,shotgun_ammo_mutation
victoire calculée,calculated_victory
propulseurs hyperion,hyperion_thrusters
entrave infestée,infested_impedance
hydroid prime - systèmes (schéma),hydroid_prime_systems_blueprint
instinct animal accru,primed_animal_instinct
dôme glouton,pilfering_strangledome
impulsion proton,proton_pulse
scène des ascenseurs de la cité gazière,gas_city_lifts_scene
scène de bataille d'eau,dog_days_scene
déclencheur onde de choc,shockwave_actuators
assimilation,assimilate
glaive prime - set,glaive_prime_set
scindo prime - set,scindo_prime_set
boltace telos,telos_boltace
latron prime - culasse,latron_prime_receiver
latron prime - crosse,latron_prime_stock
lex prime - canon,lex_prime_barrel
scène usine de la forêt grineer,grineer_forest_factory_scene
cœur de nyth,heart_nyth
offensive impénétrable,impenetrable_offense
scène du monde virtuel de suda,sudas_datascape_scene
sybaris prime - culasse,sybaris_prime_receiver
bouclier déstabilisant,staggering_shield
akstiletto prime - set,akstiletto_prime_set
stropha - set,stropha_set
velox - set,velox_set
stahlta - canon,stahlta_barrel
stahlta - set,stahlta_set
velox - culasse,velox_receiver
stropha - lame,stropha_blade
stahlta - culasse,stahlta_receiver
stropha - culasse,stropha_receiver
stropha - crosse,stropha_stock
stropha - canon,stropha_barrel
stahlta - crosse,stahlta_stock
velox - canon,velox_barrel
scène du hangar du vaisseau corpus,corpus_ship_hangar_scene
scène du pont du vaisseau corpus,corpus_ship_bridge_scene
scène du canon orbital du vaisseau corpus,corpus_ship_orbital_cannon_scene
glaxion vandal,glaxion_vandal
canon plaqué rubedo accru,primed_rubedo_lined_barrel
inaros prime - set,inaros_prime_set
inaros prime - châssis (schéma),inaros_prime_chassis_blueprint
inaros prime - neuroptiques (schéma),inaros_prime_neuroptics_blueprint
inaros prime (schéma),inaros_prime_blueprint
inaros prime - systèmes (schéma),inaros_prime_systems_blueprint
panthera prime - crosse,panthera_prime_stock
karyst prime - garde,karyst_prime_handle
karyst prime - set,karyst_prime_set
panthera prime - set,panthera_prime_set
panthera prime - canon,panthera_prime_barrel
panthera prime - culasse,panthera_prime_receiver
panthera prime (schéma),panthera_prime_blueprint
karyst prime (schéma),karyst_prime_blueprint
karyst prime - lame,karyst_prime_blade
ressources du vigile,vigilante_supplies
ruine dévastatrice,crushing_ruin
braton prime - crosse,braton_prime_stock
dakra prime (schéma),dakra_prime_blueprint
étroit d'esprit,narrow_minded
xiphos - avioniques (schéma),xiphos_avionics_blueprint
prise de terre,stand_ground
glaive prime (schéma),glaive_prime_blueprint
craque-cibles accru,primed_target_cracker
geste réflexe,reflex_draw
akstiletto prime - lien,akstiletto_prime_link
fléau des orokins,bane_of_corrupted
scène du monde virtuel de hunhow,hunhows_datascape_scene
mutilation,maim
oberon prime (schéma),oberon_prime_blueprint
pilleur,looter
mutation de pistolet,pistol_ammo_mutation
piqûre toxique,poisonous_sting
scène du temple de harrow,harrows_temple_scene
scène de la retraite d'amaryn,amaryns_retreat_scene
scène d'incrustation,color_key_scene
phaedra - set,phaedra_set
cernos prime - corde,cernos_prime_string
cernos prime - set,cernos_prime_set
valkyr prime (schéma),valkyr_prime_blueprint
valkyr prime - set,valkyr_prime_set
venka prime - lames,venka_prime_blades
chasseur de prime,bounty_hunter
cible acquise,target_acquired
droit au cœur,heartseeker
compagnon loyal,loyal_companion
fureur martiale,martial_fury
jugement décisif,decisive_judgement
flèche virevoltante,twirling_spire
alimentation auxiliaire,auxiliary_power
lentille eidolon (schéma),eidolon_lens_blueprint
serre étincelante,gleaming_talon
recherche,scavenge
pistolero,gunslinger
tresse scindante,sundering_weave
munitions empalantes,impaler_munitions
renouveau du phénix,phoenix_renewal
commotion,shell_shock
éclatement de larve,larva_burst
entaille tornade,cleaving_whirlwind
dispersion des foules,crowd_dispersion
cyngas - culasse,cyngas_receiver
odonata prime (schéma),odonata_prime_blueprint
justice aveugle,blind_justice
full-contact,full_contact
rayon-régen,medi_ray
bouclier électromagnétique,electromagnetic_shielding
imperator vandal - set,imperator_vandal_set
postcombustion,afterburner
manœuvre de pistolet accrue,primed_pistol_gambit
hek vaykor,vaykor_hek
canon hydraulique,hydraulic_barrel
saryn prime - neuroptiques (schéma),saryn_prime_neuroptics_blueprint
nami skyla prime - lame,nami_skyla_prime_blade
kronen prime - manche,kronen_prime_handle
finesse du gladiateur,gladiator_finesse
influence de l'augure,augur_reach
sacrifice,sacrifice
pistage du chasseur,hunter_track
commande du chasseur,hunter_command
boar prime - culasse,boar_prime_receiver
balise omega,omega_beacon
mue régénérante,regenerative_molt
boar prime - crosse,boar_prime_stock
gorgon wraith - canon,gorgon_wraith_barrel
kogake prime - botte,kogake_prime_boot
akbolto prime - set,akbolto_prime_set
akbolto prime - lien,akbolto_prime_link
akbolto prime - canon,akbolto_prime_barrel
braton vandal (schéma),braton_vandal_blueprint
limbo prime - set,limbo_prime_set
maillet partitionné,partitioned_mallet
xénorhast trapèze,trapezium_xenorhast
pur jus,juice
thorax saxum,saxum_thorax
point de pression du necramech,necramech_pressure_point
vitalité du necramech,necramech_vitality
morsure vampirique,draining_bite
sillage du necramech,necramech_slipstream
synovie acide,acidic_spittle
vecteur endoparasite,endoparasitic_vector
propulseurs du necramech,necramech_thrusters
nacelle d'arme de necramech endommagée,damaged_necramech_weapon_pod
tiametrite à facettes,faceted_tiametrite
moteur de necramech endommagé,damaged_necramech_engine
atterrissage de fou,bomb_the_landin
sculpture ayatan sah,ayatan_sah_sculpture
voile rouge mod d'augmentation,red_veil_augment_mod
aspect rusé,cunning_aspect
reflet,reflect
vent violent,rending_wind
corvas - culasse,corvas_receiver
cadence noble,noble_cadence
cartouches thermagnétiques,thermagnetic_shells
corvas - crosse,corvas_stock
ricochet kinétique,kinetic_ricochet
conduit mortel,mortal_conduct
parade,parry
sicarus prime (schéma),sicarus_prime_blueprint
gorgon wraith - set,gorgon_wraith_set
habileté montante,rising_skill
écrasement fracturant,fracturing_crush
fang prime (schéma),fang_prime_blueprint
bouquet radial,radiant_finish
férocité,ferocity
xiphos - set,xiphos_set
haute tension,high_voltage
vauban prime - châssis (schéma),vauban_prime_chassis_blueprint
barrière de recharge,recharge_barrier
saut tempéré,tempered_bound
accélération convergente,focused_acceleration
force de choc,collision_force
latron prime (schéma),latron_prime_blueprint
braton prime (schéma),braton_prime_blueprint
ire souillée du dragon,defiled_snapdragon
nikana prime - garde,nikana_prime_hilt
rétablissement,recuperate
nikana prime - set,nikana_prime_set
perception vitale,vital_sense
valkyr prime - systèmes (schéma),valkyr_prime_systems_blueprint
cyngas - set,cyngas_set
war brisée - set,broken_war_set
venka prime - gantelet,venka_prime_gauntlet
kaszas - set,kaszas_set
velocitus - set,velocitus_set
fluctus - set,fluctus_set
doubles décurions - set,dual_decurion_set
grand œil,broad_eye
séquence électrifiée,voltage_sequence
akbronco prime (schéma),akbronco_prime_blueprint
balles cryogéniques,cryo_rounds
batterie silencieuse,silent_battery
phaedra - culasse,phaedra_receiver
euphona prime - culasse,euphona_prime_receiver
courage passager,transient_fortitude
balles de commotion,concussion_rounds
hurlement,howl
agkuza - poignée,agkuza_handle
carrier prime - systèmes,carrier_prime_systems
létalité furtive,covert_lethality
flèches empennées,feathered_arrows
capacité supérieure,loaded_capacity
chambre bricolée,loose_chamber
évasion blindée,armored_evade
nano-applicateur,nano_applicator
défense focalisée,focused_defense
ordonnance guidée,guided_ordnance
strun wraith (schéma),strun_wraith_blueprint
golem titanesque,titanic_rumbler
spira prime (schéma),spira_prime_blueprint
spira prime - set,spira_prime_set
sheev - lame,sheev_blade
sheev - dissipateur de chaleur,sheev_heatsink
sheev - set,sheev_set
gargouille,rumbled
snipetron vandal (schéma),snipetron_vandal_blueprint
scie à os,hunters_bonesaw
velocitus - canon,velocitus_barrel
résistance aux toxines,toxin_resistance
nami skyla prime - set,nami_skyla_prime_set
kronen prime - set,kronen_prime_set
helios prime - systèmes,helios_prime_systems
prolongement,extend
frappe de fièvre accrue,primed_fever_strike
exodia contagion,exodia_contagion
tiberon prime - set,tiberon_prime_set
exodia épidémie,exodia_epidemic
mirage prime - systèmes (schéma),mirage_prime_systems_blueprint
mirage prime (schéma),mirage_prime_blueprint
dégaine accrue,primed_quickdraw
recharge mecha,mecha_recharge
fibre synth,synth_fiber
chut,hush
fragor prime - tête,fragor_prime_head
piétinement,trample
pointe métallique,metal_auger
maître voleur,master_thief
recouvrement cryo,cryo_coating
masse éclatante,bursting_mass
tipedo prime - set,tipedo_prime_set
acier véritable,true_steel
quatre cavaliers,four_riders
vectis prime (schéma),vectis_prime_blueprint
instinct animal,animal_instinct
rayon à combustion,combustion_beam
viseur harkonar,harkonar_scope
scène de la passerelle de la cité gazière,gas_city_walkway_scene
scène de l'impasse de la cité gazière,gas_city_dead_exit_scene
aérodynamique,aerodynamic
atlas prime - set,atlas_prime_set
tekko prime - lame,tekko_prime_blade
tekko prime - set,tekko_prime_set
tekko prime (schéma),tekko_prime_blueprint
redirection du necramech,necramech_redirection
canon d'arme de necramech endommagé,damaged_necramech_weapon_barrel
ensemble de necramech endommagé,damaged_necramech_weapon_set
culasse d'arme de necramech endommagée,damaged_necramech_weapon_receiver
morsure infectieuse,infectious_bite
spores paralysantes,paralytic_spores
régression nocturne,crescent_devolution
régression panzer,panzer_devolution
pollinisation anabolique,anabolic_pollination
style impec',primo_flair
barbillon jugulus,jugulus_barbs
carapace saxum,saxum_carapace
combat rapproché,hard_engage
fumée dans les yeux,vapor_trail
synovie saxum,saxum_spittle
crosse d'arme de necramech endommagée,damaged_necramech_weapon_stock
atteinte du necramech,necramech_reach
continuité du necramech,necramech_continuity
cabochon embolos,cabochon_embolos
fibre d'acier du necramech,necramech_steel_fiber
pointes jugulus,jugulus_spines
ensemble de necramech endommagé,damaged_necramech_set
héciphron purifié,purified_heciphron
piques virales,viral_quills
mandibule carnis,carnis_mandible
nacelle de necramech endommagée,damaged_necramech_pod
ravitaillement du necramech,necramech_refuel
dard carnis,carnis_stinger
charge ascendante,crescent_charge
instinct de survie,survival_instinct
scène des souterrains de deimos,deimos_underground_scene
scène du puy de cambion de deimos,deimos_cambion_drift_scene
nezha prime (schéma),nezha_prime_blueprint
guandao prime (schéma),guandao_prime_blueprint
combo meurtrier,combo_killer
pacte des serfs,thrall_pact
surcharge critique,critical_surge
théorème émollient,theorem_demulcent
sporothrix (schéma),sporothrix_blueprint
efficacité du necramech,necramech_efficiency
théorème d'infection,theorem_infection
arum spinosa (schéma),arum_spinosa_blueprint
retour rapide volatil,volatile_quick_return
serres composées,blending_talons
arum spinosa - garde,arum_spinosa_guard
arum spinosa - set,arum_spinosa_set
sporothrix - set,sporothrix_set
choc résiduel,residual_shock
tempête de feu accrue,primed_firestorm
fulmination accrue,primed_fulmination
bonewidow - set,bonewidow_set
bonewidow - nacelle d'armes,bonewidow_weapon_pod
bonewidow - châssis,bonewidow_casing
morgha - crosse,morgha_stock
cortège - canon,cortege_barrel
perception des ennemis du necramech,necramech_enemy_sense
cortège - crosse,cortege_stock
reproche du necramech,necramech_rebuke
cortège - set,cortege_set
bonewidow - capsule,bonewidow_capsule
voidrig - set,voidrig_set
aviateur du necramech,necramech_aviator
sculpture ayatan hemakara,ayatan_hemakara_sculpture
